ID,HOF_S(kJ/mol),smiles
BEQTUP,-398.7,O=C(N1CCC=C1)OCc1ccc(cc1)[N+](=O)[O-]
BETVUR,-380.3,[O-][N+](=O)c1ccc(cc1)[C@@H]1NC[C@H]2[C@@H](O1)CCCC2
BETWAY,-371.8,[O-][N+](=O)c1ccc(cc1)[C@@H]1OC[C@H]2[C@@H](N1)CCCC2
BEXWEI,-134.7,O=C(Cn1cc(nc1C)[N+](=O)[O-])N/N=C(/c1ccccc1)\C
BEYZEK,-148.9,O=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-]
BICNUW,-425.5,CCOC(=O)/C(=C/c1ccc(cc1)[N+](=O)[O-])/[N+](=O)[O-]
BICWEP,-259.4,[O-][N+](=O)c1c(C(=O)N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
BIHVIY,-537.7,COc1ccc(cc1)/C=C/c1c(cc(cc1[N+](=O)[O-])C(=O)OC)[N+](=O)[O-]
BIHVOE,-393,[O-][N+](=O)c1cc(ccc1OCCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BIHVUK,-216,COc1ccc(cc1OC)/C=N/Nc1ccc(cc1)[N+](=O)[O-]
BIKKUE,-168.2,[O-][N+](=O)/C=C(/C(=O)c1ccc(cc1)C)\Nc1ccccc1
BILMAM,-27.3,CNC1=C([N+](=O)[O-])[C@@H](C(=C(O1)c1ccccc1)C#N)c1ccccc1
BINROF,425.7,[O-][N+](=O)c1cc(ccc1/C=N/Nc1nnn[nH]1)[N+](=O)[O-]
BINSAS,407.4,[O-][N+](=O)c1c2[N-]O[N+](=O)c2c2c(c1N)[N+](=O)O[N-]2
BINSUM,-545.3,O=C(C(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
BIPGOZ,-344.9,[O-][N+](=O)[C@@]1(CCCCC1=O)c1ccc(cc1)[N+](=O)[O-]
BIPJUF,-422,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-]
BIVKUM,54.5,[O-][N+](=O)c1ccc(cc1)N/N=C/1\C[C@@H]2[C@H]1C[C@H]1[C@@H]2O1
BIVQAB,-177.9,O=Cc1ccc(c2c1ccc(c2)[N+](=O)[O-])N(C)C
BIVVOU,-330.5,C=C[C@]1(C)Oc2ccccc2C(=O)N1c1ccc(cc1)[N+](=O)[O-]
BIXCOD,73.4,O/N=C(/C(=N/N=C/c1ccc(cc1)[N+](=O)[O-])/C)\C
BIXCUJ,73,O/N=C(/C(=N/N=C/c1cccc(c1)[N+](=O)[O-])/C)\C
BOBMAG01,-49.9,[O-][N+](=O)c1ccc(cc1)N(c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]
BOCPIS,-333.4,COc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C(C)(C)C
BOCROA,-357.6,O=C1CC(C)(C)CC(=O)C1=NNc1ccc(cc1)[N+](=O)[O-]
BOCYOI,105.8,O=NN(c1ccccc1)c1ccc(cc1)[N+](=O)[O-]
BOGSIA,75.6,C/C=C/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BOJDOU,-298.9,COc1ccccc1N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
BOLPEX,-648.8,O=C1c2c(ccc(c2C(=O)c2c1c(ccc2O)[N+](=O)[O-])O)[N+](=O)[O-]
BOMHAM,-350.3,Cc1nc2cc(ccc2c(=O)o1)[N+](=O)[O-]
BOPQUU,-545.6,[O-][N+](=O)c1cc2c(CCC(=O)OCC)c[nH]c2cc1
BOQHEU,-279.5,Cc1cc(C)c(c(=O)c(c1)C)Oc1ncc(cc1[N+](=O)[O-])[N+](=O)[O-]
BOQJAS,-124.6,[O-][N+](=O)c1cc(ccc1n1cc(c(n1)c1ccccc1O)C)[N+](=O)[O-]
BOQWUZ,-454.9,O=C1O[C@@H]2[C@H](O1)N(CN2[N+](=O)[O-])[N+](=O)[O-]
BORHAS,-426.3,[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)NCCOC
BORHIA,-255,O=C(N/N=C/c1ccc(o1)[N+](=O)[O-])NCCc1ccccc1
BOSVIO,-211.4,[O-][N+](=O)c1cc2c(=O)[nH]c3c(c2c(c1)[N+](=O)[O-])cc(cc3[N+](=O)[O-])[N+](=O)[O-]
BOTLEC,-417.3,CCOC(=O)/C(=C\[N+](=O)[O-])/c1cn(c2c1cccc2)C
BOTMUT,-292.4,O=c1n2CCCCCc2nc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-]
BOWSIP,-145.2,CC(=O)/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C
BUDKER,-386.4,COc1cccc(c1c1c(OC)cccc1[N+](=O)[O-])[N+](=O)[O-]
BUDVEC,113.5,C/C=C/C=N/Nc1ccccc1[N+](=O)[O-]
BUDVIH,-200.9,C=C1C(=NO[C@@]1(O)c1ccc(cc1)[N+](=O)[O-])C
BUFDUC,-279.7,CCOc1cc(/C=N/Nc2ccccc2[N+](=O)[O-])ccc1O
BUGKIY,132.3,[O-][N+](=O)c1cn(c(n1)[N+](=O)[O-])N
BUGKOE,185.9,[O-][N+](=O)Nn1cc(nc1[N+](=O)[O-])[N+](=O)[O-]
BUNCIW,-404.9,[O-][N+](=O)C1=C([N+](=O)[O-])[C@@](C)([N+](=O)[O-])C(C(=O)[C@@]1(C)[N+](=O)[O-])(C)C
BURJAZ,-762.1,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCC[C@@H](O2)CCC1
BURJED,-760.4,O=C1CCCC(CCC1)OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
BURKUU,-384.5,COCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BUSLUY,130.8,N#C[C@]1([N+](=O)[O-])[C@H]2C=C[C@@H]([C@@H]1c1ccccc1)C2
BUTDID,-216,O=C(c1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
BUXJAH,270.8,N#Cc1cccc(c1C#N)[N+](=O)[O-]
BUYJAG,-1044.7,COC(=O)N[C@@H]1[C@H](C)O[C@@H](C[C@@]1(C)[N+](=O)[O-])OC
BUYPUG10,-452.7,[O-][N+](=O)[C@]12C[C@]3(C[C@@](C2)(C[C@@](C1)(C3)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BUZVOH,122.8,Cc1ccc(c(c1)[N+](=O)[O-])N/N=C\1/C=CC(=O)C2=CC=CC=C1C2
BYPOXO,-254.5,O=C1OC(=N/C/1=C\c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1
BZOCYX10,321.8,N#C/C(=N/O[C@@](c1ccccc1)([N+](=O)[O-])C#N)/c1ccccc1
CABLIA,-605,CCC(=O)N1C[C@@H]2[C@@]3([C@H]1CC(=O)C=C3CCC2)[N+](=O)[O-]
CACBUF,-375.2,CC(=O)Nc1c(C)cc(cc1[N+](=O)[O-])C
CACFOD01,-34.1,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCC(=C1[N+](=O)[O-])C)[N+](=O)[O-]
CACNIG,-325.3,[O-][N+](=O)c1ccccc1[C@H](Cc1cnc(o1)c1ccccc1)O
CAFQUW,-142,Nc1ccn(c(=O)n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
CAJTEM,105.3,[O-][N+](=O)c1ccc2n(c1)c(cn2)c1ccccc1
CANKIL,69.8,CNC1=NC(=C(/C/1=N\c1ccccc1)[N+](=O)[O-])NC
CANXIA,-939.4,OCC(C([N+](=O)[O-])(CO)CO)([N+](=O)[O-])CO
CASBOQ01,438.1,[O-][N+](=O)c1c[nH]nc1n1cnnn1
CATJIQ01,-130.8,[O-][N+](=O)N1CC(CN(CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
CATLUE,-183.8,O=Cc1cn(nc1c1ccccc1O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
