ID,DetoP(GPa),smiles
BILMAM,6.2,CNC1=C([N+](=O)[O-])[C@@H](C(=C(O1)c1ccccc1)C#N)c1ccccc1
BINROF,19.1,[O-][N+](=O)c1cc(ccc1/C=N/Nc1nnn[nH]1)[N+](=O)[O-]
BINSAS,34,[O-][N+](=O)c1c2[N-]O[N+](=O)c2c2c(c1N)[N+](=O)O[N-]2
BINSUM,32.6,O=C(C(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
BIPGOZ,9.6,[O-][N+](=O)[C@@]1(CCCCC1=O)c1ccc(cc1)[N+](=O)[O-]
BIPJUF,17.9,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-]
BIVKUM,8.9,[O-][N+](=O)c1ccc(cc1)N/N=C/1\C[C@@H]2[C@H]1C[C@H]1[C@@H]2O1
BIVQAB,7.4,O=Cc1ccc(c2c1ccc(c2)[N+](=O)[O-])N(C)C
BIVVOU,6.5,C=C[C@]1(C)Oc2ccccc2C(=O)N1c1ccc(cc1)[N+](=O)[O-]
BIXCOD,9.7,O/N=C(/C(=N/N=C/c1ccc(cc1)[N+](=O)[O-])/C)\C
BIXCUJ,9.6,O/N=C(/C(=N/N=C/c1cccc(c1)[N+](=O)[O-])/C)\C
BOBMAG01,10.2,[O-][N+](=O)c1ccc(cc1)N(c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]
BOCPIS,10.4,COc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C(C)(C)C
BOCROA,7.6,O=C1CC(C)(C)CC(=O)C1=NNc1ccc(cc1)[N+](=O)[O-]
BOCYOI,9.1,O=NN(c1ccccc1)c1ccc(cc1)[N+](=O)[O-]
BOGSIA,12.4,C/C=C/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
BOJDOU,7.8,COc1ccccc1N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
BOLPEX,14.2,O=C1c2c(ccc(c2C(=O)c2c1c(ccc2O)[N+](=O)[O-])O)[N+](=O)[O-]
BOMHAM,10.4,Cc1nc2cc(ccc2c(=O)o1)[N+](=O)[O-]
