ID,DetoP(GPa),smiles
GECPIP,6.9,Cc1cc(ccc1C)n1cnnc1Nc1cccc(c1)[N+](=O)[O-]
GEDWIV,11.4,N#CC1=C(C#N)[C@@](C)([N+](=O)[O-])C(C(=O)[C@]1(C)[N+](=O)[O-])(C)C
GEDYEU,25.8,[O-][N+](=O)N1CCn2c1nnn2
GEJKUB,6.1,[O-][N+](=O)c1ccc(cc1)CNc1ccccc1
GEJLAI,5.4,[O-][N+](=O)c1ccc(cc1)CCNc1ccccc1
GEJLEM,4.4,Cc1ccc(cc1)N(CCc1ccc(cc1)[N+](=O)[O-])C
GEKKOY,12.1,O=[N+]1c2ccc(cc2[N-]OC21CCCCC2)[N+](=O)[O-]
GEKKUE,9.7,O=[N+]1c2cc(ccc2[N-]C21CCCCC2)[N+](=O)[O-]
GELHUD,7.7,[O-][N+](=O)OCCNC(=O)c1ccccc1NC(=O)c1ccccc1
GEMZAZ,32.9,O=C1N[C@H]2[C@@H](N1[N+](=O)[O-])NC(=O)N2[N+](=O)[O-]
GEPPUN,5.8,CCN(c1ccccc1)C(=O)COc1ccc(cc1)[N+](=O)[O-]
GEQHOZ,7.5,CO/C(=N/C(=O)c1ccccc1)/Nc1ccccc1[N+](=O)[O-]
GERPOJ02,15.5,OCCNc1cc(NCCO)c(cc1[N+](=O)[O-])[N+](=O)[O-]
GESFAO,7,O=C1N[C@@H](Nc2c1cccc2)c1ccccc1[N+](=O)[O-]
GETFIU01,23.2,[N-]=[N+]=C1C=C(C=C(C1=O)[N+](=O)[O-])[N+](=O)[O-]
GEVLEZ,6.5,COc1cc(C(=O)NCc2ccccc2)c(cc1OC)[N+](=O)[O-]
GEVSIM,6.9,COC(=O)C1=C(C)N[C@H](C(=C1)[N+](=O)[O-])c1ccccc1
GEVSOS,11.1,COC(=O)/C(=C(\N)/C)/C=C/[N+](=O)[O-]
GEXKUP,6.6,N/C(=N\c1ccc(cc1)[N+](=O)[O-])/c1ccccc1
GEYNON,20,O=C1OCOc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-]
GEYREK,19.3,[O-][N+](=O)c1nc2n(n1)CCCn1c2nc(n1)[N+](=O)[O-]
GEZKII,6.1,COc1ccc(cc1)n1ccc(c1c1ccc(cc1)[N+](=O)[O-])C=O
GIBVOE,14.4,[O-][N+](=O)c1ccc2c3c1[nH]c(=O)[nH]c3c(cc2)[N+](=O)[O-]
GIBZAV,6.6,O=C(Cc1ccccc1)N/N=C/c1ccccc1[N+](=O)[O-]
GICTIV,32.7,[O-][N+](=O)n1cnc(n1)/N=N/c1ncn(n1)[N+](=O)[O-]
GIGQUI01,20.4,COc1c([N+](=O)[O-])c(OC)c(c(c1[N+](=O)[O-])OC)[N+](=O)[O-]
GIHFEI,15.8,N#Cc1cc(cc2c1c1c(cc(cc1C2=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
GIJBEJ,6.2,O=C(C(=O)n1cc(c2c1cccc2)C)c1ccc(cc1)[N+](=O)[O-]
GILYUV,11.6,[O-][N+](=O)[C@@H]1[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2[C@@H]2[C@H]3[C@H]4[C@H]1[C@H]2[N+](=O)[O-]
GIMBOT,23.1,[O-][N+](=O)c1cc(cc(c1/C=C/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
GIPRUU,6.4,N#C/C(=C\c1ccc(cc1)[N+](=O)[O-])/Cn1cnc2c(c1=O)cccc2
GIQVEJ01,7.2,[O-][N+](=O)c1ccc2c(c1)ncc(n2)c1ccccc1
GISDIX,10.3,O=[N+](c1ccccc1)/N=[NH+]/c1ccc(cc1)[N+](=O)[O-]
GIVJAX,7.7,[O-][N+](=O)c1ccc(cc1)Cc1nccnc1
GIZSOX,20.4,O/N=C/1\CCCC1([N+](=O)[O-])[N+](=O)[O-]
GOCTUP,7.2,Oc1ccccc1/N=C/c1ccc(cc1)[N+](=O)[O-]
GODNUI,8.4,[O-][N+](=O)c1cccc2c1c1ccccc1nn2
GOLVAE,6.8,N#Cc1c2cccnc2ccc1C([N+](=O)[O-])(C)C
GOTFOM,7.2,[O-][N+](=O)c1cc(/C=N/c2ccccc2)ccc1O
GOWKOU,8.4,CCOC(=O)/C(=C/Nc1cccc(c1)[N+](=O)[O-])/C(=O)O
GOXKAF,7.7,CC(=O)NN(C(=O)c1ccccc1O)c1ccc(cc1)[N+](=O)[O-]
GOZFIM,6.3,CN1Cc2ccccc2N[C@H]1c1ccccc1[N+](=O)[O-]
GUFLUO,10.6,N#C/C(=N\Nc1ccccc1[N+](=O)[O-])/C(=O)C
GULGAV,29.2,[O-][N+](=O)c1[nH]cnc1[N+](=O)[O-]
GURDAY,22.3,[O-][N+](=O)C([C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
GUTZAY,9.2,[O-][N+](=O)c1cccc(c1)c1nnc2n1ncc1c2cccc1
GUVYAY,5.9,[O-][N+](=O)c1ccc2c(c1)C[C@H]1N2CCCC1
GUZKET,8.7,O=C(Cn1cccc(c1=O)[N+](=O)[O-])Nc1ccccc1
GUZWEE,8.8,[O-][N+](=O)[C@]12C[C@H]3[C@H]4[C@@H](C2)[C@H]2[C@@H](C1)[C@@H]3C[C@@](C4)(C2)[N+](=O)[O-]
HABMAZ,15.9,[O-][N+](=O)/N=c/1\cc(C)ccn1O
HABMED,14.4,CC1=CC=C[N+](=O)/C/1=[NH+]/[N+](=O)[O-]
HABZIT,6.7,N#CCC[C@]1(CCCCCCC1=O)[N+](=O)[O-]
HACLEE,9.7,[O-][N+](=O)c1ccc2n(c1=O)C[C@@H]1C[C@H]2CNC1
HACVAL,9.1,OC[C@@H]1N[C@@H]1c1ccc(cc1)[N+](=O)[O-]
HADCAT,17.5,[O-][N+](=O)c1cc(/N=N/c2cc(cc(c2C)[N+](=O)[O-])[N+](=O)[O-])c(c(c1)[N+](=O)[O-])C
HAGSEP,6.9,[O-][N+](=O)c1ccc2c(c1)c1c(c(=O)o2)c(nn1c1ccccc1)C
HAHRIU,10.2,[O-][N+](=O)C1=CC=C2C(=NC3([N+]2=O)CCCCC3)C1=[NH2+]
HAMYAY,6.8,C/C(=C/1\N=C(OC1=O)c1ccccc1)/NC(=O)c1cccc(c1)[N+](=O)[O-]
HASHAK,25.3,[O-][N+](=O)[C@]12[C@@H]3[C@@H]4[C@H]1[C@@]1([C@H]2[C@]3([C@H]41)[N+](=O)[O-])[N+](=O)[O-]
HASHEO,30.2,[O-][N+](=O)[C@]12[C@H]3[C@]4([C@@H]2[C@]2([C@@H]1[C@@]3([C@@H]42)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
HAWLUN,6.4,COc1ccc(cc1)/C=C(\C(=O)NCc1ccccc1)/[N+](=O)[O-]
HAWSOO,11.7,Cc1ccc(c(c1[N+](=O)[O-])[N+](=O)[O-])C
HAYYEM,13.9,[O-][N+](=O)[C@]1(C)c2ccccc2[C@H](c2c1cccc2)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
HAYZIR,10.3,CCCCOC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
HDNBPP,11.3,[O-][N+](=O)c1cc(cc2c1O[C@H]1OCCC[C@H]1C2)[N+](=O)[O-]
HEBCHN,8.7,C[C@H]([C@]12CCC[C@@H]2C1)OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
HECDIC,7.9,[O-][N+](=O)c1c(C)c([N+](=O)[O-])c(c(c1C)C(C)(C)C)C
HECFOK,8.5,[O-][N+](=O)c1cnc(n1C)c1ccccc1
HECGAX,9.2,Nc1ccc(cc1)c1ncc(n1C)[N+](=O)[O-]
HEDFUU,7.6,COC(=O)[C@@]1(N=CN2[C@H]1CC[C@H]2C)c1ccc(cc1)[N+](=O)[O-]
HEGBON,9.2,O=C1OC(=N/C/1=C\c1ccco1)c1ccc(cc1)[N+](=O)[O-]
HEHTUJ,15.8,[O-][N+](=O)c1c[nH]nc1C
HEHVAR,14.4,[O-][N+](=O)c1cn[nH]c1C
HENKIU01,9.9,CC(=O)C(=NNc1ccc(cc1)[N+](=O)[O-])C(=O)C
HEPFUD,16.5,[O-][N+](=O)c1c(C)nc2n(c1=O)nc[nH]2
HESPIF,10.6,COc1cccc(c1OCCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C=O
HEVZOZ,4.8,O=C([C@@H](NC(=O)C(C)(C)C)C)Nc1cccc(c1)[N+](=O)[O-]
HEXTIN,16.1,Cc1c([N+](=O)[O-])c(C)c(c(c1[N+](=O)[O-])C)[N+](=O)[O-]
HEXXUE,7.4,COc1ccccc1NC(=O)c1cc(C)cc(c1O)[N+](=O)[O-]
HEYLEF,5.4,Cc1cnc(nc1c1cccc(c1)[N+](=O)[O-])c1ccccc1
HIBWUK,7.1,[O-][N+](=O)c1cc([N+](=O)[O-])c(cc1C(C)(C)C)C(C)(C)C
HIGSIZ,17.5,N#CCN([N+](=O)[O-])CC#N
HIHZUT,21.1,[O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1[N+](=O)[O-]
HIJBAD,19.6,[O-][N+](=O)c1cc(cc2c1[nH]c(=O)c(=O)[nH]2)[N+](=O)[O-]
HIKMEW,15.1,CC(=O)CN1[C@H]2N/C(=N\[N+](=O)[O-])/N([C@H]2N/C/1=N\[N+](=O)[O-])CC(=O)C
HIMYOU,5.9,CCOC(=O)[C@H]([C@@H]([C@H]([N+](=O)[O-])C)c1ccccc1)C#N
HIMYUA,5.8,CCOC(=O)[C@H]([C@@H]([C@@H]([N+](=O)[O-])C)c1ccccc1)C#N
HIPSII,6.5,Cc1ccc(cc1)N1C[C@H]2[C@]3(C1)C=C[C@]([C@@H]2C)(O3)[N+](=O)[O-]
HIQVEI,7.1,COC(=O)C1=C(C)NC(=O)C[C@H]1c1ccccc1[N+](=O)[O-]
HISRUW01,8.9,CCC(Nc1c(cc(c(c1[N+](=O)[O-])C)C)[N+](=O)[O-])CC
HITMUS,13.4,C/C(=C(\C[N+](=O)[O-])/C)/C[N+](=O)[O-]
HITNED01,9.5,CC=C=CC(/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])(C)C
HIVLAA,14.8,[O-]C(=O)[C@H](CCCN/C(=N/[N+](=O)[O-])/N)[NH3+]
HIVXOA,4.9,[O-][N+](=O)c1ccc2c(c1)c1[nH]c3c(c1CC2)cccc3
HIXLUX,6.1,CN(/C(=N\c1ccc(cc1)[N+](=O)[O-])/N(c1ccccc1)C)C
HIYDIC,5.9,O=C(N(c1ccccc1[N+](=O)[O-])C)/C=C/c1ccccc1
HIYMIL,32.9,[O-][N+](=O)/N=[N+]/1\C=[NH+]N=C1
HNIABZ20,27.1,[O-][N+](=O)c1cc(cc(c1/N=N/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
HNIMOZ,17.9,[O-][N+](=O)c1cnc2n1CCO2
HOCVEA,12.7,O=C1C(=O)c2cccc(c2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-]
HOCWEB,9.2,[O-][N+](=O)c1ncc(cn1)c1ccccc1
HODKAN,10.7,CCC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])CC
HOFDOV01,17.3,O=[N+]1C=C/C(=[N+](/[N+](=O)[O-])\C)/C=C1
HOFFIR,6.6,CC[C@@]1(CCC(=O)NC1=O)c1cccc(c1)[N+](=O)[O-]
HOFFOX,10.6,CC[C@@]1(CCC(=O)NC1=O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
HOHCIR,8.3,O=NN1[C@@H](CO[C@@H]1c1ccc(cc1)[N+](=O)[O-])Cc1ccccc1
HOMDAO,8,O=C(c1ccc(cc1)[N+](=O)[O-])Cn1ccccc1=O
HONHOJ,7.2,O=C(c1cccnc1)/C=C/c1ccc(cc1)[N+](=O)[O-]
HOQVUF,10.9,[O-][N+](=O)c1cc(ccc1n1nnc(c1)c1ccccc1)[N+](=O)[O-]
HOTFEC,7.5,O=C(c1cccc(c1O)[N+](=O)[O-])Nc1ccccc1
HOWJEI,17.8,[O-][N+](=O)[C@@H]1C[C@H](C[C@H](C21OCCO2)[N+](=O)[O-])[N+](=O)[O-]
HOYSEV,35.1,[O-][N+](=O)C(c1nonc1Oc1nonc1C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
HOZBII,8.2,Oc1ccc(cc1)C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-]
HUCZOV,5.6,CC1=NN([C@@H](C1)c1ccccc1)c1cccc(c1)[N+](=O)[O-]
HUDBOY,8.3,C/C(=N/Nc1ccccc1[N+](=O)[O-])/C=C/c1ccco1
HUDKIB,6.4,[O-][N+](=O)c1ccc(cc1)COc1cccc2c1nccc2
HUDLOI,5,CC(NC(=O)c1cccc(c1[N+](=O)[O-])C)C
HUFCOB,10.6,O=C(c1cnoc1C)N/N=C/c1cccc(c1)[N+](=O)[O-]
HUFFEU,12.9,O=C(c1ccccc1)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
HUFNON,8,[O-][N+](=O)c1c(C)nn2c1ccc1c2cccc1
HUFPOP,7.3,Cn1c2ccccc2c2c1n1nc(c(c1cc2)[N+](=O)[O-])C
HUHTAF,7.5,O=c1oc(nc2c1cccc2)c1ccccc1[N+](=O)[O-]
HUKTUD,30.8,[O-][N+](=O)NCC(CN[N+](=O)[O-])(CN[N+](=O)[O-])CN[N+](=O)[O-]
HUKVAL,32.6,[O-][N+](=O)NC(CN[N+](=O)[O-])CN[N+](=O)[O-]
HULJON,7.3,[O-][N+](=O)c1ccc(cc1)NN=C1CCCC1
HUMHEC,10.4,[O-][N+](=O)c1cc(ccc1N/N=C(/c1ccccc1)\C)[N+](=O)[O-]
HUMSAJ,9.5,CC/C(=N\Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/c1ccccc1
HUTHUB,11.4,Cc1ccc(c(c1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])O
HUYGIT,5.7,COc1ccc(cc1)/C(=C/C=C/c1ccc(cc1)[N+](=O)[O-])/C#N
HUZJAN,20,[O-][N+](=O)O[C@@H]1[C@H]2C[C@H]3[C@@H]1[C@H]3[C@H]2O[N+](=O)[O-]
IBAMIK,4.5,CCCCn1c2ccccc2c2c1ccc(c2)[N+](=O)[O-]
IBIZOJ,11.7,N#Cc1ccccc1n1ncc(n1)[N+](=O)[O-]
ICUFIX,11.7,[O-][N+](=O)OCCNC(=O)c1ccccn1
IDEHAD,12.2,[O-][N+](=O)c1c(C)cc[nH]c1=O
IDEHEH,8.2,CCOC(=O)Cn1ccc(c(c1=O)[N+](=O)[O-])C
IDITAR,13.2,OC(=O)c1cccc(c1C(=O)N)[N+](=O)[O-]
IDULEZ,9.6,CCOC(=O)Cn1cccc(c1=O)[N+](=O)[O-]
IFIFOS,6.6,COc1ccccc1/N=C/c1ccc(cc1)[N+](=O)[O-]
IFUVIP,6.7,Nc1ccc(cc1)OCCCOc1ccc(cc1)[N+](=O)[O-]
IGACAV,7.5,COc1cc(/N=C/c2cccc(c2)[N+](=O)[O-])ccc1OC
IGAGON,16.6,[O-][N+](=O)c1cc(ccc1/N=N/C([N+](=O)[O-])(C)C)[N+](=O)[O-]
IHOGER,5,C[C@@H]([C@@H](c1ccccc1)CC#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
IJESUL01,9.1,N#C/C(=C(\N(C)C)/N=C(/N(C)C)\C)/[N+](=O)[O-]
IJIVEC,18.6,[O-][N+](=O)/N=c/1\ccccn1O
IJIVIG,19.1,[O-][N+](=O)Nc1ccc[n+](c1)[O-]
IJUKEE,8.8,Oc1ccc(cc1)C(=O)N/N=C/c1ccc(c(c1)[N+](=O)[O-])O
IJUKII,8.8,O=C(c1ccccc1O)N/N=C/c1ccc(c(c1)[N+](=O)[O-])O
IJUSIQ,10.5,OC(COc1ccccc1[N+](=O)[O-])COc1ccccc1[N+](=O)[O-]
IKABUS,7.7,[O-][N+](=O)c1ccc(c(c1)c1nc2c([nH]1)cccc2)O
IKACIH,8,O=C1OC(C)(C)OC(=O)C1=CNc1ccc(cc1)[N+](=O)[O-]
IKIMIY,28.3,CN(c1nc(N([N+](=O)[O-])C)c(nc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
IMISAY,27.8,[O-][N+](=O)N(CN([N+](=O)[O-])CO[N-][N+](=O)C)CN([N+](=O)[O-])CO[N-][N+](=O)C
IMIVOP,22.6,[O-][N+](=O)/N=C(/n1nc(nc1N)N)\N
IMIWOQ,22.4,NC(=O)NN/C(=N/[N+](=O)[O-])/N
IMPYRA,7.1,Cc1oc(C)cc(=Nc2ccc(cc2)[N+](=O)[O-])c1
INEZUY,28.5,Nn1nc(c(n1)[N+](=O)[O-])N
INOLUU,7,[O-][N+](=O)c1nnn(c1c1ccccc1)Cc1ccccc1
IPOXAZ,8.8,CC(N1O[C@@H]1c1ccc(cc1)[N+](=O)[O-])C
IPUPOZ,20.6,N#Cc1cc([N+](=O)[O-])c2c(c1)[N+](=O)O[N-]2
IQOMIL,7.6,N#CC(=C1C[C@H](c2ccco2)[C@H]([C@H](C1)c1ccco1)[N+](=O)[O-])C#N
IQOPIO,5.7,N#CC(=C(C[C@H](c1ccccc1)C[N+](=O)[O-])C)C#N
IQUHUZ,8.8,CCOC(=O)Cn1cc2c(n1)cc(cc2)[N+](=O)[O-]
ISACIO,5.1,C[C@@H](c1ccccc1)NC(=O)c1ccc(cc1)[N+](=O)[O-]
ISAJAN,14,N#[N+][N-]C(=O)c1ccccc1[N+](=O)[O-]
ISAJER,14.7,O=C(c1ccc(cc1)[N+](=O)[O-])[N-][N+]#N
ISAYAC02,14.8,Nc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C
ISAYEG01,17.9,ONc1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-]
ISICUJ,5.4,Cc1cc(ccc1NCc1ccccc1)[N+](=O)[O-]
ISUQES,8.5,N#Cc1c(nc(n1c1ccccc1)C)[N+](=O)[O-]
ITASIH,9.7,O[C@@H](c1ccccc1[N+](=O)[O-])Nn1c(C)nnc1C
ITIKAY01,9.4,CCOC(=O)/C(=N\Nc1ccc(cc1O)[N+](=O)[O-])/C(=O)C
ITINAA,18.9,N#[N+][N-]CC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C[N-][N+]#N
ITINEE,21.8,OC(=O)c1nnn(c1)CC([N+](=O)[O-])([N+](=O)[O-])Cn1nnc(c1)C(=O)O
IVEQIL,6.5,CCOC(=O)C1=N[C@H](O[C@@H]1c1ccc(cc1)[N+](=O)[O-])C(C)C
IVEREH,9.1,[O-][N+](=O)C1=C/C(=C/NCC)/C(=O)C=C1
IYAWEK,14.6,O/N=C(/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C)\C
IZAREG,10.3,CC(=O)O/N=C/c1cccc(c1)[N+](=O)[O-]
IZEQUA,8.4,CN1C(=O)/C(=N\Nc2ccc(cc2)[N+](=O)[O-])/C(=O)c2c1cccc2
IZIPUD,10.9,Oc1ccc(cc1)/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C
IZUFIS,5.7,[O-][N+](=O)c1cc2ccccc2nc1c1ccccc1
IZUFUE,6.8,CCc1nc2ccccc2cc1[N+](=O)[O-]
JABLUW01,23.4,[O-][N+](=O)n1ccc(n1)n1cnnn1
JABMAD01,25.3,[O-][N+](=O)n1ncc(c1)n1cnnn1
JACYOB,9.8,NC(=O)c1cccc(c1)[N+](=O)[O-]
JADNIM,5.7,O=C1C=CC(=CC1=C1NC(C(N1)(C)C)(C)C)[N+](=O)[O-]
JAHPIR,12.4,[O-][N+](=O)c1ccc(o1)/C=N/n1cccn1
JAJBEB,28.6,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2C([C@H]3[C@H]4C1([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
JAKCOO,13.2,Cc1ccnc(c1[N+](=O)[O-])/N=N/c1nccc(c1[N+](=O)[O-])C
JAPKIU,27,NNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JAPPAR,9.2,CCN1CCO[C@@H](O1)c1ccc(cc1)[N+](=O)[O-]
JAPXIK,6,[O-][N+](=O)c1ccc(cc1)/C=C\C1=NN(CC1)c1ccccc1
JAPXOQ,6.4,[O-][N+](=O)c1ccc(cc1)/C=C/C1=NN(CC1)c1ccccc1
JAQTOK,6.9,[O-][N+](=O)c1ccccc1c1nnc2c(c1)C(=O)c1c2cccc1
JAQVUV,23.3,CCN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JASLEV,22.6,CC(=O)NC(=C([N+](=O)[O-])[N+](=O)[O-])N
JAWKIC,7.2,C[C@@]1(CN=NN1c1ccc(cc1)[N+](=O)[O-])c1ccccc1
JAXTAE,10.1,[O-][N+](=O)c1cccc(c1)/C=N/N=C/c1cccc(c1)[N+](=O)[O-]
JAYDET,6.5,OC[C@H](Cc1ccccc1)N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
JAYGEW,10.2,O=C(Nc1ccc(cc1)[N+](=O)[O-])/C=C\C(=O)O
JAYZOB,7.1,O=C(N(c1ccccc1)OC(=O)C)c1ccc(cc1)[N+](=O)[O-]
JECVAO,12,O[C@@H](Cn1ccnc1[N+](=O)[O-])CN1CC1
JECVES,10,[O-][N+](=O)c1nccn1C[C@@H](CN1C[C@@H]1C)O
JEDSUG,30.6,O=C1N(CCN1[N+](=O)[O-])[N+](=O)[O-]
JEDXIC,6.7,Cc1cc2c(cc1C)nc1n2CCn2c1c(cc2)[N+](=O)[O-]
JEHLAJ,39.1,[O-][N+](=O)N1CCN([C@@H]2[C@H]1N([N+](=O)[O-])C(=O)N2[N+](=O)[O-])[N+](=O)[O-]
JEHLEN,28.1,CC(=O)O[C@@H]1N([N+](=O)[O-])[C@H]2[C@@H](N1[N+](=O)[O-])N(CCN2[N+](=O)[O-])[N+](=O)[O-]
JEHNUF,8,O=C(c1ccc(cc1)[N+](=O)[O-])Oc1ccccn1
JEJZAA,18.8,O=[N+]1C=C/C(=[NH+]/[N+](=O)[O-])/C=C1
JEKHIR,6.9,CCOC(=O)[C@H](/C(=C\c1ccc(cc1)N(C)C)/[N+](=O)[O-])O
JEKQUO,8,[O-][N+](=O)O[C@@H]1[C@H](Cc2c1cccc2)ON1C(=O)c2c(C1=O)cccc2
JELTEC,7.3,[O-][N+](=O)c1ccc(cc1)n1nnc(c1)Cc1ccccc1
JEMWII,9.3,COc1ccccc1C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccccc1OC
JENZAG,7.2,[O-][N+](=O)c1ccc2c(c1)nc(o2)c1ccccc1
JEQWEI,8.3,[O-][N+](=O)c1ccc(cc1)Cn1nnc2c1cccc2
JERVUY,24.7,[O-][N+](=O)c1c[nH]c(=O)c(c1)[N+](=O)[O-]
JEXLUT,31.2,[O-][N+](=O)N1CN(C[C@@H]2[C@H]1CN(CN2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JEXMAA,28.6,[O-][N+](=O)N1CN(C[C@@H]1[C@H]1CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JEXMEE,28.5,[O-][N+](=O)N1CN(C2(C1)CN(CN(C2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JEXMII,32.6,[O-][N+](=O)N1CCN([C@@H]2[C@@H]1N(CCN2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JIDBIH,8.4,[O-][N+](=O)C1(CCCCC1)C1(CCCCC1)[N+](=O)[O-]
JIJROJ,23.6,CO[C@@H]1O[C@H](CO[N+](=O)[O-])[C@H]([C@@H]([C@H]1O[N+](=O)[O-])O)O[N+](=O)[O-]
JILKEU,10.3,N#C[C@]1([N+](=O)[O-])[C@H]2[C@@H]1[C@@H]1C[C@H]2C=C1
JINYEK,12.3,CN1N=NN(C(/C/1=N/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])(C)C)C
JIPSAF,28.6,[O-][N+](=O)c1nonc1Nc1nnc2n(n1)cnn2
JIRTAG,4.7,[O-][N+](=O)c1ccc(cc1)/C=C/n1c2ccccc2c2c1cccc2
JITLUT,5.6,CC(N1CCCO[C@@H]1c1ccc(cc1)[N+](=O)[O-])C
JIZJIL,12.4,[O-][N+](=O)c1cnc(n1C)C
JODHOA,14.6,[O-][N+](=O)c1ccc(cc1)n1nnnc1N
JODSEA,5.6,O=C(Cc1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
JOFGER,8.7,COc1cc2n(cnc2c(c1)[N+](=O)[O-])C(C)C
JOFGUH,7.3,COc1cccc(c1)/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C
JOHBUD01,19.9,[O-][N+](=O)[C@H]1[C@@H](C21CC2)[N+](=O)[O-]
JOKLIG,7.3,CNC1=C([N+](=O)[O-])[C@@H](c2c(O1)[nH]nc2C)c1ccc(cc1)C
JOKQOR,14,CC(=O)Nc1ccc(cc1[N+](=O)[O-])c1[nH]nnn1
JOKTIM,17,[O-][N+](=O)C1=CC(=[N+]([O-])[O-])[C@]2(C(=C1)[N+](=O)[O-])OCc1[n+]2cccc1
JOLNED,11.4,CN(/N=N/c1ccc(cc1)[N+](=O)[O-])C
JOPNAD,24.5,[O-][N+](=O)[N-][N@+]12CC[N@+](CC1)(CC2)[N-][N+](=O)[O-]
JOPNUX,8.9,[O-][N+](=O)c1ccc2c(c1)NCCOCCNCCO2
JORBUN,21.4,[O-][N+](=O)C(C([N+](=O)[O-])(C)C)([N+](=O)[O-])C
JORCAU,19.2,CCC(C([N+](=O)[O-])(C)C)([N+](=O)[O-])[N+](=O)[O-]
JOTDOL,10.2,CCC(=O)N1CN([C@@H]2[C@H]1OCN2[N+](=O)[O-])C(=O)CC
JOTFED,17.4,CC(=O)N1CN([C@H]2[C@@H]1N(CN2[N+](=O)[O-])[N+](=O)[O-])C(=O)C
JOWWIB,27.8,[O-][N+](=O)c1n[nH]c(n1)N
JOYRAQ,7.1,C=CCn1c(nc2c(c1=O)cccn2)c1ccc(cc1)[N+](=O)[O-]
JUBCOY,13.5,[O-][N+](=O)c1cccnc1c1ncccc1[N+](=O)[O-]
JUFKIE,11.3,[O-][N+](=O)C1=C[N-][C@]2(C(=C1)[N+](=O)[O-])N(C)C1=CC=CC=CC1=[N+]2C
JUFLAX,8.7,O=C(c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])Oc1ccc2c3c1C(=O)C=Cc3ccc2
JULGUS,8.8,C/C(=N\N=C(\c1ccccc1[N+](=O)[O-])/C)/c1ccccc1[N+](=O)[O-]
JULHAZ,8.8,C/C(=N/N=C(/c1ccccc1[N+](=O)[O-])\C)/c1ccccc1[N+](=O)[O-]
JULHED,10.3,[O-][N+](=O)c1ccccc1/C=N/N=C/c1ccccc1[N+](=O)[O-]
JULWAO20,7.2,[O-][N+](=O)c1ccc(cc1)/N=N/C1(C)C(=O)c2c(C1=O)cccc2
JUMFAA,19.1,CC(=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
JUNBEB,35.4,[O-][N+](=O)c1nnc2n(c1N)nc(c2[N+](=O)[O-])[N+](=O)[O-]
