ID,DetoQ(J/g),SMILES,,,,,,,,,,DetoQ
EZESOS,2457,CN(/C=C/C(=O)c1ccccc1[N+](=O)[O-])C,,,,,,,,,,2.457
EZESUY,3056,[O-][N+](=O)c1ccccc1c1cc[nH]n1,,,,,,,,,,3.056
EZETAF,2339,COc1ccc(cc1)n1nccc1c1ccccc1[N+](=O)[O-],,,,,,,,,,2.339
EZICUM,1546,CCCc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-],,,,,,,,,,1.546
FABHUL,6436,[O-][N+](=O)c1c([N+](=O)[O-])c(c(n1C)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,6.436
FABJAW,1889,N#Cc1c(C)c(C)c(c(c1N)[N+](=O)[O-])c1ccccc1,,,,,,,,,,1.889
FABRAD,2038,CC(/N=C/c1cc(ccc1O)[N+](=O)[O-])C,,,,,,,,,,2.038
FABROP10,3901,[O-][N+](=O)c1cc(cc(c1Nn1c2ccccc2c2c1cccc2)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.901
FACQAE,6083,[O-][N+](=O)/N=c/1\[nH]nnn1/N=C/C1=C(C)[N+](=O)O[N-]1,,,,,,,,,,6.083
FACYAK,2230,[O-][N+](=O)c1ccccc1C(=O)Nc1ccccc1,,,,,,,,,,2.23
FADGOG,3025,COc1ccc(cc1)[C@H](OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C,,,,,,,,,,3.025
FADGUM,3100,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H](c1ccccc1)C,,,,,,,,,,3.1
FADKIF,1591,CN1CCC(=C/C/1=N\c1ccc(cc1)[N+](=O)[O-])c1ccccc1,,,,,,,,,,1.591
FADTOW,1981,[O-][N+](=O)c1ccc2c(c1)n(nc2)C(=O)C(C)(C)C,,,,,,,,,,1.981
FAJYIY,1761,CN(c1ccc(cc1)C(=C)c1ccc(cc1)[N+](=O)[O-])C,,,,,,,,,,1.761
FAKVOC,1939,CN(c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-])C,,,,,,,,,,1.939
FAKVUI,2435,[O-][N+](=O)c1ccc(nc1)Nc1ccccc1,,,,,,,,,,2.435
FAKWET,3752,[O-][N+](=O)c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-],,,,,,,,,,3.752
FASGAH,3007,[O-][N+](=O)c1cc2c3ccccc3C(=O)c3c2c(c1)c([N+](=O)[O-])c1c3cccc1,,,,,,,,,,3.007
FAWWIJ,3863,[O-][N+](=O)c1c(ccc(c1C)[N+](=O)[O-])N(C)C,,,,,,,,,,3.863
FECJEE,1501,Cc1ccc2c(c1)n(c1ccc(cc1)[N+](=O)[O-])c(n2)c1ccccc1,,,,,,,,,,1.501
FEFHUW,3032,[O-][N+](=O)c1n(C)cnc1c1conc1c1ccccc1,,,,,,,,,,3.032
FEFXUM,6127,Nc1nonc1c1nonc1c1nonc1[N+](=O)[O-],,,,,,,,,,6.127
FEGFIG,2003,CO[C@@]12O[C@@](N=C1c1ccc(cc1)[N+](=O)[O-])([C@H]1[C@@H]2C(=O)N(C1=O)C)C,,,,,,,,,,2.003
FEMSOH,2112,CCOC(=O)C1=C(C)OC(=C([C@H]1c1ccc(cc1)[N+](=O)[O-])C#N)N,,,,,,,,,,2.112
FENDEH,2121,O=c1c2cc(ccc2n2n1CCCCC2)[N+](=O)[O-],,,,,,,,,,2.121
FENQEV,3798,C=CCOC(=O)/C=C/c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.798
FEPFIP,1531,OC[C@@H]1CCCN1C(=O)c1cc(ccc1NC)[N+](=O)[O-],,,,,,,,,,1.531
FEPJIT,3310,[O-][N+](=O)c1cccc(c1)COCc1cccc(c1)[N+](=O)[O-],,,,,,,,,,3.31
FESNEW16,4609,COc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.609
FESNIA01,4800,COc1c(cccc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.8
FETRAY,2119,COc1ccc(cc1)C(=O)[C@@H](Oc1ccc(nc1[N+](=O)[O-])C)C,,,,,,,,,,2.119
FEXBUF,4504,[O-][N+](=C1C=C[N+](=O)C(=C1)C)[O-],,,,,,,,,,4.504
FEYLUQ01,6391,[O-][N+](=O)N1CCN(c2c1non2)[N+](=O)[O-],,,,,,,,,,6.391
FIBLIL,2839,O=C(c1ccc(cc1)[N+](=O)[O-])N1CCCCO1,,,,,,,,,,2.839
FICDOK,3676,COc1n(C)cnc1[N+](=O)[O-],,,,,,,,,,3.676
FIDCIF,2677,[O-][N+](=O)c1cccnc1OCc1ccccc1,,,,,,,,,,2.677
FIDHIL,2718,N#Cc1c(OCCn2c(C)ncc2[N+](=O)[O-])cccc1C#N,,,,,,,,,,2.718
FIDKIM,1277,[O-][N+](=O)C1=C(C)NC(=C2[C@H]1CC(C)(C)CC2=O)C,,,,,,,,,,1.277
FIJHAH,4782,O=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.782
FIKXAY,3601,COC(=O)[C@@]12[C@H]3C[C@H]4[C@@H]1[C@]1([C@]2([N+](=O)[O-])[C@H]([C@@H]3[C@@H]41)OC)[N+](=O)[O-],,,,,,,,,,3.601
FINNIA,2659,Oc1ccc(cc1/C=N/N1CCOCC1)[N+](=O)[O-],,,,,,,,,,2.659
FINVEG,2744,[O-][N+](=O)c1ccc(o1)c1ncncc1Nc1ccccc1,,,,,,,,,,2.744
FIPZIN,6243,N#[N+][N-]CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C[N-][N+]#N,,,,,,,,,,6.243
FIWGEY,1693,CC1(C)N=C([C@@H]2N1[C@H]2c1ccc(cc1)[N+](=O)[O-])c1ccccc1,,,,,,,,,,1.693
FIWLEF,3145,CC(CNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C,,,,,,,,,,3.145
FIWLIJ,2630,CC[C@H]([C@H](C(=O)OC)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C,,,,,,,,,,2.63
FIYKEG,1683,COC(=O)C(NC(=O)/C=C/c1cccc(c1)[N+](=O)[O-])(C)C,,,,,,,,,,1.683
FIZFOL,3263,CCOc1cc(/C=N/Nc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])ccc1O,,,,,,,,,,3.263
FOBZUS,2256,[O-][N+](=O)c1ccccc1c1nc2c([nH]1)cccc2,,,,,,,,,,2.256
FOCCEI,1756,CC(=O)Oc1cccc(c1C)C(=O)Nc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.756
FOCXUR01,1928,[O-][N+](=O)c1ccccc1[C@H]1NCc2c(N1)cccc2,,,,,,,,,,1.928
FOHMUK,6135,[O-][N+](=O)[C@H]1C[C@@H]1[N+](=O)[O-],,,,,,,,,,6.135
FOKTOO,1266,O=C1N[C@@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.266
FOKTUU,1265,O=C1N[C@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.265
FOMQEE,3376,COc1c([N+](=O)[O-])c(cc(c1OC(=O)C)C)/C=C(/[N+](=O)[O-])\C,,,,,,,,,,3.376
FOVVAN,2907,[O-][N+](=O)[C@]12N(O)[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@@H]5[C@H]2[C@H]3[C@@H]5[C@H]4C1,,,,,,,,,,2.907
FOVXAP,1988,[O-][N+](=O)/C(=C/c1cn(c2c1cccc2)C)/C,,,,,,,,,,1.988
FOVYOE11,2538,COc1ccc(cn1)/N=C/c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.538
FOXCAY,2775,CCOC(=O)/C(=C\c1cccc(c1)[N+](=O)[O-])/C#N,,,,,,,,,,2.775
FUGVEJ,4536,CC(=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.536
FUHSEG,3710,N#C/C(=C\c1ccccc1)/[N+](=O)[O-],,,,,,,,,,3.71
FUJSOS,3876,CC(=O)O[C@@H]1N(CCN([C@H]1O)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.876
FUJXEO,5968,NNC(=C([N+](=O)[O-])[N+](=O)[O-])N,,,,,,,,,,5.968
FULKUS,3504,[O-][N+](=O)c1cccc2c1[nH]nc2,,,,,,,,,,3.504
FULYEQ10,3405,[O-][N+](=O)c1c([N+](=O)[O-])c(C)c(c(c1C)C)C,,,,,,,,,,3.405
FUQFAY,3054,O/N=C(/c1ccc(cc1)[N+](=O)[O-])\C/C(=N\O)/c1ccccc1O,,,,,,,,,,3.054
FUSZEY,2182,[O-][N+](=O)c1cccc2c1[nH]c(=O)c1c2cccc1,,,,,,,,,,2.182
FUWNIU,3202,[O-][N+](=O)OCCNC(=O)c1cccnc1,,,,,,,,,,3.202
FUXNAN,2656,CNc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.656
FUXZIH,1787,C[C@@H](c1ccccc1)Nc1ccc(cn1)[N+](=O)[O-],,,,,,,,,,1.787
GADFID,2526,CN(/C=C/c1ncn(c1[N+](=O)[O-])C)C,,,,,,,,,,2.526
GAFNUW,3139,CC(=O)O[C@H]1C[C@H]2C[C@@H]1C1=CC(=[N+]([O-])[O-])[N+](=O)C=C21,,,,,,,,,,3.139
GAHKAB02,1878,CC(=O)Nc1cc(ccc1N(C)C)[N+](=O)[O-],,,,,,,,,,1.878
GAKQOZ,2727,O=C(c1ccccn1)N/N=C/c1ccccc1[N+](=O)[O-],,,,,,,,,,2.727
GAKWUM,4796,[O-][N+](=O)c1cc(ccc1/C=N/n1cnnc1)[N+](=O)[O-],,,,,,,,,,4.796
GAKXAT,3727,[O-][N+](=O)c1cccc(c1)/C=N/n1cnnc1,,,,,,,,,,3.727
GALYIE,3280,[O-][N+](=O)CC(c1c[nH]c2c1cccc2)C[N+](=O)[O-],,,,,,,,,,3.28
GANTAT01,5330,[O-][N+](=O)c1[nH]nc(c1Nc1nnc2n(n1)cnn2)[N+](=O)[O-],,,,,,,,,,5.33
GAQMIV,3625,[O-][N+](=O)c1cccc2c1[nH]ncc2=O,,,,,,,,,,3.625
GAQMOB,3201,Cn1cc2c(n1)c(ccc2)[N+](=O)[O-],,,,,,,,,,3.201
GARBUY,2490,[O-][N+](=O)c1ccc(c(c1)C(=O)O)N,,,,,,,,,,2.49
GATPEW,2459,CN(c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-],,,,,,,,,,2.459
GATYIK,2763,[O-][N+](=O)c1ccc2c(c1)ccc(=O)[nH]2,,,,,,,,,,2.763
GAVGIU,2456,Oc1ccccc1/N=C/C=C/c1ccccc1[N+](=O)[O-],,,,,,,,,,2.456
GAWBOW,2231,CCOc1cc(/C=N/Nc2ccc(cc2)[N+](=O)[O-])ccc1O,,,,,,,,,,2.231
GAWGUH,2031,Cc1ccccc1/N=C/C=C/c1ccccc1[N+](=O)[O-],,,,,,,,,,2.031
GAXGOE,2254,COC(=O)c1cnc(nc1C)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.254
GAZBEQ,2358,COC(=O)c1cc(ncc1C(=O)OC)c1ccccc1[N+](=O)[O-],,,,,,,,,,2.358
GECCUM,1815,O[C@@]1(C=CC2=NCC[C@@]2(C1)C)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.815
GECPEL,1856,CCCCn1cnnc1Nc1cccc(c1)[N+](=O)[O-],,,,,,,,,,1.856
GECPIP,1803,Cc1cc(ccc1C)n1cnnc1Nc1cccc(c1)[N+](=O)[O-],,,,,,,,,,1.803
GEDWIV,3695,N#CC1=C(C#N)[C@@](C)([N+](=O)[O-])C(C(=O)[C@]1(C)[N+](=O)[O-])(C)C,,,,,,,,,,3.695
GEDYEU,5506,[O-][N+](=O)N1CCn2c1nnn2,,,,,,,,,,5.506
GEJKUB,2011,[O-][N+](=O)c1ccc(cc1)CNc1ccccc1,,,,,,,,,,2.011
GEJLAI,1710,[O-][N+](=O)c1ccc(cc1)CCNc1ccccc1,,,,,,,,,,1.71
GEJLEM,1305,Cc1ccc(cc1)N(CCc1ccc(cc1)[N+](=O)[O-])C,,,,,,,,,,1.305
GEKKOY,3629,O=[N+]1c2ccc(cc2[N-]OC21CCCCC2)[N+](=O)[O-],,,,,,,,,,3.629
GEKKUE,2850,O=[N+]1c2cc(ccc2[N-]C21CCCCC2)[N+](=O)[O-],,,,,,,,,,2.85
GELHUD,2029,[O-][N+](=O)OCCNC(=O)c1ccccc1NC(=O)c1ccccc1,,,,,,,,,,2.029
GEMZAZ,4203,O=C1N[C@H]2[C@@H](N1[N+](=O)[O-])NC(=O)N2[N+](=O)[O-],,,,,,,,,,4.203
GEPPUN,1780,CCN(c1ccccc1)C(=O)COc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.78
GEQHOZ,2123,CO/C(=N/C(=O)c1ccccc1)/Nc1ccccc1[N+](=O)[O-],,,,,,,,,,2.123
GERPOJ02,3246,OCCNc1cc(NCCO)c(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.246
GESFAO,2069,O=C1N[C@@H](Nc2c1cccc2)c1ccccc1[N+](=O)[O-],,,,,,,,,,2.069
GETFIU01,5449,[N-]=[N+]=C1C=C(C=C(C1=O)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,5.449
GEVLEZ,2041,COc1cc(C(=O)NCc2ccccc2)c(cc1OC)[N+](=O)[O-],,,,,,,,,,2.041
GEVSIM,1988,COC(=O)C1=C(C)N[C@H](C(=C1)[N+](=O)[O-])c1ccccc1,,,,,,,,,,1.988
GEVSOS,2660,COC(=O)/C(=C(\N)/C)/C=C/[N+](=O)[O-],,,,,,,,,,2.66
GEXKUP,2043,N/C(=N\c1ccc(cc1)[N+](=O)[O-])/c1ccccc1,,,,,,,,,,2.043
GEYNON,4055,O=C1OCOc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.055
GEYREK,4358,[O-][N+](=O)c1nc2n(n1)CCCn1c2nc(n1)[N+](=O)[O-],,,,,,,,,,4.358
GEZKII,2133,COc1ccc(cc1)n1ccc(c1c1ccc(cc1)[N+](=O)[O-])C=O,,,,,,,,,,2.133
GIBVOE,3213,[O-][N+](=O)c1ccc2c3c1[nH]c(=O)[nH]c3c(cc2)[N+](=O)[O-],,,,,,,,,,3.213
GIBZAV,2290,O=C(Cc1ccccc1)N/N=C/c1ccccc1[N+](=O)[O-],,,,,,,,,,2.29
GICTIV,6080,[O-][N+](=O)n1cnc(n1)/N=N/c1ncn(n1)[N+](=O)[O-],,,,,,,,,,6.08
GIGQUI01,5028,COc1c([N+](=O)[O-])c(OC)c(c(c1[N+](=O)[O-])OC)[N+](=O)[O-],,,,,,,,,,5.028
GIHFEI,4372,N#Cc1cc(cc2c1c1c(cc(cc1C2=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.372
GIJBEJ,2201,O=C(C(=O)n1cc(c2c1cccc2)C)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.201
GILYUV,3285,[O-][N+](=O)[C@@H]1[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2[C@@H]2[C@H]3[C@H]4[C@H]1[C@H]2[N+](=O)[O-],,,,,,,,,,3.285
GIMBOT,5489,[O-][N+](=O)c1cc(cc(c1/C=C/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,5.489
GIPRUU,2189,N#C/C(=C\c1ccc(cc1)[N+](=O)[O-])/Cn1cnc2c(c1=O)cccc2,,,,,,,,,,2.189
GIQVEJ01,2399,[O-][N+](=O)c1ccc2c(c1)ncc(n2)c1ccccc1,,,,,,,,,,2.399
GISDIX,3477,O=[N+](c1ccccc1)/N=[NH+]/c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,3.477
GIVJAX,2547,[O-][N+](=O)c1ccc(cc1)Cc1nccnc1,,,,,,,,,,2.547
GIZSOX,5228,O/N=C/1\CCCC1([N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,5.228
GOCTUP,2469,Oc1ccccc1/N=C/c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.469
GODNUI,3174,[O-][N+](=O)c1cccc2c1c1ccccc1nn2,,,,,,,,,,3.174
GOLVAE,2196,N#Cc1c2cccnc2ccc1C([N+](=O)[O-])(C)C,,,,,,,,,,2.196
GOTFOM,2512,[O-][N+](=O)c1cc(/C=N/c2ccccc2)ccc1O,,,,,,,,,,2.512
GOWKOU,2103,CCOC(=O)/C(=C/Nc1cccc(c1)[N+](=O)[O-])/C(=O)O,,,,,,,,,,2.103
GOXKAF,2185,CC(=O)NN(C(=O)c1ccccc1O)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.185
GOZFIM,1735,CN1Cc2ccccc2N[C@H]1c1ccccc1[N+](=O)[O-],,,,,,,,,,1.735
GUFLUO,3469,N#C/C(=N\Nc1ccccc1[N+](=O)[O-])/C(=O)C,,,,,,,,,,3.469
GULGAV,5552,[O-][N+](=O)c1[nH]cnc1[N+](=O)[O-],,,,,,,,,,5.552
GURDAY,6627,[O-][N+](=O)C([C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,6.627
GUTZAY,2691,[O-][N+](=O)c1cccc(c1)c1nnc2n1ncc1c2cccc1,,,,,,,,,,2.691
GUVYAY,1554,[O-][N+](=O)c1ccc2c(c1)C[C@H]1N2CCCC1,,,,,,,,,,1.554
GUZKET,2262,O=C(Cn1cccc(c1=O)[N+](=O)[O-])Nc1ccccc1,,,,,,,,,,2.262
GUZWEE,1800,[O-][N+](=O)[C@]12C[C@H]3[C@H]4[C@@H](C2)[C@H]2[C@@H](C1)[C@@H]3C[C@@](C4)(C2)[N+](=O)[O-],,,,,,,,,,1.8
HABMAZ,4394,[O-][N+](=O)/N=c/1\cc(C)ccn1O,,,,,,,,,,4.394
HABMED,4475,CC1=CC=C[N+](=O)/C/1=[NH+]/[N+](=O)[O-],,,,,,,,,,4.475
HABZIT,1752,N#CCC[C@]1(CCCCCCC1=O)[N+](=O)[O-],,,,,,,,,,1.752
HACLEE,2036,[O-][N+](=O)c1ccc2n(c1=O)C[C@@H]1C[C@H]2CNC1,,,,,,,,,,2.036
HACVAL,2912,OC[C@@H]1N[C@@H]1c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.912
HADCAT,4777,[O-][N+](=O)c1cc(/N=N/c2cc(cc(c2C)[N+](=O)[O-])[N+](=O)[O-])c(c(c1)[N+](=O)[O-])C,,,,,,,,,,4.777
HAGSEP,2234,[O-][N+](=O)c1ccc2c(c1)c1c(c(=O)o2)c(nn1c1ccccc1)C,,,,,,,,,,2.234
HAHRIU,2534,[O-][N+](=O)C1=CC=C2C(=NC3([N+]2=O)CCCCC3)C1=[NH2+],,,,,,,,,,2.534
HAMYAY,1993,C/C(=C/1\N=C(OC1=O)c1ccccc1)/NC(=O)c1cccc(c1)[N+](=O)[O-],,,,,,,,,,1.993
HASHAK,7045,[O-][N+](=O)[C@]12[C@@H]3[C@@H]4[C@H]1[C@@]1([C@H]2[C@]3([C@H]41)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,7.045
HASHEO,7196,[O-][N+](=O)[C@]12[C@H]3[C@]4([C@@H]2[C@]2([C@@H]1[C@@]3([C@@H]42)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,7.196
HAWLUN,2039,COc1ccc(cc1)/C=C(\C(=O)NCc1ccccc1)/[N+](=O)[O-],,,,,,,,,,2.039
HAWSOO,4310,Cc1ccc(c(c1[N+](=O)[O-])[N+](=O)[O-])C,,,,,,,,,,4.31
HAYYEM,4469,[O-][N+](=O)[C@]1(C)c2ccccc2[C@H](c2c1cccc2)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.469
HAYZIR,3321,CCCCOC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.321
HDNBPP,3473,[O-][N+](=O)c1cc(cc2c1O[C@H]1OCCC[C@H]1C2)[N+](=O)[O-],,,,,,,,,,3.473
HEBCHN,2844,C[C@H]([C@]12CCC[C@@H]2C1)OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,2.844
HECDIC,2658,[O-][N+](=O)c1c(C)c([N+](=O)[O-])c(c(c1C)C(C)(C)C)C,,,,,,,,,,2.658
HECFOK,2545,[O-][N+](=O)c1cnc(n1C)c1ccccc1,,,,,,,,,,2.545
HECGAX,2294,Nc1ccc(cc1)c1ncc(n1C)[N+](=O)[O-],,,,,,,,,,2.294
HEDFUU,1685,COC(=O)[C@@]1(N=CN2[C@H]1CC[C@H]2C)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.685
HEGBON,2863,O=C1OC(=N/C/1=C\c1ccco1)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.863
HEHTUJ,3893,[O-][N+](=O)c1c[nH]nc1C,,,,,,,,,,3.893
HEHVAR,3901,[O-][N+](=O)c1cn[nH]c1C,,,,,,,,,,3.901
HENKIU01,2777,CC(=O)C(=NNc1ccc(cc1)[N+](=O)[O-])C(=O)C,,,,,,,,,,2.777
HEPFUD,3411,[O-][N+](=O)c1c(C)nc2n(c1=O)nc[nH]2,,,,,,,,,,3.411
HESPIF,3401,COc1cccc(c1OCCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C=O,,,,,,,,,,3.401
HEVZOZ,948,O=C([C@@H](NC(=O)C(C)(C)C)C)Nc1cccc(c1)[N+](=O)[O-],,,,,,,,,,0.948
HEXTIN,4795,Cc1c([N+](=O)[O-])c(C)c(c(c1[N+](=O)[O-])C)[N+](=O)[O-],,,,,,,,,,4.795
HEXXUE,2007,COc1ccccc1NC(=O)c1cc(C)cc(c1O)[N+](=O)[O-],,,,,,,,,,2.007
HEYLEF,1802,Cc1cnc(nc1c1cccc(c1)[N+](=O)[O-])c1ccccc1,,,,,,,,,,1.802
HIBWUK,2302,[O-][N+](=O)c1cc([N+](=O)[O-])c(cc1C(C)(C)C)C(C)(C)C,,,,,,,,,,2.302
HIGSIZ,5306,N#CCN([N+](=O)[O-])CC#N,,,,,,,,,,5.306
HIHZUT,3674,[O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1[N+](=O)[O-],,,,,,,,,,3.674
HIJBAD,3573,[O-][N+](=O)c1cc(cc2c1[nH]c(=O)c(=O)[nH]2)[N+](=O)[O-],,,,,,,,,,3.573
HIKMEW,3231,CC(=O)CN1[C@H]2N/C(=N\[N+](=O)[O-])/N([C@H]2N/C/1=N\[N+](=O)[O-])CC(=O)C,,,,,,,,,,3.231
HIMYOU,1719,CCOC(=O)[C@H]([C@@H]([C@H]([N+](=O)[O-])C)c1ccccc1)C#N,,,,,,,,,,1.719
HIMYUA,1706,CCOC(=O)[C@H]([C@@H]([C@@H]([N+](=O)[O-])C)c1ccccc1)C#N,,,,,,,,,,1.706
HIPSII,1794,Cc1ccc(cc1)N1C[C@H]2[C@]3(C1)C=C[C@]([C@@H]2C)(O3)[N+](=O)[O-],,,,,,,,,,1.794
HIQVEI,1867,COC(=O)C1=C(C)NC(=O)C[C@H]1c1ccccc1[N+](=O)[O-],,,,,,,,,,1.867
HISRUW01,2350,CCC(Nc1c(cc(c(c1[N+](=O)[O-])C)C)[N+](=O)[O-])CC,,,,,,,,,,2.35
HITMUS,4371,C/C(=C(\C[N+](=O)[O-])/C)/C[N+](=O)[O-],,,,,,,,,,4.371
HITNED01,3465,CC=C=CC(/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])(C)C,,,,,,,,,,3.465
HIVLAA,2042,[O-]C(=O)[C@H](CCCN/C(=N/[N+](=O)[O-])/N)[NH3+],,,,,,,,,,2.042
HIVXOA,1640,[O-][N+](=O)c1ccc2c(c1)c1[nH]c3c(c1CC2)cccc3,,,,,,,,,,1.64
HIXLUX,1557,CN(/C(=N\c1ccc(cc1)[N+](=O)[O-])/N(c1ccccc1)C)C,,,,,,,,,,1.557
HIYDIC,2029,O=C(N(c1ccccc1[N+](=O)[O-])C)/C=C/c1ccccc1,,,,,,,,,,2.029
HIYMIL,5953,[O-][N+](=O)/N=[N+]/1\C=[NH+]N=C1,,,,,,,,,,5.953
HNIABZ20,5901,[O-][N+](=O)c1cc(cc(c1/N=N/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,5.901
HNIMOZ,3964,[O-][N+](=O)c1cnc2n1CCO2,,,,,,,,,,3.964
HOCVEA,3620,O=C1C(=O)c2cccc(c2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.62
HOCWEB,2957,[O-][N+](=O)c1ncc(cn1)c1ccccc1,,,,,,,,,,2.957
HODKAN,3323,CCC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])CC,,,,,,,,,,3.323
HOFDOV01,4769,O=[N+]1C=C/C(=[N+](/[N+](=O)[O-])\C)/C=C1,,,,,,,,,,4.769
HOFFIR,1519,CC[C@@]1(CCC(=O)NC1=O)c1cccc(c1)[N+](=O)[O-],,,,,,,,,,1.519
HOFFOX,2875,CC[C@@]1(CCC(=O)NC1=O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,2.875
HOHCIR,2629,O=NN1[C@@H](CO[C@@H]1c1ccc(cc1)[N+](=O)[O-])Cc1ccccc1,,,,,,,,,,2.629
HOMDAO,2508,O=C(c1ccc(cc1)[N+](=O)[O-])Cn1ccccc1=O,,,,,,,,,,2.508
HONHOJ,2642,O=C(c1cccnc1)/C=C/c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.642
HOQVUF,3799,[O-][N+](=O)c1cc(ccc1n1nnc(c1)c1ccccc1)[N+](=O)[O-],,,,,,,,,,3.799
HOTFEC,2289,O=C(c1cccc(c1O)[N+](=O)[O-])Nc1ccccc1,,,,,,,,,,2.289
HOWJEI,4365,[O-][N+](=O)[C@@H]1C[C@H](C[C@H](C21OCCO2)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.365
HOYSEV,6693,[O-][N+](=O)C(c1nonc1Oc1nonc1C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,6.693
HOZBII,2513,Oc1ccc(cc1)C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.513
HUCZOV,1891,CC1=NN([C@@H](C1)c1ccccc1)c1cccc(c1)[N+](=O)[O-],,,,,,,,,,1.891
HUDBOY,2761,C/C(=N/Nc1ccccc1[N+](=O)[O-])/C=C/c1ccco1,,,,,,,,,,2.761
HUDKIB,2228,[O-][N+](=O)c1ccc(cc1)COc1cccc2c1nccc2,,,,,,,,,,2.228
HUDLOI,1495,CC(NC(=O)c1cccc(c1[N+](=O)[O-])C)C,,,,,,,,,,1.495
HUFCOB,3269,O=C(c1cnoc1C)N/N=C/c1cccc(c1)[N+](=O)[O-],,,,,,,,,,3.269
HUFFEU,4060,O=C(c1ccccc1)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.06
