ID,DetoQ(J/g),SMILES,,,,,,,,,,DetoQ
BOCROA,2110,O=C1CC(C)(C)CC(=O)C1=NNc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.11
BOCYOI,3421,O=NN(c1ccccc1)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,3.421
BOGSIA,4172,C/C=C/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.172
BOJDOU,2458,COc1ccccc1N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-],,,,,,,,,,2.458
BOLPEX,3220,O=C1c2c(ccc(c2C(=O)c2c1c(ccc2O)[N+](=O)[O-])O)[N+](=O)[O-],,,,,,,,,,3.22
BOMHAM,2785,Cc1nc2cc(ccc2c(=O)o1)[N+](=O)[O-],,,,,,,,,,2.785
BOPQUU,1610,[O-][N+](=O)c1cc2c(CCC(=O)OCC)c[nH]c2cc1,,,,,,,,,,1.61
BOQHEU,3540,Cc1cc(C)c(c(=O)c(c1)C)Oc1ncc(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.54
BOQJAS,3190,[O-][N+](=O)c1cc(ccc1n1cc(c(n1)c1ccccc1O)C)[N+](=O)[O-],,,,,,,,,,3.19
BOQWUZ,4610,O=C1O[C@@H]2[C@H](O1)N(CN2[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.61
BORHAS,3059,[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)NCCOC,,,,,,,,,,3.059
BORHIA,2359,O=C(N/N=C/c1ccc(o1)[N+](=O)[O-])NCCc1ccccc1,,,,,,,,,,2.359
BOSVIO,4464,[O-][N+](=O)c1cc2c(=O)[nH]c3c(c2c(c1)[N+](=O)[O-])cc(cc3[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.464
BOTLEC,2008,CCOC(=O)/C(=C\[N+](=O)[O-])/c1cn(c2c1cccc2)C,,,,,,,,,,2.008
BOTMUT,3016,O=c1n2CCCCCc2nc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.016
BOWSIP,2626,CC(=O)/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C,,,,,,,,,,2.626
BUDKER,3513,COc1cccc(c1c1c(OC)cccc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.513
BUDVEC,2912,C/C=C/C=N/Nc1ccccc1[N+](=O)[O-],,,,,,,,,,2.912
BUDVIH,3276,C=C1C(=NO[C@@]1(O)c1ccc(cc1)[N+](=O)[O-])C,,,,,,,,,,3.276
BUFDUC,2285,CCOc1cc(/C=N/Nc2ccccc2[N+](=O)[O-])ccc1O,,,,,,,,,,2.285
BUGKIY,5710,[O-][N+](=O)c1cn(c(n1)[N+](=O)[O-])N,,,,,,,,,,5.71
BUGKOE,6479,[O-][N+](=O)Nn1cc(nc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,6.479
BUNCIW,4939,[O-][N+](=O)C1=C([N+](=O)[O-])[C@@](C)([N+](=O)[O-])C(C(=O)[C@@]1(C)[N+](=O)[O-])(C)C,,,,,,,,,,4.939
BURJAZ,2771,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCC[C@@H](O2)CCC1,,,,,,,,,,2.771
BURJED,2776,O=C1CCCC(CCC1)OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,2.776
BURKUU,4293,COCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.293
BUSLUY,2560,N#C[C@]1([N+](=O)[O-])[C@H]2C=C[C@@H]([C@@H]1c1ccccc1)C2,,,,,,,,,,2.56
BUTDID,2106,O=C(c1ccccc1)Nc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.106
BUXJAH,4235,N#Cc1cccc(c1C#N)[N+](=O)[O-],,,,,,,,,,4.235
BUYJAG,1552,COC(=O)N[C@@H]1[C@H](C)O[C@@H](C[C@@]1(C)[N+](=O)[O-])OC,,,,,,,,,,1.552
BUYPUG10,4415,[O-][N+](=O)[C@]12C[C@]3(C[C@@](C2)(C[C@@](C1)(C3)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.415
BUZVOH,2642,Cc1ccc(c(c1)[N+](=O)[O-])N/N=C\1/C=CC(=O)C2=CC=CC=C1C2,,,,,,,,,,2.642
BYPOXO,3338,O=C1OC(=N/C/1=C\c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1,,,,,,,,,,3.338
BZOCYX10,3422,N#C/C(=N/O[C@@](c1ccccc1)([N+](=O)[O-])C#N)/c1ccccc1,,,,,,,,,,3.422
CABLIA,1304,CCC(=O)N1C[C@@H]2[C@@]3([C@H]1CC(=O)C=C3CCC2)[N+](=O)[O-],,,,,,,,,,1.304
CACBUF,1685,CC(=O)Nc1c(C)cc(cc1[N+](=O)[O-])C,,,,,,,,,,1.685
CACFOD01,4230,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCC(=C1[N+](=O)[O-])C)[N+](=O)[O-],,,,,,,,,,4.23
CACNIG,2071,[O-][N+](=O)c1ccccc1[C@H](Cc1cnc(o1)c1ccccc1)O,,,,,,,,,,2.071
CAFQUW,4262,Nc1ccn(c(=O)n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.262
CAJTEM,2464,[O-][N+](=O)c1ccc2n(c1)c(cn2)c1ccccc1,,,,,,,,,,2.464
CANKIL,2136,CNC1=NC(=C(/C/1=N\c1ccccc1)[N+](=O)[O-])NC,,,,,,,,,,2.136
CANXIA,3786,OCC(C([N+](=O)[O-])(CO)CO)([N+](=O)[O-])CO,,,,,,,,,,3.786
CASBOQ01,4972,[O-][N+](=O)c1c[nH]nc1n1cnnn1,,,,,,,,,,4.972
CATJIQ01,6285,[O-][N+](=O)N1CC(CN(CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,6.285
CATLUE,3460,O=Cc1cn(nc1c1ccccc1O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.46
CAVDAF,2504,O=C1ON([C@@H](N1c1ccccc1)c1ccccc1[N+](=O)[O-])C,,,,,,,,,,2.504
CAVROG,2955,N#CC([C@]1(C)C(=C1C)C)(c1ccc(cc1)[N+](=O)[O-])C#N,,,,,,,,,,2.955
CAWWED,1667,CN(c1nc(ccc1[N+](=O)[O-])Nc1ccccc1)c1ccccc1,,,,,,,,,,1.667
CAXNIY,2842,[O-][N+](=O)C1([C@@H]2C[C@@H]3C[C@H]1C[C@H](C2)C3)[N+](=O)[O-],,,,,,,,,,2.842
CAYMAR,1812,[O-][N+](=O)c1cccc2c1nc(NCc1ccccc1)cc2,,,,,,,,,,1.812
CECCEU,2180,[O-][N+](=O)c1cccc2c1c1ccccc1NC2,,,,,,,,,,2.18
CEDMUV,3417,[O-][N+](=O)c1ccc(cc1)Cc1nnn[nH]1,,,,,,,,,,3.417
CEDQAF,2555,Oc1cccc(c1)/C=N/NC(=O)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.555
CEDZUG,6901,[O-][N+](=O)[C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42[N+](=O)[O-],,,,,,,,,,6.901
CEGVOB,2230,COc1ccc(cc1)C(=O)Nc1ccc(cc1[N+](=O)[O-])OC,,,,,,,,,,2.23
CEKVOD,2589,[O-][N+](=O)c1ccccc1N/N=C/c1ccccc1,,,,,,,,,,2.589
CEQXEB,4904,CC(=NNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C,,,,,,,,,,4.904
CICMAD01,2528,Oc1ccc(cc1/C=N/Nc1ccccc1)[N+](=O)[O-],,,,,,,,,,2.528
CIDQIP,1392,CC(Nc1ccc(cc1NC(=O)C)[N+](=O)[O-])C,,,,,,,,,,1.392
CIFROY,4790,[O-][N+](=O)c1n[nH]cn1,,,,,,,,,,4.79
CIGSUJ,5458,[O-][N+](=O)OCc1onc(n1)c1noc(n1)CO[N+](=O)[O-],,,,,,,,,,5.458
CIJBAA,2806,[O-][N+](=O)c1ccc2c(c1)c(nc(n2)c1ccccc1[N+](=O)[O-])c1ccccc1,,,,,,,,,,2.806
CIJDAC,2018,CCOC(=O)/C(=C(\N)/C)/[C@@H](c1cccc(c1)[N+](=O)[O-])C(C#N)C#N,,,,,,,,,,2.018
CIJYIE,3923,N#Cc1[nH]c(nc1[N+](=O)[O-])C,,,,,,,,,,3.923
CILBII,5692,CO[C@@H]1O[C@H](CO[N+](=O)[O-])[C@H]([C@@H]([C@H]1O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],,,,,,,,,,5.692
CINVIE,4628,[O-][N+](=O)C1=C[C@@]([N+](=O)[O-])(C2CC2)[C@@H]([C@](C1=O)(C)O)[N+](=O)[O-],,,,,,,,,,4.628
CIQCAJ,2601,[O-][N+](=O)c1cc(N/C=C\2/C=CC=C(C2=O)OC)c(cc1)O,,,,,,,,,,2.601
CIQRIE,2870,[O-][N+](=O)c1ccc(cc1)OCCCCOc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.87
CIVVEI10,3456,CC(=O)Oc1cc(cc2c1c1cc(cc(c1[nH]c2=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.456
CIWMAW01,4337,Nc1nc(N)c(nc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.337
CIWMEA10,6693,[O-][N+](=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,6.693
CMDNFL,3878,N#CC(=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-])C#N,,,,,,,,,,3.878
CMNFLU10,4872,N#CC(=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C#N,,,,,,,,,,4.872
CNOXPA,2624,N#CC1=C(C)N/C(=C\[N+](=O)[O-])/C(=O)C1(C)C,,,,,,,,,,2.624
COCNBZ01,3036,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@H]1CCCCCC=C1,,,,,,,,,,3.036
CODYAX,2718,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)O)O,,,,,,,,,,2.718
COGFUB,6456,[O-][N+](=O)c1n(/N=N/n2cnc(c2[N+](=O)[O-])[N+](=O)[O-])cnc1[N+](=O)[O-],,,,,,,,,,6.456
COGGAI,6030,[O-][N+](=O)c1ncn(n1)/N=N/n1cnc(n1)[N+](=O)[O-],,,,,,,,,,6.03
COMGUG,2411,O=C1c2ccccc2C(=O)N1c1ccccc1[N+](=O)[O-],,,,,,,,,,2.411
COQVAF,3502,N#C/C(=C\c1ccccc1OC)/[N+](=O)[O-],,,,,,,,,,3.502
COWBEV,5766,N#[N+][N-]CN1CN(CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,5.766
COWNUX,1280,CN1[C@@H]2CCCC[C@@H]2CO[C@H]1c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.28
COXXIW,2284,OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)N,,,,,,,,,,2.284
COYLAF03,6472,[O-][N+](=O)C([N+](=O)[O-])([N+](=O)[O-])CNc1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,6.472
CTMTNA,6291,[O-][N+](=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,6.291
CUBHEO,2497,COc1ccc(cc1)N1C(=O)c2c(C1=O)cccc2[N+](=O)[O-],,,,,,,,,,2.497
CUBKAN,2423,COc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)[N+](=O)[O-],,,,,,,,,,2.423
CUDYEH,2124,CCOC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O,,,,,,,,,,2.124
CUDYIL,2269,COC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O,,,,,,,,,,2.269
CUHZEM,2396,O=C1N(/N=C/c2ccc(cc2)[N+](=O)[O-])CNc2c1cccc2,,,,,,,,,,2.396
CUKCAM10,3910,OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.91
CUKRUW,2820,[O-][N+](=O)c1ccc(cc1)c1ncc2n1nc(o2)C1CCC1,,,,,,,,,,2.82
CUKSIK,1361,[O-][N+](=O)c1cnn(c1)[C@]12C[C@@H]3C[C@H](C1)C[C@](C2)(C3)O,,,,,,,,,,1.361
