ID,BDE(kJ/mol),smiles
GEDWIV,83.3,N#CC1=C(C#N)[C@@](C)([N+](=O)[O-])C(C(=O)[C@]1(C)[N+](=O)[O-])(C)C
GEDYEU,96.7,[O-][N+](=O)N1CCn2c1nnn2
GEJKUB,292.9,[O-][N+](=O)c1ccc(cc1)CNc1ccccc1
GEJLAI,293.8,[O-][N+](=O)c1ccc(cc1)CCNc1ccccc1
GEJLEM,295.8,Cc1ccc(cc1)N(CCc1ccc(cc1)[N+](=O)[O-])C
GEKKUE,289,O=[N+]1c2cc(ccc2[N-]C21CCCCC2)[N+](=O)[O-]
GELHUD,147.8,[O-][N+](=O)OCCNC(=O)c1ccccc1NC(=O)c1ccccc1
GEMZAZ,163.6,O=C1N[C@H]2[C@@H](N1[N+](=O)[O-])NC(=O)N2[N+](=O)[O-]
GEPPUN,306.5,CCN(c1ccccc1)C(=O)COc1ccc(cc1)[N+](=O)[O-]
GEQHOZ,275.2,CO/C(=N/C(=O)c1ccccc1)/Nc1ccccc1[N+](=O)[O-]
GERPOJ02,314.5,OCCNc1cc(NCCO)c(cc1[N+](=O)[O-])[N+](=O)[O-]
GESFAO,283.4,O=C1N[C@@H](Nc2c1cccc2)c1ccccc1[N+](=O)[O-]
GETFIU01,258.6,[N-]=[N+]=C1C=C(C=C(C1=O)[N+](=O)[O-])[N+](=O)[O-]
GEVLEZ,261.8,COc1cc(C(=O)NCc2ccccc2)c(cc1OC)[N+](=O)[O-]
GEVSIM,313.3,COC(=O)C1=C(C)N[C@H](C(=C1)[N+](=O)[O-])c1ccccc1
GEVSOS,316,COC(=O)/C(=C(\N)/C)/C=C/[N+](=O)[O-]
GEXKUP,304.4,N/C(=N\c1ccc(cc1)[N+](=O)[O-])/c1ccccc1
GEYNON,260.4,O=C1OCOc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-]
GEYREK,274.8,[O-][N+](=O)c1nc2n(n1)CCCn1c2nc(n1)[N+](=O)[O-]
GEZKII,292.7,COc1ccc(cc1)n1ccc(c1c1ccc(cc1)[N+](=O)[O-])C=O
GIBVOE,304.5,[O-][N+](=O)c1ccc2c3c1[nH]c(=O)[nH]c3c(cc2)[N+](=O)[O-]
GIBZAV,275.7,O=C(Cc1ccccc1)N/N=C/c1ccccc1[N+](=O)[O-]
GICTIV,125.5,[O-][N+](=O)n1cnc(n1)/N=N/c1ncn(n1)[N+](=O)[O-]
GIGQUI01,223.2,COc1c([N+](=O)[O-])c(OC)c(c(c1[N+](=O)[O-])OC)[N+](=O)[O-]
GIHFEI,230.1,N#Cc1cc(cc2c1c1c(cc(cc1C2=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
GIJBEJ,283.3,O=C(C(=O)n1cc(c2c1cccc2)C)c1ccc(cc1)[N+](=O)[O-]
GILYUV,243,[O-][N+](=O)[C@@H]1[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2[C@@H]2[C@H]3[C@H]4[C@H]1[C@H]2[N+](=O)[O-]
GIMBOT,236.2,[O-][N+](=O)c1cc(cc(c1/C=C/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
GIPRUU,287.2,N#C/C(=C\c1ccc(cc1)[N+](=O)[O-])/Cn1cnc2c(c1=O)cccc2
GIQVEJ01,287.6,[O-][N+](=O)c1ccc2c(c1)ncc(n2)c1ccccc1
GISDIX,303.1,O=[N+](c1ccccc1)/N=[NH+]/c1ccc(cc1)[N+](=O)[O-]
GIVJAX,294.7,[O-][N+](=O)c1ccc(cc1)Cc1nccnc1
GIZSOX,114.9,O/N=C/1\CCCC1([N+](=O)[O-])[N+](=O)[O-]
GOCTUP,290.5,Oc1ccccc1/N=C/c1ccc(cc1)[N+](=O)[O-]
GODNUI,243.1,[O-][N+](=O)c1cccc2c1c1ccccc1nn2
GOLVAE,147.6,N#Cc1c2cccnc2ccc1C([N+](=O)[O-])(C)C
GOTFOM,318,[O-][N+](=O)c1cc(/C=N/c2ccccc2)ccc1O
GOWKOU,283.2,CCOC(=O)/C(=C/Nc1cccc(c1)[N+](=O)[O-])/C(=O)O
GOXKAF,298.9,CC(=O)NN(C(=O)c1ccccc1O)c1ccc(cc1)[N+](=O)[O-]
GOZFIM,280.2,CN1Cc2ccccc2N[C@H]1c1ccccc1[N+](=O)[O-]
GUFLUO,288.9,N#C/C(=N\Nc1ccccc1[N+](=O)[O-])/C(=O)C
GULGAV,259.2,[O-][N+](=O)c1[nH]cnc1[N+](=O)[O-]
GURDAY,150.8,[O-][N+](=O)C([C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
GUTZAY,289.6,[O-][N+](=O)c1cccc(c1)c1nnc2n1ncc1c2cccc1
GUVYAY,313,[O-][N+](=O)c1ccc2c(c1)C[C@H]1N2CCCC1
GUZKET,273.5,O=C(Cn1cccc(c1=O)[N+](=O)[O-])Nc1ccccc1
GUZWEE,244,[O-][N+](=O)[C@]12C[C@H]3[C@H]4[C@@H](C2)[C@H]2[C@@H](C1)[C@@H]3C[C@@](C4)(C2)[N+](=O)[O-]
HABMAZ,88.7,[O-][N+](=O)/N=c/1\cc(C)ccn1O
HABMED,87.8,CC1=CC=C[N+](=O)/C/1=[NH+]/[N+](=O)[O-]
HABZIT,151.3,N#CCC[C@]1(CCCCCCC1=O)[N+](=O)[O-]
HACLEE,283.2,[O-][N+](=O)c1ccc2n(c1=O)C[C@@H]1C[C@H]2CNC1
HACVAL,297.3,OC[C@@H]1N[C@@H]1c1ccc(cc1)[N+](=O)[O-]
HADCAT,261.5,[O-][N+](=O)c1cc(/N=N/c2cc(cc(c2C)[N+](=O)[O-])[N+](=O)[O-])c(c(c1)[N+](=O)[O-])C
HAGSEP,294.6,[O-][N+](=O)c1ccc2c(c1)c1c(c(=O)o2)c(nn1c1ccccc1)C
HAHRIU,317.4,[O-][N+](=O)C1=CC=C2C(=NC3([N+]2=O)CCCCC3)C1=[NH2+]
HAMYAY,285.6,C/C(=C/1\N=C(OC1=O)c1ccccc1)/NC(=O)c1cccc(c1)[N+](=O)[O-]
HASHAK,246.3,[O-][N+](=O)[C@]12[C@@H]3[C@@H]4[C@H]1[C@@]1([C@H]2[C@]3([C@H]41)[N+](=O)[O-])[N+](=O)[O-]
HASHEO,238.4,[O-][N+](=O)[C@]12[C@H]3[C@]4([C@@H]2[C@]2([C@@H]1[C@@]3([C@@H]42)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
HAWLUN,255.6,COc1ccc(cc1)/C=C(\C(=O)NCc1ccccc1)/[N+](=O)[O-]
HAWSOO,242.8,Cc1ccc(c(c1[N+](=O)[O-])[N+](=O)[O-])C
HAYYEM,104.3,[O-][N+](=O)[C@]1(C)c2ccccc2[C@H](c2c1cccc2)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
HAYZIR,277.3,CCCCOC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
HDNBPP,265.2,[O-][N+](=O)c1cc(cc2c1O[C@H]1OCCC[C@H]1C2)[N+](=O)[O-]
HEBCHN,278.1,C[C@H]([C@]12CCC[C@@H]2C1)OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
HECDIC,249.8,[O-][N+](=O)c1c(C)c([N+](=O)[O-])c(c(c1C)C(C)(C)C)C
HECFOK,310.6,[O-][N+](=O)c1cnc(n1C)c1ccccc1
HECGAX,314.7,Nc1ccc(cc1)c1ncc(n1C)[N+](=O)[O-]
HEDFUU,295.6,COC(=O)[C@@]1(N=CN2[C@H]1CC[C@H]2C)c1ccc(cc1)[N+](=O)[O-]
HEGBON,287.4,O=C1OC(=N/C/1=C\c1ccco1)c1ccc(cc1)[N+](=O)[O-]
HEHTUJ,321.9,[O-][N+](=O)c1c[nH]nc1C
HEHVAR,323.5,[O-][N+](=O)c1cn[nH]c1C
HENKIU01,295.7,CC(=O)C(=NNc1ccc(cc1)[N+](=O)[O-])C(=O)C
HEPFUD,267.9,[O-][N+](=O)c1c(C)nc2n(c1=O)nc[nH]2
HESPIF,266.6,COc1cccc(c1OCCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C=O
HEVZOZ,290.8,O=C([C@@H](NC(=O)C(C)(C)C)C)Nc1cccc(c1)[N+](=O)[O-]
HEXTIN,244.5,Cc1c([N+](=O)[O-])c(C)c(c(c1[N+](=O)[O-])C)[N+](=O)[O-]
HEXXUE,316.3,COc1ccccc1NC(=O)c1cc(C)cc(c1O)[N+](=O)[O-]
HEYLEF,291.6,Cc1cnc(nc1c1cccc(c1)[N+](=O)[O-])c1ccccc1
HIBWUK,241.4,[O-][N+](=O)c1cc([N+](=O)[O-])c(cc1C(C)(C)C)C(C)(C)C
HIGSIZ,162.4,N#CCN([N+](=O)[O-])CC#N
HIHZUT,243.8,[O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1[N+](=O)[O-]
HIJBAD,282.3,[O-][N+](=O)c1cc(cc2c1[nH]c(=O)c(=O)[nH]2)[N+](=O)[O-]
HIKMEW,207.6,CC(=O)CN1[C@H]2N/C(=N\[N+](=O)[O-])/N([C@H]2N/C/1=N\[N+](=O)[O-])CC(=O)C
HIMYOU,220.1,CCOC(=O)[C@H]([C@@H]([C@H]([N+](=O)[O-])C)c1ccccc1)C#N
HIMYUA,215.8,CCOC(=O)[C@H]([C@@H]([C@@H]([N+](=O)[O-])C)c1ccccc1)C#N
HIPSII,256.9,Cc1ccc(cc1)N1C[C@H]2[C@]3(C1)C=C[C@]([C@@H]2C)(O3)[N+](=O)[O-]
HIQVEI,277.5,COC(=O)C1=C(C)NC(=O)C[C@H]1c1ccccc1[N+](=O)[O-]
HISRUW01,231.3,CCC(Nc1c(cc(c(c1[N+](=O)[O-])C)C)[N+](=O)[O-])CC
HITMUS,151.4,C/C(=C(\C[N+](=O)[O-])/C)/C[N+](=O)[O-]
HITNED01,298.6,CC=C=CC(/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])(C)C
HIVLAA,206.9,[O-]C(=O)[C@H](CCCN/C(=N/[N+](=O)[O-])/N)[NH3+]
HIVXOA,296.5,[O-][N+](=O)c1ccc2c(c1)c1[nH]c3c(c1CC2)cccc3
HIXLUX,307.5,CN(/C(=N\c1ccc(cc1)[N+](=O)[O-])/N(c1ccccc1)C)C
HIYDIC,264.2,O=C(N(c1ccccc1[N+](=O)[O-])C)/C=C/c1ccccc1
HIYMIL,248.2,[O-][N+](=O)/N=[N+]/1\C=[NH+]N=C1
HNIABZ20,231.9,[O-][N+](=O)c1cc(cc(c1/N=N/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
HNIMOZ,322.6,[O-][N+](=O)c1cnc2n1CCO2
HOCVEA,230.2,O=C1C(=O)c2cccc(c2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-]
HOCWEB,250.4,[O-][N+](=O)c1ncc(cn1)c1ccccc1
HODKAN,299.3,CCC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])CC
HOFDOV01,87.6,O=[N+]1C=C/C(=[N+](/[N+](=O)[O-])\C)/C=C1
HOFFIR,290.6,CC[C@@]1(CCC(=O)NC1=O)c1cccc(c1)[N+](=O)[O-]
HOFFOX,251.6,CC[C@@]1(CCC(=O)NC1=O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
HOHCIR,291.8,O=NN1[C@@H](CO[C@@H]1c1ccc(cc1)[N+](=O)[O-])Cc1ccccc1
HOMDAO,283.7,O=C(c1ccc(cc1)[N+](=O)[O-])Cn1ccccc1=O
HONHOJ,289.2,O=C(c1cccnc1)/C=C/c1ccc(cc1)[N+](=O)[O-]
HOQVUF,245.9,[O-][N+](=O)c1cc(ccc1n1nnc(c1)c1ccccc1)[N+](=O)[O-]
HOTFEC,315.7,O=C(c1cccc(c1O)[N+](=O)[O-])Nc1ccccc1
HOWJEI,209.6,[O-][N+](=O)[C@@H]1C[C@H](C[C@H](C21OCCO2)[N+](=O)[O-])[N+](=O)[O-]
HOYSEV,130.7,[O-][N+](=O)C(c1nonc1Oc1nonc1C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
HOZBII,293.8,Oc1ccc(cc1)C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-]
HUCZOV,294.9,CC1=NN([C@@H](C1)c1ccccc1)c1cccc(c1)[N+](=O)[O-]
HUDBOY,311.9,C/C(=N/Nc1ccccc1[N+](=O)[O-])/C=C/c1ccco1
HUDKIB,296.1,[O-][N+](=O)c1ccc(cc1)COc1cccc2c1nccc2
HUDLOI,264,CC(NC(=O)c1cccc(c1[N+](=O)[O-])C)C
HUFCOB,288.9,O=C(c1cnoc1C)N/N=C/c1cccc(c1)[N+](=O)[O-]
HUFFEU,170.6,O=C(c1ccccc1)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
HUFNON,333.3,[O-][N+](=O)c1c(C)nn2c1ccc1c2cccc1
HUFPOP,338.5,Cn1c2ccccc2c2c1n1nc(c(c1cc2)[N+](=O)[O-])C
HUHTAF,255.1,O=c1oc(nc2c1cccc2)c1ccccc1[N+](=O)[O-]
HUKTUD,207.4,[O-][N+](=O)NCC(CN[N+](=O)[O-])(CN[N+](=O)[O-])CN[N+](=O)[O-]
HUKVAL,160.7,[O-][N+](=O)NC(CN[N+](=O)[O-])CN[N+](=O)[O-]
HULJON,309.1,[O-][N+](=O)c1ccc(cc1)NN=C1CCCC1
HUMHEC,297.6,[O-][N+](=O)c1cc(ccc1N/N=C(/c1ccccc1)\C)[N+](=O)[O-]
HUMSAJ,297.8,CC/C(=N\Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/c1ccccc1
HUTHUB,296.3,Cc1ccc(c(c1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])O
HUYGIT,294,COc1ccc(cc1)/C(=C/C=C/c1ccc(cc1)[N+](=O)[O-])/C#N
HUZJAN,147.3,[O-][N+](=O)O[C@@H]1[C@H]2C[C@H]3[C@@H]1[C@H]3[C@H]2O[N+](=O)[O-]
IBAMIK,306,CCCCn1c2ccccc2c2c1ccc(c2)[N+](=O)[O-]
IBIZOJ,288.9,N#Cc1ccccc1n1ncc(n1)[N+](=O)[O-]
ICUFIX,154,[O-][N+](=O)OCCNC(=O)c1ccccn1
IDEHAD,269.5,[O-][N+](=O)c1c(C)cc[nH]c1=O
IDEHEH,270,CCOC(=O)Cn1ccc(c(c1=O)[N+](=O)[O-])C
IDITAR,259.6,OC(=O)c1cccc(c1C(=O)N)[N+](=O)[O-]
IDULEZ,277.7,CCOC(=O)Cn1cccc(c1=O)[N+](=O)[O-]
IFIFOS,292.3,COc1ccccc1/N=C/c1ccc(cc1)[N+](=O)[O-]
IFUVIP,303.9,Nc1ccc(cc1)OCCCOc1ccc(cc1)[N+](=O)[O-]
IGACAV,289.4,COc1cc(/N=C/c2cccc(c2)[N+](=O)[O-])ccc1OC
IGAGON,96.2,[O-][N+](=O)c1cc(ccc1/N=N/C([N+](=O)[O-])(C)C)[N+](=O)[O-]
IHOGER,284.7,C[C@@H]([C@@H](c1ccccc1)CC#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
IJESUL01,245.7,N#C/C(=C(\N(C)C)/N=C(/N(C)C)\C)/[N+](=O)[O-]
IJIVEC,86.6,[O-][N+](=O)/N=c/1\ccccn1O
IJIVIG,128.8,[O-][N+](=O)Nc1ccc[n+](c1)[O-]
IJUKEE,320.1,Oc1ccc(cc1)C(=O)N/N=C/c1ccc(c(c1)[N+](=O)[O-])O
IJUKII,321.1,O=C(c1ccccc1O)N/N=C/c1ccc(c(c1)[N+](=O)[O-])O
IJUSIQ,282.4,OC(COc1ccccc1[N+](=O)[O-])COc1ccccc1[N+](=O)[O-]
IKABUS,307.1,[O-][N+](=O)c1ccc(c(c1)c1nc2c([nH]1)cccc2)O
IKACIH,294.6,O=C1OC(C)(C)OC(=O)C1=CNc1ccc(cc1)[N+](=O)[O-]
IKIMIY,115.1,CN(c1nc(N([N+](=O)[O-])C)c(nc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
IMISAY,174.2,[O-][N+](=O)N(CN([N+](=O)[O-])CO[N-][N+](=O)C)CN([N+](=O)[O-])CO[N-][N+](=O)C
IMIVOP,210.4,[O-][N+](=O)/N=C(/n1nc(nc1N)N)\N
IMIWOQ,205.3,NC(=O)NN/C(=N/[N+](=O)[O-])/N
IMPYRA,307.9,Cc1oc(C)cc(=Nc2ccc(cc2)[N+](=O)[O-])c1
INEZUY,318.9,Nn1nc(c(n1)[N+](=O)[O-])N
INOLUU,292,[O-][N+](=O)c1nnn(c1c1ccccc1)Cc1ccccc1
IPOXAZ,290.1,CC(N1O[C@@H]1c1ccc(cc1)[N+](=O)[O-])C
IPUPOZ,264.5,N#Cc1cc([N+](=O)[O-])c2c(c1)[N+](=O)O[N-]2
IQOMIL,209.3,N#CC(=C1C[C@H](c2ccco2)[C@H]([C@H](C1)c1ccco1)[N+](=O)[O-])C#N
IQOPIO,231.6,N#CC(=C(C[C@H](c1ccccc1)C[N+](=O)[O-])C)C#N
IQUHUZ,296.1,CCOC(=O)Cn1cc2c(n1)cc(cc2)[N+](=O)[O-]
ISACIO,289,C[C@@H](c1ccccc1)NC(=O)c1ccc(cc1)[N+](=O)[O-]
ISAJAN,254,N#[N+][N-]C(=O)c1ccccc1[N+](=O)[O-]
ISAJER,283.6,O=C(c1ccc(cc1)[N+](=O)[O-])[N-][N+]#N
ISAYAC02,262.3,Nc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C
ISAYEG01,265.3,ONc1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-]
ISICUJ,312.2,Cc1cc(ccc1NCc1ccccc1)[N+](=O)[O-]
ISUQES,283.8,N#Cc1c(nc(n1c1ccccc1)C)[N+](=O)[O-]
ITASIH,272.1,O[C@@H](c1ccccc1[N+](=O)[O-])Nn1c(C)nnc1C
ITIKAY01,297.8,CCOC(=O)/C(=N\Nc1ccc(cc1O)[N+](=O)[O-])/C(=O)C
ITINAA,291,N#[N+][N-]CC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C[N-][N+]#N
ITINEE,140.3,OC(=O)c1nnn(c1)CC([N+](=O)[O-])([N+](=O)[O-])Cn1nnc(c1)C(=O)O
IVEQIL,292.8,CCOC(=O)C1=N[C@H](O[C@@H]1c1ccc(cc1)[N+](=O)[O-])C(C)C
IVEREH,313.8,[O-][N+](=O)C1=C/C(=C/NCC)/C(=O)C=C1
IYAWEK,296.6,O/N=C(/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C)\C
IZAREG,289.4,CC(=O)O/N=C/c1cccc(c1)[N+](=O)[O-]
IZEQUA,296.4,CN1C(=O)/C(=N\Nc2ccc(cc2)[N+](=O)[O-])/C(=O)c2c1cccc2
IZIPUD,298.7,Oc1ccc(cc1)/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C
IZUFIS,247.4,[O-][N+](=O)c1cc2ccccc2nc1c1ccccc1
IZUFUE,272.2,CCc1nc2ccccc2cc1[N+](=O)[O-]
JABLUW01,150.9,[O-][N+](=O)n1ccc(n1)n1cnnn1
JABMAD01,154.4,[O-][N+](=O)n1ncc(c1)n1cnnn1
JACYOB,290.4,NC(=O)c1cccc(c1)[N+](=O)[O-]
JADNIM,322.6,O=C1C=CC(=CC1=C1NC(C(N1)(C)C)(C)C)[N+](=O)[O-]
JAHPIR,300.4,[O-][N+](=O)c1ccc(o1)/C=N/n1cccn1
JAJBEB,121.2,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2C([C@H]3[C@H]4C1([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
JAKCOO,247.3,Cc1ccnc(c1[N+](=O)[O-])/N=N/c1nccc(c1[N+](=O)[O-])C
JAPKIU,246.6,NNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JAPPAR,294.4,CCN1CCO[C@@H](O1)c1ccc(cc1)[N+](=O)[O-]
JAPXIK,296.2,[O-][N+](=O)c1ccc(cc1)/C=C\C1=NN(CC1)c1ccccc1
JAPXOQ,299.1,[O-][N+](=O)c1ccc(cc1)/C=C/C1=NN(CC1)c1ccccc1
JAQTOK,263.1,[O-][N+](=O)c1ccccc1c1nnc2c(c1)C(=O)c1c2cccc1
JAQVUV,108.3,CCN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JASLEV,275,CC(=O)NC(=C([N+](=O)[O-])[N+](=O)[O-])N
JAWKIC,303.8,C[C@@]1(CN=NN1c1ccc(cc1)[N+](=O)[O-])c1ccccc1
JAXTAE,287.1,[O-][N+](=O)c1cccc(c1)/C=N/N=C/c1cccc(c1)[N+](=O)[O-]
JAYDET,315.1,OC[C@H](Cc1ccccc1)N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
JAYGEW,292.4,O=C(Nc1ccc(cc1)[N+](=O)[O-])/C=C\C(=O)O
JAYZOB,288.9,O=C(N(c1ccccc1)OC(=O)C)c1ccc(cc1)[N+](=O)[O-]
JECVAO,292.8,O[C@@H](Cn1ccnc1[N+](=O)[O-])CN1CC1
JECVES,290.2,[O-][N+](=O)c1nccn1C[C@@H](CN1C[C@@H]1C)O
JEDSUG,150.8,O=C1N(CCN1[N+](=O)[O-])[N+](=O)[O-]
JEDXIC,301.9,Cc1cc2c(cc1C)nc1n2CCn2c1c(cc2)[N+](=O)[O-]
JEHLAJ,138.4,[O-][N+](=O)N1CCN([C@@H]2[C@H]1N([N+](=O)[O-])C(=O)N2[N+](=O)[O-])[N+](=O)[O-]
JEHLEN,154.1,CC(=O)O[C@@H]1N([N+](=O)[O-])[C@H]2[C@@H](N1[N+](=O)[O-])N(CCN2[N+](=O)[O-])[N+](=O)[O-]
JEHNUF,285.4,O=C(c1ccc(cc1)[N+](=O)[O-])Oc1ccccn1
JEJZAA,89.9,O=[N+]1C=C/C(=[NH+]/[N+](=O)[O-])/C=C1
JEKHIR,287.5,CCOC(=O)[C@H](/C(=C\c1ccc(cc1)N(C)C)/[N+](=O)[O-])O
JEKQUO,150.6,[O-][N+](=O)O[C@@H]1[C@H](Cc2c1cccc2)ON1C(=O)c2c(C1=O)cccc2
JEMWII,229.3,COc1ccccc1C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccccc1OC
JENZAG,293.4,[O-][N+](=O)c1ccc2c(c1)nc(o2)c1ccccc1
JEQWEI,290.4,[O-][N+](=O)c1ccc(cc1)Cn1nnc2c1cccc2
JERVUY,265,[O-][N+](=O)c1c[nH]c(=O)c(c1)[N+](=O)[O-]
JEXLUT,157.1,[O-][N+](=O)N1CN(C[C@@H]2[C@H]1CN(CN2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JEXMAA,142.5,[O-][N+](=O)N1CN(C[C@@H]1[C@H]1CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JEXMEE,138.3,[O-][N+](=O)N1CN(C2(C1)CN(CN(C2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JEXMII,141.7,[O-][N+](=O)N1CCN([C@@H]2[C@@H]1N(CCN2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JIDBIH,182.2,[O-][N+](=O)C1(CCCCC1)C1(CCCCC1)[N+](=O)[O-]
JIJROJ,130.6,CO[C@@H]1O[C@H](CO[N+](=O)[O-])[C@H]([C@@H]([C@H]1O[N+](=O)[O-])O)O[N+](=O)[O-]
JILKEU,179.6,N#C[C@]1([N+](=O)[O-])[C@H]2[C@@H]1[C@@H]1C[C@H]2C=C1
JINYEK,282.5,CN1N=NN(C(/C/1=N/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])(C)C)C
JIPSAF,280.4,[O-][N+](=O)c1nonc1Nc1nnc2n(n1)cnn2
JIRTAG,298.2,[O-][N+](=O)c1ccc(cc1)/C=C/n1c2ccccc2c2c1cccc2
JITLUT,293.9,CC(N1CCCO[C@@H]1c1ccc(cc1)[N+](=O)[O-])C
JIZJIL,314.3,[O-][N+](=O)c1cnc(n1C)C
JODHOA,288.3,[O-][N+](=O)c1ccc(cc1)n1nnnc1N
JODSEA,298.8,O=C(Cc1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
JOFGER,278.2,COc1cc2n(cnc2c(c1)[N+](=O)[O-])C(C)C
JOFGUH,308.8,COc1cccc(c1)/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C
JOHBUD01,244.7,[O-][N+](=O)[C@H]1[C@@H](C21CC2)[N+](=O)[O-]
JOKLIG,335.5,CNC1=C([N+](=O)[O-])[C@@H](c2c(O1)[nH]nc2C)c1ccc(cc1)C
JOKQOR,286.7,CC(=O)Nc1ccc(cc1[N+](=O)[O-])c1[nH]nnn1
JOKTIM,310.6,[O-][N+](=O)C1=CC(=[N+]([O-])[O-])[C@]2(C(=C1)[N+](=O)[O-])OCc1[n+]2cccc1
JOLNED,302,CN(/N=N/c1ccc(cc1)[N+](=O)[O-])C
JOPNAD,271.7,[O-][N+](=O)[N-][N@+]12CC[N@+](CC1)(CC2)[N-][N+](=O)[O-]
JOPNUX,302.3,[O-][N+](=O)c1ccc2c(c1)NCCOCCNCCO2
JORBUN,129.3,[O-][N+](=O)C(C([N+](=O)[O-])(C)C)([N+](=O)[O-])C
JORCAU,121.5,CCC(C([N+](=O)[O-])(C)C)([N+](=O)[O-])[N+](=O)[O-]
JOTDOL,152,CCC(=O)N1CN([C@@H]2[C@H]1OCN2[N+](=O)[O-])C(=O)CC
JOTFED,146.3,CC(=O)N1CN([C@H]2[C@@H]1N(CN2[N+](=O)[O-])[N+](=O)[O-])C(=O)C
JOWWIB,285.1,[O-][N+](=O)c1n[nH]c(n1)N
JOYRAQ,288.5,C=CCn1c(nc2c(c1=O)cccn2)c1ccc(cc1)[N+](=O)[O-]
JUBCOY,267.4,[O-][N+](=O)c1cccnc1c1ncccc1[N+](=O)[O-]
JUFKIE,312.3,[O-][N+](=O)C1=C[N-][C@]2(C(=C1)[N+](=O)[O-])N(C)C1=CC=CC=CC1=[N+]2C
JUFLAX,258.8,O=C(c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])Oc1ccc2c3c1C(=O)C=Cc3ccc2
JULGUS,260,C/C(=N\N=C(\c1ccccc1[N+](=O)[O-])/C)/c1ccccc1[N+](=O)[O-]
JULHAZ,267.7,C/C(=N/N=C(/c1ccccc1[N+](=O)[O-])\C)/c1ccccc1[N+](=O)[O-]
JULHED,269.4,[O-][N+](=O)c1ccccc1/C=N/N=C/c1ccccc1[N+](=O)[O-]
JULWAO20,289.6,[O-][N+](=O)c1ccc(cc1)/N=N/C1(C)C(=O)c2c(C1=O)cccc2
JUMFAA,170,CC(=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
JUNBEB,248.7,[O-][N+](=O)c1nnc2n(c1N)nc(c2[N+](=O)[O-])[N+](=O)[O-]
JUPRIV,238.5,[O-][N+](=O)c1cc(cc(c1N(C)C)[N+](=O)[O-])[N+](=O)[O-]
JUPROB,238.9,CNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
