ID,DetoV(L/kg),SMILES
DAYPUP,618,[O-][N+](=O)c1ccccc1/C=N/CC/N=C/c1ccccc1[N+](=O)[O-]
DEGLEH,898,[O-][N+](=O)c1ccc2c(c1)ncn2CCN1CCCCC1
DEJWEU,567,CCOC(=O)/C(=C(/O)\C)/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
DEJWIY,574,CCOC(=O)/C(=C(\O)/C)/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
DEKYUO,545,[O-][N+](=O)c1cc(C(=O)C)c(c(c1)[N+](=O)[O-])O
DEKZAV,555,[O-][N+](=O)c1cc(C(=O)C)c(c(c1O)[N+](=O)[O-])O
DEKZEZ,555,[O-][N+](=O)c1cc([N+](=O)[O-])c(c(c1O)C(=O)C)O
DEKZID,564,[O-][N+](=O)c1c(O)c(C(=O)C)c(c(c1O)[N+](=O)[O-])O
DELPEQ,812,CC(=NNc1ccccc1[N+](=O)[O-])C
DELXEX,618,[O-][N+](=O)c1cc(ccc1N/N=C/1\[C@H]2C[C@H]3[C@H]4[C@@H]1[C@@H]2[C@@H]3C=C4)[N+](=O)[O-]
DELXOH,523,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H]1[C@@H]2[C@@H]3C=C[C@@H]4[C@H]1[C@H]2C[C@H]34
DELZAV,545,O=C1[C@](C)(O)[C@H]([N+](=O)[O-])C(=C[C@]1(O)c1ccccc1)[N+](=O)[O-]
DELZEZ,548,[O-][N+](=O)C1=C[C@@](O)(c2ccccc2)C(=O)[C@@]([C@@H]1[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNIS,643,[O-][N+](=O)[C@@]1(C)C=C(C)[C@]([C@@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNOY,643,CC1=C[C@@](C)([N+](=O)[O-])[C@]([C@](C1=O)(C)[N+](=O)[O-])(C)[N+](=O)[O-]
DEMNUE,740,[O-][N+](=O)[C@@H]1C(=C[C@@](C(=O)C1(C)C)(C)[N+](=O)[O-])C
DEMPAM,740,CC1=C[C@@](C)([N+](=O)[O-])[C@@H](C(C1=O)(C)C)[N+](=O)[O-]
DEMPIU,694,[O-][N+](=O)[C@]1(C)C=C(C)[C@]([C@](C1=O)(C)O)(C)[N+](=O)[O-]
DEMSOD,589,COCOc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
DENCAA,576,COc1ccc(cc1)C1=NN=C(OC1)c1ccccc1[N+](=O)[O-]
DEPVUP,547,[O-][N+](=O)O[C@H]1C[C@H]2[C@H]([C@@H]1c1c2cccc1)O[N+](=O)[O-]
DEQPUN,642,CC1=Nc2ccccc2CN=C1c1cccc(c1)[N+](=O)[O-]
DEWBOW,681,O[C@H]1Nc2ccc(cc2C(=O)N2[C@H]1CCC2)[N+](=O)[O-]
DEXJAU,503,O=C1Nc2c(C1)cc(cc2)[N+](=O)[O-]
DEXVAE,626,O=C(COc1ccc(cc1)[N+](=O)[O-])NCc1ccccc1
DEXVUY,551,O=C1COc2c(N1Cc1ccccc1)cc(cc2)[N+](=O)[O-]
DEYRUV,751,C/C(=N\c1cc(C)cc(c1)C)/c1ccc(cc1)[N+](=O)[O-]
DEZTAD,612,O=C(c1ccc(cc1)[N+](=O)[O-])CNc1ccccc1
DIBRUE,610,[O-][N+](=O)Nc1nonc1c1nnc(o1)/N=N/c1nnc(o1)c1nonc1N[N+](=O)[O-]
DIDHIJ,1071,OCC1(CN(C1)C(C)(C)C)[N+](=O)[O-]
DIDWIY,639,[O-][N+](=O)c1cc(/C=N/CCO)c(cc1)O
DIFPUF,473,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])n1cc2c(n1)cccc2
DIHNOY,612,C/C(=N\Oc1ccc(cc1)[N+](=O)[O-])/c1ccccc1
DIJPAO,741,C[C@H]1[C@](C)(CC[C@@]1(C)C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
DILFUZ,705,[O-][N+](=O)N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CCN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
DIMNAN03,809,CN(c1ccc(cc1)[N+](=O)[O-])C
DIPHUI,891,O=C1NC=C([C@@H](N1C)N1CCCC1)[N+](=O)[O-]
DIQRON,693,[O-][N+](=O)O[C@@H]([C@@H]([C@@H](O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])[C@H](O[N+](=O)[O-])CO[N+](=O)[O-]
DIWFEU,627,Nc1ccccc1c1ccc(cc1)[N+](=O)[O-]
DIWSUY,719,CCCC(=O)Nc1cc([N+](=O)[O-])c(cc1C)C(=O)OC
DIWWEL02,725,CN(c1cccc2c1c(ccc2)[N+](=O)[O-])C
DIXDUJ,622,CC(=O)Nc1ccccc1[N+](=O)[O-]
DMNPPO,632,O=C1C[C@](C(=O)N1C)(C)c1ccccc1[N+](=O)[O-]
DMNPYO,666,[O-][n+]1cc(C)c(c(c1)C)[N+](=O)[O-]
DNBENZ10,533,[O-][N+](=O)c1cccc(c1)[N+](=O)[O-]
DNBZIL,447,O=C(C(=O)c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-]
DNCOOC,519,[O-][N+](=O)C1=CC=C(C=CC=C1)[N+](=O)[O-]
DNEDAM,821,[O-][N+](=O)NCCN[N+](=O)[O-]
DNEIBA,577,NC(=O)c1cc(N2CC2)c(cc1[N+](=O)[O-])[N+](=O)[O-]
DNITPY,563,[O-][N+](=O)c1cncc(c1)[N+](=O)[O-]
DNOPHL03,547,[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])O
DNPHOL,547,Oc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
DNPIMZ,671,CC(c1nc(cn1[N+](=O)[O-])[N+](=O)[O-])C
DNPMTA,821,[O-][N+](=O)N1CN2CN(C1)CN(C2)[N+](=O)[O-]
DNTDPH,458,[O-][N+](=O)c1ccc(cc1)c1ccc(cc1)[N+](=O)[O-]
DNTNAP10,462,[O-][N+](=O)c1cccc2c1c(ccc2)[N+](=O)[O-]
DOHFEL,671,[O-][N+](=O)[C@@H]1[C@@H]2O[C@@](C[C@H]1c1ccco1)(C)Nc1c2cccc1
DOJHAM,603,CC(N(C(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O)C
DOKSIG,709,CC(=O)N/N=C(/c1ccc(cc1)[N+](=O)[O-])\C
DOKVUV,626,CCOC(=O)c1ccc(c(c1)[N+](=O)[O-])Nc1ccccc1
DOKYEH,635,[O-][N+](=O)c1ccccc1NN=C(c1ccccc1)c1ccccc1
DOKYIL,635,[O-][N+](=O)c1ccc(cc1)NN=C(c1ccccc1)c1ccccc1
DOKZIN,785,CNC(=O)OCCn1c(C)ncc1[N+](=O)[O-]
DOLTAZ,513,[O-][N+](=O)c1c([O-])[nH]c2[n+](c1=O)cccc2
DOPLOL05,594,[O-][N+](=O)c1cc(cc(c1N)[N+](=O)[O-])C(=O)N
DORKOL,639,O=C([C@@H]1CCCN1)Nc1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
DOWGUR,892,C[C@@H](C(C)(C)C)[C@@H]1ON=C(C1)c1ccc(cc1)[N+](=O)[O-]
DOYLAG,508,O=C(C(=O)c1cn(c2c1cccc2)C)c1ccc(cc1)[N+](=O)[O-]
DOZPAL,482,COC(=O)c1cnc2c(c1)c(ccc2)[N+](=O)[O-]
DUCVUT,661,CC1=NN([C@H](C1)c1ccco1)c1cccc(c1)[N+](=O)[O-]
DUCXEF,865,CC/C(=N/Nc1ccccc1[N+](=O)[O-])/C
DUDHOB,692,O=C(c1nnn(c1)c1ccc(cn1)[N+](=O)[O-])OC(C)(C)C
DUDNOH,596,CCOC(=O)c1nnn(c1)c1ccc(cn1)[N+](=O)[O-]
DUDZIL,555,Nc1ccc(cc1C(=O)c1ccccc1)[N+](=O)[O-]
DUJMAW,840,CN1CCO[C@@]2([C@H]1OCCN2C)c1ccc(cc1)[N+](=O)[O-]
DUJQOP,553,[O-][N+](=O)c1ccc(c(c1)C(=O)N)O
DUJSIL,599,COc1ccccc1C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-]
DUKLAX,590,[O-][N+](=O)c1cc(ccc1N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
DUMPAC,861,CN([N+](=O)[O-])CC1(COC1)CN([N+](=O)[O-])C
DUMPEG,699,[O-][N+](=O)OCC1(CO[N+](=O)[O-])COC1
DUMSAG,559,COC(=O)c1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-]
DUPHIF,1126,CN(C(=C[N+](=O)[O-])N(C)C)C
DUPHOL,699,OC(=O)CCC([N+](=O)[O-])([N+](=O)[O-])C
DUPJUV,546,[O-][N+](=O)Cc1nnc(o1)c1ccccc1
DUSNUB,650,[O-][N+](=O)c1ccccc1/C=N/Nc1ccccc1
DUTQAL,618,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCc2c1cccc2)[N+](=O)[O-]
DUTQOZ,458,[O-]C(=O)c1cc(cc(c1)[N+](=O)[O-])c1cc[nH+]cc1
DUXCEF,522,[O-][N+](=O)c1ccc2c(c1)nc(n2C(=O)c1ccccc1)c1ccccc1
DUXSIY,546,CO/N=C(\c1ccc(cc1)[N+](=O)[O-])/C#N
EBURUR,645,[O-][N+](=O)c1ccccc1C(=O)N1c2ccccc2C([C@H]1O)(C)C
ECIBIB01,736,CN(c1ccccc1)[N+](=O)[O-]
ECUXOQ,698,[O-][N+](=O)N1[C@@H]2[C@H]3N[C@H]4N([C@H]([C@@H]1N([N+](=O)[O-])[C@H]4N3[N+](=O)[O-])N2[N+](=O)[O-])[N+](=O)[O-]
EDASOR,587,N#Cc1ccccc1/N=N/Nc1ccccc1[N+](=O)[O-]
EDAWIP,763,[O-][N+](=O)/C=C\N
EDOREW,582,N#[N+]/N=C\1/C(=CC2=[NH+]N=NC2=C1[N+](=O)[O-])[N+](=O)[O-]
EFATOW,661,C=CCn1ncc2c1cc(cc2)[N+](=O)[O-]
EGUQIG,683,O=C1N2CC[C@H]2C[C@H]1[C@H](c1ccc(cc1)[N+](=O)[O-])O
EGUQOM,683,O=C1N2CC[C@H]2C[C@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O
EGUQUS,683,O=C1N2CC[C@H]2C[C@@H]1[C@@H](c1ccc(cc1)[N+](=O)[O-])O
EGURIH,561,OC(=O)[C@@H]1CC[C@@H]1NC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
EGUZIQ,599,COc1ccccc1/C=N/NC(=O)c1ccccc1[N+](=O)[O-]
EHECAV,662,CO[C@@H]1CC[C@@](CC1)(C#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
EIMTNB,573,[O-][N+](=O)c1cc(cc(c1N1CC1)[N+](=O)[O-])[N+](=O)[O-]
EJEJOS,544,[O-][N+](=O)c1cccc2c1nc(c1ccccn1)c(n2)c1ccccn1
EJEPUE,546,[O-][N+](=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-]
EJEYID,981,C/C(=N\c1n(C)cnc1[N+](=O)[O-])/N1CCCCC1
EKAHOP,675,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1CCC2
EKAJAD,559,[O-][N+](=O)c1ccc(cc1)C1=NO[C@H]2[C@@H]1Cc1c2cccc1
EKELAH,735,[O-][N+](=O)/N=C/1\NCCN1[N+](=O)[O-]
ELEJUB,671,C[C@H]([C@H](c1ccccc1)O)N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
ELIGEN01,643,[O-][N+](=O)c1nn(c2c1n(CO[N+](=O)[O-])nc2[N+](=O)[O-])CO[N+](=O)[O-]
ELIGOX,614,[O-][N+](=O)OCn1c(=O)n(c2c1nc1nonc1n2)CO[N+](=O)[O-]
ELIGUD,655,[O-][N+](=O)c1nc(n(n1)CO[N+](=O)[O-])c1nc(nn1CO[N+](=O)[O-])[N+](=O)[O-]
ELOXOS,559,[O-][N+](=O)c1ccc(=O)[nH]c1
EMAWUL,550,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)C)O
EMAZUO,538,[O-][N+](=O)c1n[nH]c2c1cccc2[N+](=O)[O-]
EMEDOQ,472,[O-][N+](=O)c1c(=O)oc2c(c1Nc1cccc3c1cccc3)cccc2
EMEDUW,476,[O-][N+](=O)c1c(=O)oc2c(c1Nc1ccccc1)cccc2
EMOLEZ,704,[O-][N+](=O)c1ccc(cc1)n1nnc2c1CC(C)(C)CC2=O
EMOYIO,763,COc1ccc(c(c1)[C@@]1(C)CCN(C1=O)C)[N+](=O)[O-]
ENIZEG,577,CN(c1ccc(cc1)/C=C/1\OC(=O)c2c1ccc(c2)[N+](=O)[O-])C
ENPROP,595,CCOC(=O)[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O[N+](=O)[O-])[N+](=O)[O-]
EPATAR,595,O=C1N[C@@H](c2cccc(c2)[N+](=O)[O-])c2c(N1C)cn[nH]c2=O
EQASOG,619,[O-][N+](=O)c1ccc2c(c1)c(nn2C)c1ccccc1
EQAWEA,713,CCOC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C
EQEBIN,821,CC1=CC(C)(C)Nc2c1cc(cc2)[N+](=O)[O-]
ERAWEB,663,[O-][N+](=O)c1cccc2c1c(cn2C)[C@@H]1[C@H]2C[C@H]3[C@@H]1[C@H]3O2
ERETAW,634,NC(=O)C1=C([N-]O[N+]1=O)[N+]1=NC(=C([N+]1=O)C(=O)N)[N+](=O)[O-]
ERIWIL,666,O=c1cc(C)c(c([nH]1)C)[N+](=O)[O-]
ERUDAX,571,COC(=O)Nc1ccc(cc1)[N+](=O)[O-]
ERUSUH,563,Oc1cccc2c1[C@H](Nc1c2cccc1)c1cccc(c1)[N+](=O)[O-]
ESAMUI,514,N#CC1=C(N)Oc2c([C@H]1[C@H]1C(=O)Nc3c1cccc3)cc(cc2)[N+](=O)[O-]
ESANIX,663,Oc1ccc(cc1/C=N/c1ccc(c(c1)C)C)[N+](=O)[O-]
ESIRIJ,597,[O-][N+](=O)c1cccc2c1CN2
ESIRUV,541,O=C(N1Cc2c1cccc2c1cccc(c1)[N+](=O)[O-])c1ccccn1
ESOLAB,469,[O-][N+](=O)c1ccccc1[C@@H]1O[C@H]1c1ccccc1[N+](=O)[O-]
ETOGOJ,630,CC(=O)c1ccc(cc1)N/N=N/c1ccc(cc1)[N+](=O)[O-]
ETUTIY,526,[O-][N+](=O)c1cccc(c1)N1C=Nc2c(C1)c(ccc2)[N+](=O)[O-]
EVALOD,559,N#C[C@H](c1cccc(c1)[N+](=O)[O-])CC(=O)c1ccccc1
EVINOM,536,O=C1C=Cc2c(/C/1=C/Nc1ccc(cc1)[N+](=O)[O-])cccc2
EVIXEM,687,CC(=O)Nc1[nH]nc(n1)[N+](=O)[O-]
EVOPIO,642,OC[C@H]1O[C@H](C[C@@H]1O)n1ncc2c1cccc2[N+](=O)[O-]
EVULOW,601,Cc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)C
EVULUC,542,COc1ccc(cc1)C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccc(cc1)OC
EVUMIR,479,[O-][N+](=O)C(=C(c1ccccc1)c1ccc(cc1)[N+](=O)[O-])[N+](=O)[O-]
EWEVIM02,553,OC(=O)c1ccc(cc1N)[N+](=O)[O-]
EWUKAI,553,Nc1ccc(c(c1)C(=O)O)[N+](=O)[O-]
EWUKIQ01,766,[O-][N+](=O)N=C1NCN(CN1)[N+](=O)[O-]
EXOQEO,581,Oc1ccc(cc1)Nc1ncccc1[N+](=O)[O-]
EYEFOE,539,COc1ccc(c(c1)O)/C=N/c1cc([N+](=O)[O-])c(cc1N)[N+](=O)[O-]
EYIFEZ,759,[O-][N+](=O)c1ccc(c2c1non2)NCCCC
EYOGAC,802,O=C1C=CC(=C/C/1=C/NCCN1CCOCC1)[N+](=O)[O-]
EYOVIX,543,COc1c2nonc2c2c(c1[N+](=O)[O-])non2
EYUFEJ,586,O=NN(CN1C(=O)C(=O)c2c1ccc(c2)[N+](=O)[O-])CCCO[N+](=O)[O-]
EZAYAF,557,C#Cc1ccc(cc1)NC(=O)Nc1ccc(cc1)[N+](=O)[O-]
EZEGAS,637,COc1cc(/N=C/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC
EZEGEW,637,COc1cc(/C=N/c2ccc(cc2)[N+](=O)[O-])cc(c1OC)OC
EZESOS,712,CN(/C=C/C(=O)c1ccccc1[N+](=O)[O-])C
EZESUY,592,[O-][N+](=O)c1ccccc1c1cc[nH]n1
EZETAF,607,COc1ccc(cc1)n1nccc1c1ccccc1[N+](=O)[O-]
EZICUM,709,CCCc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-]
FABHUL,622,[O-][N+](=O)c1c([N+](=O)[O-])c(c(n1C)[N+](=O)[O-])[N+](=O)[O-]
FABJAW,670,N#Cc1c(C)c(C)c(c(c1N)[N+](=O)[O-])c1ccccc1
FABRAD,753,CC(/N=C/c1cc(ccc1O)[N+](=O)[O-])C
FABROP10,470,[O-][N+](=O)c1cc(cc(c1Nn1c2ccccc2c2c1cccc2)[N+](=O)[O-])[N+](=O)[O-]
FACQAE,680,[O-][N+](=O)/N=c/1\[nH]nnn1/N=C/C1=C(C)[N+](=O)O[N-]1
FACYAK,555,[O-][N+](=O)c1ccccc1C(=O)Nc1ccccc1
FADGOG,517,COc1ccc(cc1)[C@H](OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])C
FADGUM,496,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@@H](c1ccccc1)C
FADKIF,729,CN1CCC(=C/C/1=N\c1ccc(cc1)[N+](=O)[O-])c1ccccc1
FADTOW,725,[O-][N+](=O)c1ccc2c(c1)n(nc2)C(=O)C(C)(C)C
FAJYIY,751,CN(c1ccc(cc1)C(=C)c1ccc(cc1)[N+](=O)[O-])C
FAKVOC,781,CN(c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-])C
FAKVUI,624,[O-][N+](=O)c1ccc(nc1)Nc1ccccc1
FAKWET,516,[O-][N+](=O)c1ccc(cc1)Nc1ccc(cn1)[N+](=O)[O-]
FASGAH,363,[O-][N+](=O)c1cc2c3ccccc3C(=O)c3c2c(c1)c([N+](=O)[O-])c1c3cccc1
FAWWIJ,696,[O-][N+](=O)c1c(ccc(c1C)[N+](=O)[O-])N(C)C
FECJEE,612,Cc1ccc2c(c1)n(c1ccc(cc1)[N+](=O)[O-])c(n2)c1ccccc1
FEFHUW,580,[O-][N+](=O)c1n(C)cnc1c1conc1c1ccccc1
FEFXUM,589,Nc1nonc1c1nonc1c1nonc1[N+](=O)[O-]
FEGFIG,584,CO[C@@]12O[C@@](N=C1c1ccc(cc1)[N+](=O)[O-])([C@H]1[C@@H]2C(=O)N(C1=O)C)C
FEMSOH,612,CCOC(=O)C1=C(C)OC(=C([C@H]1c1ccc(cc1)[N+](=O)[O-])C#N)N
FENDEH,725,O=c1c2cc(ccc2n2n1CCCCC2)[N+](=O)[O-]
FENQEV,523,C=CCOC(=O)/C=C/c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
FEPFIP,802,OC[C@@H]1CCCN1C(=O)c1cc(ccc1NC)[N+](=O)[O-]
FEPJIT,544,[O-][N+](=O)c1cccc(c1)COCc1cccc(c1)[N+](=O)[O-]
FESNEW16,565,COc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
FESNIA01,565,COc1c(cccc1[N+](=O)[O-])[N+](=O)[O-]
FETRAY,637,COc1ccc(cc1)C(=O)[C@@H](Oc1ccc(nc1[N+](=O)[O-])C)C
FEXBUF,581,[O-][N+](=C1C=C[N+](=O)C(=C1)C)[O-]
FEYLUQ01,673,[O-][N+](=O)N1CCN(c2c1non2)[N+](=O)[O-]
FIBLIL,664,O=C(c1ccc(cc1)[N+](=O)[O-])N1CCCCO1
FICDOK,713,COc1n(C)cnc1[N+](=O)[O-]
FIDCIF,584,[O-][N+](=O)c1cccnc1OCc1ccccc1
FIDHIL,603,N#Cc1c(OCCn2c(C)ncc2[N+](=O)[O-])cccc1C#N
FIDKIM,895,[O-][N+](=O)C1=C(C)NC(=C2[C@H]1CC(C)(C)CC2=O)C
FIJHAH,466,O=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
FIKXAY,577,COC(=O)[C@@]12[C@H]3C[C@H]4[C@@H]1[C@]1([C@]2([N+](=O)[O-])[C@H]([C@@H]3[C@@H]41)OC)[N+](=O)[O-]
FINNIA,713,Oc1ccc(cc1/C=N/N1CCOCC1)[N+](=O)[O-]
FINVEG,555,[O-][N+](=O)c1ccc(o1)c1ncncc1Nc1ccccc1
FIPZIN,769,N#[N+][N-]CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C[N-][N+]#N
FIWGEY,729,CC1(C)N=C([C@@H]2N1[C@H]2c1ccc(cc1)[N+](=O)[O-])c1ccccc1
FIWLEF,749,CC(CNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
FIWLIJ,719,CC[C@H]([C@H](C(=O)OC)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C
FIYKEG,690,COC(=O)C(NC(=O)/C=C/c1cccc(c1)[N+](=O)[O-])(C)C
FIZFOL,582,CCOc1cc(/C=N/Nc2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])ccc1O
FOBZUS,562,[O-][N+](=O)c1ccccc1c1nc2c([nH]1)cccc2
FOCCEI,570,CC(=O)Oc1cccc(c1C)C(=O)Nc1ccc(cc1)[N+](=O)[O-]
FOCXUR01,702,[O-][N+](=O)c1ccccc1[C@H]1NCc2c(N1)cccc2
FOHMUK,678,[O-][N+](=O)[C@H]1C[C@@H]1[N+](=O)[O-]
FOKTOO,814,O=C1N[C@@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-]
FOKTUU,814,O=C1N[C@H](N[C@H]2[C@@H]1CCCC2)c1ccc(cc1)[N+](=O)[O-]
FOMQEE,577,COc1c([N+](=O)[O-])c(cc(c1OC(=O)C)C)/C=C(/[N+](=O)[O-])\C
FOVVAN,712,[O-][N+](=O)[C@]12N(O)[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@@H]5[C@H]2[C@H]3[C@@H]5[C@H]4C1
FOVXAP,725,[O-][N+](=O)/C(=C/c1cn(c2c1cccc2)C)/C
FOVYOE11,609,COc1ccc(cn1)/N=C/c1ccc(cc1)[N+](=O)[O-]
FOXCAY,546,CCOC(=O)/C(=C\c1cccc(c1)[N+](=O)[O-])/C#N
FUGVEJ,741,CC(=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-]
FUHSEG,514,N#C/C(=C\c1ccccc1)/[N+](=O)[O-]
FUJSOS,716,CC(=O)O[C@@H]1N(CCN([C@H]1O)[N+](=O)[O-])[N+](=O)[O-]
FUJXEO,790,NNC(=C([N+](=O)[O-])[N+](=O)[O-])N
FULKUS,549,[O-][N+](=O)c1cccc2c1[nH]nc2
FULYEQ10,699,[O-][N+](=O)c1c([N+](=O)[O-])c(C)c(c(c1C)C)C
FUQFAY,568,O/N=C(/c1ccc(cc1)[N+](=O)[O-])\C/C(=N\O)/c1ccccc1O
FUSZEY,466,[O-][N+](=O)c1cccc2c1[nH]c(=O)c1c2cccc1
FUWNIU,636,[O-][N+](=O)OCCNC(=O)c1cccnc1
FUXNAN,736,CNc1ccc(cc1)[N+](=O)[O-]
FUXZIH,737,C[C@@H](c1ccccc1)Nc1ccc(cn1)[N+](=O)[O-]
GADFID,913,CN(/C=C/c1ncn(c1[N+](=O)[O-])C)C
GAFNUW,593,CC(=O)O[C@H]1C[C@H]2C[C@@H]1C1=CC(=[N+]([O-])[O-])[N+](=O)C=C21
GAHKAB02,803,CC(=O)Nc1cc(ccc1N(C)C)[N+](=O)[O-]
GAKQOZ,580,O=C(c1ccccn1)N/N=C/c1ccccc1[N+](=O)[O-]
GAKWUM,555,[O-][N+](=O)c1cc(ccc1/C=N/n1cnnc1)[N+](=O)[O-]
GAKXAT,619,[O-][N+](=O)c1cccc(c1)/C=N/n1cnnc1
GALYIE,629,[O-][N+](=O)CC(c1c[nH]c2c1cccc2)C[N+](=O)[O-]
GANTAT01,630,[O-][N+](=O)c1[nH]nc(c1Nc1nnc2n(n1)cnn2)[N+](=O)[O-]
GAQMIV,498,[O-][N+](=O)c1cccc2c1[nH]ncc2=O
GAQMOB,632,Cn1cc2c(n1)c(ccc2)[N+](=O)[O-]
GARBUY,553,[O-][N+](=O)c1ccc(c(c1)C(=O)O)N
GATPEW,702,CN(c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-]
GATYIK,471,[O-][N+](=O)c1ccc2c(c1)ccc(=O)[nH]2
GAVGIU,584,Oc1ccccc1/N=C/C=C/c1ccccc1[N+](=O)[O-]
GAWBOW,669,CCOc1cc(/C=N/Nc2ccc(cc2)[N+](=O)[O-])ccc1O
GAWGUH,673,Cc1ccccc1/N=C/C=C/c1ccccc1[N+](=O)[O-]
GAXGOE,574,COC(=O)c1cnc(nc1C)c1ccc(cc1)[N+](=O)[O-]
GAZBEQ,496,COC(=O)c1cc(ncc1C(=O)OC)c1ccccc1[N+](=O)[O-]
GECCUM,740,O[C@@]1(C=CC2=NCC[C@@]2(C1)C)c1ccc(cc1)[N+](=O)[O-]
GECPEL,857,CCCCn1cnnc1Nc1cccc(c1)[N+](=O)[O-]
GECPIP,724,Cc1cc(ccc1C)n1cnnc1Nc1cccc(c1)[N+](=O)[O-]
GEDWIV,613,N#CC1=C(C#N)[C@@](C)([N+](=O)[O-])C(C(=O)[C@]1(C)[N+](=O)[O-])(C)C
GEDYEU,717,[O-][N+](=O)N1CCn2c1nnn2
GEJKUB,687,[O-][N+](=O)c1ccc(cc1)CNc1ccccc1
GEJLAI,740,[O-][N+](=O)c1ccc(cc1)CCNc1ccccc1
GEJLEM,829,Cc1ccc(cc1)N(CCc1ccc(cc1)[N+](=O)[O-])C
GEKKOY,681,O=[N+]1c2ccc(cc2[N-]OC21CCCCC2)[N+](=O)[O-]
GEKKUE,725,O=[N+]1c2cc(ccc2[N-]C21CCCCC2)[N+](=O)[O-]
GELHUD,612,[O-][N+](=O)OCCNC(=O)c1ccccc1NC(=O)c1ccccc1
GEMZAZ,675,O=C1N[C@H]2[C@@H](N1[N+](=O)[O-])NC(=O)N2[N+](=O)[O-]
GEPPUN,671,CCN(c1ccccc1)C(=O)COc1ccc(cc1)[N+](=O)[O-]
GEQHOZ,599,CO/C(=N/C(=O)c1ccccc1)/Nc1ccccc1[N+](=O)[O-]
GERPOJ02,704,OCCNc1cc(NCCO)c(cc1[N+](=O)[O-])[N+](=O)[O-]
GESFAO,582,O=C1N[C@@H](Nc2c1cccc2)c1ccccc1[N+](=O)[O-]
GETFIU01,533,[N-]=[N+]=C1C=C(C=C(C1=O)[N+](=O)[O-])[N+](=O)[O-]
GEVLEZ,637,COc1cc(C(=O)NCc2ccccc2)c(cc1OC)[N+](=O)[O-]
GEVSIM,653,COC(=O)C1=C(C)N[C@H](C(=C1)[N+](=O)[O-])c1ccccc1
GEVSOS,722,COC(=O)/C(=C(\N)/C)/C=C/[N+](=O)[O-]
GEXKUP,650,N/C(=N\c1ccc(cc1)[N+](=O)[O-])/c1ccccc1
GEYNON,513,O=C1OCOc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-]
