ID,Density(g/cm^3),smiles
BCBDNT,1.5933,[O-][N+](=O)O[C@@H]1[C@H](O[N+](=O)[O-])c2c1cccc2
BCONBZ10,1.3971,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCCC[C@H]2CC1
BEBVUZ,1.3393,[O-][N+](=O)c1cccc2c1C=C/C/2=C\N1CCCC1
BEDROT,1.5432,O=C1CN(C(=O)CN1c1ccccc1[N+](=O)[O-])c1ccccc1[N+](=O)[O-]
BEDWOX01,1.5425,O=C1C=CC(=O)N1c1ccc(cc1)[N+](=O)[O-]
BEKDAW,1.4095,CCOC(=O)[C@@]1(C#N)[C@@H](C1(C#N)C#N)c1ccc(cc1)[N+](=O)[O-]
BELMOU,1.4962,O=C1CC/[N+](=C/c2ccc(cc2)[N+](=O)[O-])/[N-]1
BENVEW,1.4218,OC[C@@](C([N+](=O)[O-])(C)C)([N+](=O)[O-])C
BEPQET,1.427,[O-][N+](=O)c1ccc(cc1)N1C[C@H]2[C@@]3(C1=CC(=O)c1c3cccc1)C2
BEQTUP,1.4201,O=C(N1CCC=C1)OCc1ccc(cc1)[N+](=O)[O-]
BETVUR,1.3056,[O-][N+](=O)c1ccc(cc1)[C@@H]1NC[C@H]2[C@@H](O1)CCCC2
BETWAY,1.3183,[O-][N+](=O)c1ccc(cc1)[C@@H]1OC[C@H]2[C@@H](N1)CCCC2
BEXWEI,1.3492,O=C(Cn1cc(nc1C)[N+](=O)[O-])N/N=C(/c1ccccc1)\C
BEYZEK,1.5811,O=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-]
BICNUW,1.4486,CCOC(=O)/C(=C/c1ccc(cc1)[N+](=O)[O-])/[N+](=O)[O-]
BICWEP,1.8874,[O-][N+](=O)c1c(C(=O)N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N
BIHVIY,1.4428,COc1ccc(cc1)/C=C/c1c(cc(cc1[N+](=O)[O-])C(=O)OC)[N+](=O)[O-]
BIHVOE,1.6571,[O-][N+](=O)c1cc(ccc1OCCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
BIHVUK,1.3643,COc1ccc(cc1OC)/C=N/Nc1ccc(cc1)[N+](=O)[O-]
BIKKUE,1.2941,[O-][N+](=O)/C=C(/C(=O)c1ccc(cc1)C)\Nc1ccccc1
BILMAM,1.3718,CNC1=C([N+](=O)[O-])[C@@H](C(=C(O1)c1ccccc1)C#N)c1ccccc1
BINROF,1.6184,[O-][N+](=O)c1cc(ccc1/C=N/Nc1nnn[nH]1)[N+](=O)[O-]
BINSAS,1.9323,[O-][N+](=O)c1c2[N-]O[N+](=O)c2c2c(c1N)[N+](=O)O[N-]2
BINSUM,1.7978,O=C(C(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
BIPGOZ,1.4061,[O-][N+](=O)[C@@]1(CCCCC1=O)c1ccc(cc1)[N+](=O)[O-]
BIPJUF,1.6734,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-]
BIVKUM,1.3708,[O-][N+](=O)c1ccc(cc1)N/N=C/1\C[C@@H]2[C@H]1C[C@H]1[C@@H]2O1
BIVQAB,1.4021,O=Cc1ccc(c2c1ccc(c2)[N+](=O)[O-])N(C)C
BIVVOU,1.4062,C=C[C@]1(C)Oc2ccccc2C(=O)N1c1ccc(cc1)[N+](=O)[O-]
BIXCOD,1.3373,O/N=C(/C(=N/N=C/c1ccc(cc1)[N+](=O)[O-])/C)\C
