ID,DetoD(m/s),smiles
GEMZAZ,8278,O=C1N[C@H]2[C@@H](N1[N+](=O)[O-])NC(=O)N2[N+](=O)[O-]
GEPPUN,3977,CCN(c1ccccc1)C(=O)COc1ccc(cc1)[N+](=O)[O-]
GEQHOZ,4391,CO/C(=N/C(=O)c1ccccc1)/Nc1ccccc1[N+](=O)[O-]
GERPOJ02,6054,OCCNc1cc(NCCO)c(cc1[N+](=O)[O-])[N+](=O)[O-]
GESFAO,4259,O=C1N[C@@H](Nc2c1cccc2)c1ccccc1[N+](=O)[O-]
GETFIU01,7246,[N-]=[N+]=C1C=C(C=C(C1=O)[N+](=O)[O-])[N+](=O)[O-]
GEVLEZ,4199,COc1cc(C(=O)NCc2ccccc2)c(cc1OC)[N+](=O)[O-]
GEVSIM,4272,COC(=O)C1=C(C)N[C@H](C(=C1)[N+](=O)[O-])c1ccccc1
GEVSOS,5316,COC(=O)/C(=C(\N)/C)/C=C/[N+](=O)[O-]
GEXKUP,4186,N/C(=N\c1ccc(cc1)[N+](=O)[O-])/c1ccccc1
GEYNON,6679,O=C1OCOc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-]
GEYREK,6733,[O-][N+](=O)c1nc2n(n1)CCCn1c2nc(n1)[N+](=O)[O-]
GEZKII,4021,COc1ccc(cc1)n1ccc(c1c1ccc(cc1)[N+](=O)[O-])C=O
GIBVOE,5718,[O-][N+](=O)c1ccc2c3c1[nH]c(=O)[nH]c3c(cc2)[N+](=O)[O-]
GIBZAV,4241,O=C(Cc1ccccc1)N/N=C/c1ccccc1[N+](=O)[O-]
GICTIV,8464,[O-][N+](=O)n1cnc(n1)/N=N/c1ncn(n1)[N+](=O)[O-]
GIGQUI01,6936,COc1c([N+](=O)[O-])c(OC)c(c(c1[N+](=O)[O-])OC)[N+](=O)[O-]
GIHFEI,6016,N#Cc1cc(cc2c1c1c(cc(cc1C2=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
GIJBEJ,4027,O=C(C(=O)n1cc(c2c1cccc2)C)c1ccc(cc1)[N+](=O)[O-]
GILYUV,5307,[O-][N+](=O)[C@@H]1[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2[C@@H]2[C@H]3[C@H]4[C@H]1[C@H]2[N+](=O)[O-]
GIMBOT,7217,[O-][N+](=O)c1cc(cc(c1/C=C/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
GIPRUU,4106,N#C/C(=C\c1ccc(cc1)[N+](=O)[O-])/Cn1cnc2c(c1=O)cccc2
GIQVEJ01,4262,[O-][N+](=O)c1ccc2c(c1)ncc(n2)c1ccccc1
GISDIX,5130,O=[N+](c1ccccc1)/N=[NH+]/c1ccc(cc1)[N+](=O)[O-]
GIVJAX,4514,[O-][N+](=O)c1ccc(cc1)Cc1nccnc1
GIZSOX,7022,O/N=C/1\CCCC1([N+](=O)[O-])[N+](=O)[O-]
GOCTUP,4327,Oc1ccccc1/N=C/c1ccc(cc1)[N+](=O)[O-]
GODNUI,4606,[O-][N+](=O)c1cccc2c1c1ccccc1nn2
GOLVAE,4255,N#Cc1c2cccnc2ccc1C([N+](=O)[O-])(C)C
GOTFOM,4324,[O-][N+](=O)c1cc(/C=N/c2ccccc2)ccc1O
GOWKOU,4599,CCOC(=O)/C(=C/Nc1cccc(c1)[N+](=O)[O-])/C(=O)O
GOXKAF,4450,CC(=O)NN(C(=O)c1ccccc1O)c1ccc(cc1)[N+](=O)[O-]
GOZFIM,4098,CN1Cc2ccccc2N[C@H]1c1ccccc1[N+](=O)[O-]
GUFLUO,5209,N#C/C(=N\Nc1ccccc1[N+](=O)[O-])/C(=O)C
GULGAV,8055,[O-][N+](=O)c1[nH]cnc1[N+](=O)[O-]
GURDAY,7247,[O-][N+](=O)C([C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
GUTZAY,4741,[O-][N+](=O)c1cccc(c1)c1nnc2n1ncc1c2cccc1
GUVYAY,4005,[O-][N+](=O)c1ccc2c(c1)C[C@H]1N2CCCC1
GUZKET,4647,O=C(Cn1cccc(c1=O)[N+](=O)[O-])Nc1ccccc1
GUZWEE,4679,[O-][N+](=O)[C@]12C[C@H]3[C@H]4[C@@H](C2)[C@H]2[C@@H](C1)[C@@H]3C[C@@](C4)(C2)[N+](=O)[O-]
HABMAZ,6235,[O-][N+](=O)/N=c/1\cc(C)ccn1O
HABMED,6041,CC1=CC=C[N+](=O)/C/1=[NH+]/[N+](=O)[O-]
HABZIT,4326,N#CCC[C@]1(CCCCCCC1=O)[N+](=O)[O-]
HACLEE,4897,[O-][N+](=O)c1ccc2n(c1=O)C[C@@H]1C[C@H]2CNC1
HACVAL,4912,OC[C@@H]1N[C@@H]1c1ccc(cc1)[N+](=O)[O-]
HADCAT,6415,[O-][N+](=O)c1cc(/N=N/c2cc(cc(c2C)[N+](=O)[O-])[N+](=O)[O-])c(c(c1)[N+](=O)[O-])C
HAGSEP,4193,[O-][N+](=O)c1ccc2c(c1)c1c(c(=O)o2)c(nn1c1ccccc1)C
HAHRIU,5102,[O-][N+](=O)C1=CC=C2C(=NC3([N+]2=O)CCCCC3)C1=[NH2+]
HAMYAY,4163,C/C(=C/1\N=C(OC1=O)c1ccccc1)/NC(=O)c1cccc(c1)[N+](=O)[O-]
HASHAK,7557,[O-][N+](=O)[C@]12[C@@H]3[C@@H]4[C@H]1[C@@]1([C@H]2[C@]3([C@H]41)[N+](=O)[O-])[N+](=O)[O-]
HASHEO,8154,[O-][N+](=O)[C@]12[C@H]3[C@]4([C@@H]2[C@]2([C@@H]1[C@@]3([C@@H]42)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
HAWLUN,4135,COc1ccc(cc1)/C=C(\C(=O)NCc1ccccc1)/[N+](=O)[O-]
HAWSOO,5502,Cc1ccc(c(c1[N+](=O)[O-])[N+](=O)[O-])C
HAYYEM,5818,[O-][N+](=O)[C@]1(C)c2ccccc2[C@H](c2c1cccc2)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
HAYZIR,5166,CCCCOC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
HDNBPP,5307,[O-][N+](=O)c1cc(cc2c1O[C@H]1OCCC[C@H]1C2)[N+](=O)[O-]
HEBCHN,4797,C[C@H]([C@]12CCC[C@@H]2C1)OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]
HECDIC,4718,[O-][N+](=O)c1c(C)c([N+](=O)[O-])c(c(c1C)C(C)(C)C)C
HECFOK,4698,[O-][N+](=O)c1cnc(n1C)c1ccccc1
HECGAX,4846,Nc1ccc(cc1)c1ncc(n1C)[N+](=O)[O-]
HEDFUU,4405,COC(=O)[C@@]1(N=CN2[C@H]1CC[C@H]2C)c1ccc(cc1)[N+](=O)[O-]
HEGBON,4713,O=C1OC(=N/C/1=C\c1ccco1)c1ccc(cc1)[N+](=O)[O-]
HEHTUJ,6229,[O-][N+](=O)c1c[nH]nc1C
HEHVAR,6042,[O-][N+](=O)c1cn[nH]c1C
HENKIU01,5020,CC(=O)C(=NNc1ccc(cc1)[N+](=O)[O-])C(=O)C
HEPFUD,6188,[O-][N+](=O)c1c(C)nc2n(c1=O)nc[nH]2
HESPIF,5150,COc1cccc(c1OCCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C=O
HEVZOZ,3665,O=C([C@@H](NC(=O)C(C)(C)C)C)Nc1cccc(c1)[N+](=O)[O-]
HEXTIN,6277,Cc1c([N+](=O)[O-])c(C)c(c(c1[N+](=O)[O-])C)[N+](=O)[O-]
HEXXUE,4361,COc1ccccc1NC(=O)c1cc(C)cc(c1O)[N+](=O)[O-]
HEYLEF,3808,Cc1cnc(nc1c1cccc(c1)[N+](=O)[O-])c1ccccc1
HIBWUK,4500,[O-][N+](=O)c1cc([N+](=O)[O-])c(cc1C(C)(C)C)C(C)(C)C
HIGSIZ,6588,N#CCN([N+](=O)[O-])CC#N
HIHZUT,6773,[O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1[N+](=O)[O-]
HIJBAD,6581,[O-][N+](=O)c1cc(cc2c1[nH]c(=O)c(=O)[nH]2)[N+](=O)[O-]
HIKMEW,6068,CC(=O)CN1[C@H]2N/C(=N\[N+](=O)[O-])/N([C@H]2N/C/1=N\[N+](=O)[O-])CC(=O)C
HIMYOU,4050,CCOC(=O)[C@H]([C@@H]([C@H]([N+](=O)[O-])C)c1ccccc1)C#N
HIMYUA,4033,CCOC(=O)[C@H]([C@@H]([C@@H]([N+](=O)[O-])C)c1ccccc1)C#N
HIPSII,4166,Cc1ccc(cc1)N1C[C@H]2[C@]3(C1)C=C[C@]([C@@H]2C)(O3)[N+](=O)[O-]
HIQVEI,4290,COC(=O)C1=C(C)NC(=O)C[C@H]1c1ccccc1[N+](=O)[O-]
HISRUW01,4901,CCC(Nc1c(cc(c(c1[N+](=O)[O-])C)C)[N+](=O)[O-])CC
HITMUS,5971,C/C(=C(\C[N+](=O)[O-])/C)/C[N+](=O)[O-]
HITNED01,5096,CC=C=CC(/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])(C)C
HIVLAA,5936,[O-]C(=O)[C@H](CCCN/C(=N/[N+](=O)[O-])/N)[NH3+]
HIVXOA,3624,[O-][N+](=O)c1ccc2c(c1)c1[nH]c3c(c1CC2)cccc3
HIXLUX,4070,CN(/C(=N\c1ccc(cc1)[N+](=O)[O-])/N(c1ccccc1)C)C
HIYDIC,3994,O=C(N(c1ccccc1[N+](=O)[O-])C)/C=C/c1ccccc1
HIYMIL,8504,[O-][N+](=O)/N=[N+]/1\C=[NH+]N=C1
HNIABZ20,7742,[O-][N+](=O)c1cc(cc(c1/N=N/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
HNIMOZ,6444,[O-][N+](=O)c1cnc2n1CCO2
HOCVEA,5402,O=C1C(=O)c2cccc(c2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-]
HOCWEB,4812,[O-][N+](=O)c1ncc(cn1)c1ccccc1
HODKAN,5351,CCC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])CC
HOFDOV01,6456,O=[N+]1C=C/C(=[N+](/[N+](=O)[O-])\C)/C=C1
HOFFIR,4156,CC[C@@]1(CCC(=O)NC1=O)c1cccc(c1)[N+](=O)[O-]
HOFFOX,5136,CC[C@@]1(CCC(=O)NC1=O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-]
HOHCIR,4638,O=NN1[C@@H](CO[C@@H]1c1ccc(cc1)[N+](=O)[O-])Cc1ccccc1
HOMDAO,4490,O=C(c1ccc(cc1)[N+](=O)[O-])Cn1ccccc1=O
HONHOJ,4301,O=C(c1cccnc1)/C=C/c1ccc(cc1)[N+](=O)[O-]
HOQVUF,5212,[O-][N+](=O)c1cc(ccc1n1nnc(c1)c1ccccc1)[N+](=O)[O-]
HOTFEC,4369,O=C(c1cccc(c1O)[N+](=O)[O-])Nc1ccccc1
HOWJEI,6585,[O-][N+](=O)[C@@H]1C[C@H](C[C@H](C21OCCO2)[N+](=O)[O-])[N+](=O)[O-]
HOYSEV,8756,[O-][N+](=O)C(c1nonc1Oc1nonc1C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
HOZBII,4572,Oc1ccc(cc1)C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-]
HUCZOV,3939,CC1=NN([C@@H](C1)c1ccccc1)c1cccc(c1)[N+](=O)[O-]
HUDBOY,4667,C/C(=N/Nc1ccccc1[N+](=O)[O-])/C=C/c1ccco1
HUDKIB,4081,[O-][N+](=O)c1ccc(cc1)COc1cccc2c1nccc2
HUDLOI,3867,CC(NC(=O)c1cccc(c1[N+](=O)[O-])C)C
HUFCOB,5164,O=C(c1cnoc1C)N/N=C/c1cccc(c1)[N+](=O)[O-]
HUFFEU,5653,O=C(c1ccccc1)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
HUFNON,4494,[O-][N+](=O)c1c(C)nn2c1ccc1c2cccc1
HUFPOP,4318,Cn1c2ccccc2c2c1n1nc(c(c1cc2)[N+](=O)[O-])C
HUHTAF,4299,O=c1oc(nc2c1cccc2)c1ccccc1[N+](=O)[O-]
HUKTUD,8306,[O-][N+](=O)NCC(CN[N+](=O)[O-])(CN[N+](=O)[O-])CN[N+](=O)[O-]
HUKVAL,8553,[O-][N+](=O)NC(CN[N+](=O)[O-])CN[N+](=O)[O-]
HULJON,4486,[O-][N+](=O)c1ccc(cc1)NN=C1CCCC1
HUMHEC,5131,[O-][N+](=O)c1cc(ccc1N/N=C(/c1ccccc1)\C)[N+](=O)[O-]
HUMSAJ,4968,CC/C(=N\Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/c1ccccc1
HUTHUB,5294,Cc1ccc(c(c1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])O
HUYGIT,3938,COc1ccc(cc1)/C(=C/C=C/c1ccc(cc1)[N+](=O)[O-])/C#N
HUZJAN,6878,[O-][N+](=O)O[C@@H]1[C@H]2C[C@H]3[C@@H]1[C@H]3[C@H]2O[N+](=O)[O-]
IBAMIK,3485,CCCCn1c2ccccc2c2c1ccc(c2)[N+](=O)[O-]
IBIZOJ,5389,N#Cc1ccccc1n1ncc(n1)[N+](=O)[O-]
ICUFIX,5421,[O-][N+](=O)OCCNC(=O)c1ccccn1
IDEHAD,5470,[O-][N+](=O)c1c(C)cc[nH]c1=O
IDEHEH,4678,CCOC(=O)Cn1ccc(c(c1=O)[N+](=O)[O-])C
IDITAR,5497,OC(=O)c1cccc(c1C(=O)N)[N+](=O)[O-]
IDULEZ,4961,CCOC(=O)Cn1cccc(c1=O)[N+](=O)[O-]
IFIFOS,4226,COc1ccccc1/N=C/c1ccc(cc1)[N+](=O)[O-]
IFUVIP,4241,Nc1ccc(cc1)OCCCOc1ccc(cc1)[N+](=O)[O-]
IGACAV,4430,COc1cc(/N=C/c2cccc(c2)[N+](=O)[O-])ccc1OC
IGAGON,6413,[O-][N+](=O)c1cc(ccc1/N=N/C([N+](=O)[O-])(C)C)[N+](=O)[O-]
IHOGER,3745,C[C@@H]([C@@H](c1ccccc1)CC#N)OC(=O)c1ccc(cc1)[N+](=O)[O-]
IJESUL01,5034,N#C/C(=C(\N(C)C)/N=C(/N(C)C)\C)/[N+](=O)[O-]
IJIVEC,6649,[O-][N+](=O)/N=c/1\ccccn1O
IJIVIG,6717,[O-][N+](=O)Nc1ccc[n+](c1)[O-]
IJUKEE,4697,Oc1ccc(cc1)C(=O)N/N=C/c1ccc(c(c1)[N+](=O)[O-])O
IJUKII,4689,O=C(c1ccccc1O)N/N=C/c1ccc(c(c1)[N+](=O)[O-])O
IJUSIQ,5119,OC(COc1ccccc1[N+](=O)[O-])COc1ccccc1[N+](=O)[O-]
IKABUS,4360,[O-][N+](=O)c1ccc(c(c1)c1nc2c([nH]1)cccc2)O
IKACIH,4499,O=C1OC(C)(C)OC(=O)C1=CNc1ccc(cc1)[N+](=O)[O-]
IKIMIY,8013,CN(c1nc(N([N+](=O)[O-])C)c(nc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
IMISAY,8087,[O-][N+](=O)N(CN([N+](=O)[O-])CO[N-][N+](=O)C)CN([N+](=O)[O-])CO[N-][N+](=O)C
IMIVOP,7173,[O-][N+](=O)/N=C(/n1nc(nc1N)N)\N
IMIWOQ,7230,NC(=O)NN/C(=N/[N+](=O)[O-])/N
IMPYRA,4337,Cc1oc(C)cc(=Nc2ccc(cc2)[N+](=O)[O-])c1
INEZUY,8006,Nn1nc(c(n1)[N+](=O)[O-])N
INOLUU,4324,[O-][N+](=O)c1nnn(c1c1ccccc1)Cc1ccccc1
IPOXAZ,4915,CC(N1O[C@@H]1c1ccc(cc1)[N+](=O)[O-])C
IPUPOZ,6892,N#Cc1cc([N+](=O)[O-])c2c(c1)[N+](=O)O[N-]2
IQOMIL,4459,N#CC(=C1C[C@H](c2ccco2)[C@H]([C@H](C1)c1ccco1)[N+](=O)[O-])C#N
IQOPIO,4063,N#CC(=C(C[C@H](c1ccccc1)C[N+](=O)[O-])C)C#N
IQUHUZ,4785,CCOC(=O)Cn1cc2c(n1)cc(cc2)[N+](=O)[O-]
ISACIO,3773,C[C@@H](c1ccccc1)NC(=O)c1ccc(cc1)[N+](=O)[O-]
ISAJAN,5855,N#[N+][N-]C(=O)c1ccccc1[N+](=O)[O-]
ISAJER,5941,O=C(c1ccc(cc1)[N+](=O)[O-])[N-][N+]#N
ISAYAC02,6023,Nc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C
ISAYEG01,6549,ONc1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-]
ISICUJ,3830,Cc1cc(ccc1NCc1ccccc1)[N+](=O)[O-]
ISUQES,4707,N#Cc1c(nc(n1c1ccccc1)C)[N+](=O)[O-]
ITASIH,5042,O[C@@H](c1ccccc1[N+](=O)[O-])Nn1c(C)nnc1C
ITIKAY01,4912,CCOC(=O)/C(=N\Nc1ccc(cc1O)[N+](=O)[O-])/C(=O)C
ITINAA,6748,N#[N+][N-]CC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C[N-][N+]#N
ITINEE,6964,OC(=O)c1nnn(c1)CC([N+](=O)[O-])([N+](=O)[O-])Cn1nnc(c1)C(=O)O
IVEQIL,4198,CCOC(=O)C1=N[C@H](O[C@@H]1c1ccc(cc1)[N+](=O)[O-])C(C)C
IVEREH,4847,[O-][N+](=O)C1=C/C(=C/NCC)/C(=O)C=C1
IYAWEK,6022,O/N=C(/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C)\C
IZAREG,5125,CC(=O)O/N=C/c1cccc(c1)[N+](=O)[O-]
IZEQUA,4582,CN1C(=O)/C(=N\Nc2ccc(cc2)[N+](=O)[O-])/C(=O)c2c1cccc2
IZIPUD,5221,Oc1ccc(cc1)/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C
IZUFIS,3867,[O-][N+](=O)c1cc2ccccc2nc1c1ccccc1
IZUFUE,4257,CCc1nc2ccccc2cc1[N+](=O)[O-]
JABLUW01,7370,[O-][N+](=O)n1ccc(n1)n1cnnn1
JABMAD01,7575,[O-][N+](=O)n1ncc(c1)n1cnnn1
JACYOB,4972,NC(=O)c1cccc(c1)[N+](=O)[O-]
JADNIM,3956,O=C1C=CC(=CC1=C1NC(C(N1)(C)C)(C)C)[N+](=O)[O-]
JAHPIR,5615,[O-][N+](=O)c1ccc(o1)/C=N/n1cccn1
JAJBEB,7913,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2C([C@H]3[C@H]4C1([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
JAKCOO,5715,Cc1ccnc(c1[N+](=O)[O-])/N=N/c1nccc(c1[N+](=O)[O-])C
JAPKIU,7754,NNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JAPPAR,4955,CCN1CCO[C@@H](O1)c1ccc(cc1)[N+](=O)[O-]
JAPXIK,4046,[O-][N+](=O)c1ccc(cc1)/C=C\C1=NN(CC1)c1ccccc1
JAPXOQ,4116,[O-][N+](=O)c1ccc(cc1)/C=C/C1=NN(CC1)c1ccccc1
JAQTOK,4194,[O-][N+](=O)c1ccccc1c1nnc2c(c1)C(=O)c1c2cccc1
JAQVUV,7361,CCN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JASLEV,7248,CC(=O)NC(=C([N+](=O)[O-])[N+](=O)[O-])N
JAWKIC,4391,C[C@@]1(CN=NN1c1ccc(cc1)[N+](=O)[O-])c1ccccc1
JAXTAE,5063,[O-][N+](=O)c1cccc(c1)/C=N/N=C/c1cccc(c1)[N+](=O)[O-]
JAYDET,4139,OC[C@H](Cc1ccccc1)N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-]
JAYGEW,4987,O=C(Nc1ccc(cc1)[N+](=O)[O-])/C=C\C(=O)O
JAYZOB,4336,O=C(N(c1ccccc1)OC(=O)C)c1ccc(cc1)[N+](=O)[O-]
JECVAO,5581,O[C@@H](Cn1ccnc1[N+](=O)[O-])CN1CC1
JECVES,5198,[O-][N+](=O)c1nccn1C[C@@H](CN1C[C@@H]1C)O
JEDSUG,8244,O=C1N(CCN1[N+](=O)[O-])[N+](=O)[O-]
JEDXIC,4154,Cc1cc2c(cc1C)nc1n2CCn2c1c(cc2)[N+](=O)[O-]
JEHLAJ,9054,[O-][N+](=O)N1CCN([C@@H]2[C@H]1N([N+](=O)[O-])C(=O)N2[N+](=O)[O-])[N+](=O)[O-]
JEHLEN,7943,CC(=O)O[C@@H]1N([N+](=O)[O-])[C@H]2[C@@H](N1[N+](=O)[O-])N(CCN2[N+](=O)[O-])[N+](=O)[O-]
JEHNUF,4501,O=C(c1ccc(cc1)[N+](=O)[O-])Oc1ccccn1
JEJZAA,6688,O=[N+]1C=C/C(=[NH+]/[N+](=O)[O-])/C=C1
JEKHIR,4349,CCOC(=O)[C@H](/C(=C\c1ccc(cc1)N(C)C)/[N+](=O)[O-])O
JEKQUO,4521,[O-][N+](=O)O[C@@H]1[C@H](Cc2c1cccc2)ON1C(=O)c2c(C1=O)cccc2
JELTEC,4373,[O-][N+](=O)c1ccc(cc1)n1nnc(c1)Cc1ccccc1
JEMWII,4888,COc1ccccc1C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccccc1OC
JENZAG,4257,[O-][N+](=O)c1ccc2c(c1)nc(o2)c1ccccc1
JEQWEI,4621,[O-][N+](=O)c1ccc(cc1)Cn1nnc2c1cccc2
JERVUY,7389,[O-][N+](=O)c1c[nH]c(=O)c(c1)[N+](=O)[O-]
JEXLUT,8319,[O-][N+](=O)N1CN(C[C@@H]2[C@H]1CN(CN2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JEXMAA,8072,[O-][N+](=O)N1CN(C[C@@H]1[C@H]1CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JEXMEE,8066,[O-][N+](=O)N1CN(C2(C1)CN(CN(C2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JEXMII,8455,[O-][N+](=O)N1CCN([C@@H]2[C@@H]1N(CCN2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JIDBIH,4769,[O-][N+](=O)C1(CCCCC1)C1(CCCCC1)[N+](=O)[O-]
JIJROJ,7470,CO[C@@H]1O[C@H](CO[N+](=O)[O-])[C@H]([C@@H]([C@H]1O[N+](=O)[O-])O)O[N+](=O)[O-]
JILKEU,5176,N#C[C@]1([N+](=O)[O-])[C@H]2[C@@H]1[C@@H]1C[C@H]2C=C1
JINYEK,5682,CN1N=NN(C(/C/1=N/c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])(C)C)C
JIPSAF,7959,[O-][N+](=O)c1nonc1Nc1nnc2n(n1)cnn2
JIRTAG,3520,[O-][N+](=O)c1ccc(cc1)/C=C/n1c2ccccc2c2c1cccc2
JITLUT,4009,CC(N1CCCO[C@@H]1c1ccc(cc1)[N+](=O)[O-])C
JIZJIL,5662,[O-][N+](=O)c1cnc(n1C)C
JODHOA,5977,[O-][N+](=O)c1ccc(cc1)n1nnnc1N
JODSEA,3893,O=C(Cc1ccccc1)Nc1ccc(cc1)[N+](=O)[O-]
JOFGER,4744,COc1cc2n(cnc2c(c1)[N+](=O)[O-])C(C)C
JOFGUH,4405,COc1cccc(c1)/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C
JOHBUD01,6946,[O-][N+](=O)[C@H]1[C@@H](C21CC2)[N+](=O)[O-]
JOKLIG,4394,CNC1=C([N+](=O)[O-])[C@@H](c2c(O1)[nH]nc2C)c1ccc(cc1)C
JOKQOR,5761,CC(=O)Nc1ccc(cc1[N+](=O)[O-])c1[nH]nnn1
JOKTIM,6288,[O-][N+](=O)C1=CC(=[N+]([O-])[O-])[C@]2(C(=C1)[N+](=O)[O-])OCc1[n+]2cccc1
JOLNED,5473,CN(/N=N/c1ccc(cc1)[N+](=O)[O-])C
JOPNAD,7625,[O-][N+](=O)[N-][N@+]12CC[N@+](CC1)(CC2)[N-][N+](=O)[O-]
JOPNUX,4843,[O-][N+](=O)c1ccc2c(c1)NCCOCCNCCO2
JORBUN,7209,[O-][N+](=O)C(C([N+](=O)[O-])(C)C)([N+](=O)[O-])C
JORCAU,6866,CCC(C([N+](=O)[O-])(C)C)([N+](=O)[O-])[N+](=O)[O-]
JOTDOL,5105,CCC(=O)N1CN([C@@H]2[C@H]1OCN2[N+](=O)[O-])C(=O)CC
JOTFED,6437,CC(=O)N1CN([C@H]2[C@@H]1N(CN2[N+](=O)[O-])[N+](=O)[O-])C(=O)C
JOWWIB,7817,[O-][N+](=O)c1n[nH]c(n1)N
JOYRAQ,4291,C=CCn1c(nc2c(c1=O)cccn2)c1ccc(cc1)[N+](=O)[O-]
JUBCOY,5713,[O-][N+](=O)c1cccnc1c1ncccc1[N+](=O)[O-]
JUFKIE,5353,[O-][N+](=O)C1=C[N-][C@]2(C(=C1)[N+](=O)[O-])N(C)C1=CC=CC=CC1=[N+]2C
JUFLAX,4603,O=C(c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])Oc1ccc2c3c1C(=O)C=Cc3ccc2
JULGUS,4821,C/C(=N\N=C(\c1ccccc1[N+](=O)[O-])/C)/c1ccccc1[N+](=O)[O-]
JULHAZ,4828,C/C(=N/N=C(/c1ccccc1[N+](=O)[O-])\C)/c1ccccc1[N+](=O)[O-]
JULHED,5123,[O-][N+](=O)c1ccccc1/C=N/N=C/c1ccccc1[N+](=O)[O-]
JULWAO20,4332,[O-][N+](=O)c1ccc(cc1)/N=N/C1(C)C(=O)c2c(C1=O)cccc2
JUMFAA,6819,CC(=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
JUNBEB,8651,[O-][N+](=O)c1nnc2n(c1N)nc(c2[N+](=O)[O-])[N+](=O)[O-]
JUPRIV,6790,[O-][N+](=O)c1cc(cc(c1N(C)C)[N+](=O)[O-])[N+](=O)[O-]
JUPROB,7020,CNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JUPSES,7309,COc1c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-]
JUTGEK,7955,[O-][N+](=O)CC[N+](=O)[O-]
JUVMIW01,7614,[O-][N+](=O)C1(C[C@H]2C[C@@H]1CC2([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JUVMUI,7162,[O-][N+](=O)C1(C[C@@H]2[C@H](C1)CC(C2)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JUVNAP,7820,[O-][N+](=O)C1(CCC(CC1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JUXBOV,5482,CONC(=O)Nc1ccc(cc1)[N+](=O)[O-]
KABGIF,4450,COc1cc(/C=N/Nc2ccc(cc2)[N+](=O)[O-])ccc1OC(=O)C
KABNEI,5515,N#Cc1ccc(cc1)/C=C\c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
KADZEU,4340,O=C(c1ccccc1O)Nc1ccc(cc1)[N+](=O)[O-]
