ID,DetoT(K),smiles,DetoT
BUTDID,1169,O=C(c1ccccc1)Nc1ccc(cc1)[N+](=O)[O-],1.169
BUXJAH,1782,N#Cc1cccc(c1C#N)[N+](=O)[O-],1.782
BUYJAG,1326,COC(=O)N[C@@H]1[C@H](C)O[C@@H](C[C@@]1(C)[N+](=O)[O-])OC,1.326
BUYPUG10,2816,[O-][N+](=O)[C@]12C[C@]3(C[C@@](C2)(C[C@@](C1)(C3)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],2.816
BUZVOH,1659,Cc1ccc(c(c1)[N+](=O)[O-])N/N=C\1/C=CC(=O)C2=CC=CC=C1C2,1.659
BYPOXO,1488,O=C1OC(=N/C/1=C\c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])c1ccccc1,1.488
BZOCYX10,1753,N#C/C(=N/O[C@@](c1ccccc1)([N+](=O)[O-])C#N)/c1ccccc1,1.753
CABLIA,1050,CCC(=O)N1C[C@@H]2[C@@]3([C@H]1CC(=O)C=C3CCC2)[N+](=O)[O-],1.05
CACBUF,1269,CC(=O)Nc1c(C)cc(cc1[N+](=O)[O-])C,1.269
CACFOD01,2545,[O-][N+](=O)c1cc(ccc1N/N=C/1\CCCC(=C1[N+](=O)[O-])C)[N+](=O)[O-],2.545
CACNIG,1197,[O-][N+](=O)c1ccccc1[C@H](Cc1cnc(o1)c1ccccc1)O,1.197
CAFQUW,2372,Nc1ccn(c(=O)n1)c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],2.372
CAJTEM,1385,[O-][N+](=O)c1ccc2n(c1)c(cn2)c1ccccc1,1.385
CANKIL,1662,CNC1=NC(=C(/C/1=N\c1ccccc1)[N+](=O)[O-])NC,1.662
CANXIA,2826,OCC(C([N+](=O)[O-])(CO)CO)([N+](=O)[O-])CO,2.826
CASBOQ01,3230,[O-][N+](=O)c1c[nH]nc1n1cnnn1,3.23
CATJIQ01,4399,[O-][N+](=O)N1CC(CN(CC(C1)([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],4.399
CATLUE,1642,O=Cc1cn(nc1c1ccccc1O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.642
CAVDAF,1500,O=C1ON([C@@H](N1c1ccccc1)c1ccccc1[N+](=O)[O-])C,1.5
CAVROG,1983,N#CC([C@]1(C)C(=C1C)C)(c1ccc(cc1)[N+](=O)[O-])C#N,1.983
CAWWED,1166,CN(c1nc(ccc1[N+](=O)[O-])Nc1ccccc1)c1ccccc1,1.166
CAXNIY,2252,[O-][N+](=O)C1([C@@H]2C[C@@H]3C[C@H]1C[C@H](C2)C3)[N+](=O)[O-],2.252
CAYMAR,1164,[O-][N+](=O)c1cccc2c1nc(NCc1ccccc1)cc2,1.164
CECCEU,1296,[O-][N+](=O)c1cccc2c1c1ccccc1NC2,1.296
CEDMUV,2239,[O-][N+](=O)c1ccc(cc1)Cc1nnn[nH]1,2.239
CEDQAF,1405,Oc1cccc(c1)/C=N/NC(=O)c1ccc(cc1)[N+](=O)[O-],1.405
CEDZUG,3585,[O-][N+](=O)[C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42[N+](=O)[O-],3.585
CEGVOB,1323,COc1ccc(cc1)C(=O)Nc1ccc(cc1[N+](=O)[O-])OC,1.323
CEKVOD,1683,[O-][N+](=O)c1ccccc1N/N=C/c1ccccc1,1.683
CEQXEB,3007,CC(=NNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C,3.007
CICMAD01,1542,Oc1ccc(cc1/C=N/Nc1ccccc1)[N+](=O)[O-],1.542
CIDQIP,1184,CC(Nc1ccc(cc1NC(=O)C)[N+](=O)[O-])C,1.184
CIFROY,3293,[O-][N+](=O)c1n[nH]cn1,3.293
CIGSUJ,3396,[O-][N+](=O)OCc1onc(n1)c1noc(n1)CO[N+](=O)[O-],3.396
CIJBAA,1351,[O-][N+](=O)c1ccc2c(c1)c(nc(n2)c1ccccc1[N+](=O)[O-])c1ccccc1,1.351
CIJDAC,1377,CCOC(=O)/C(=C(\N)/C)/[C@@H](c1cccc(c1)[N+](=O)[O-])C(C#N)C#N,1.377
CIJYIE,2312,N#Cc1[nH]c(nc1[N+](=O)[O-])C,2.312
CILBII,3920,CO[C@@H]1O[C@H](CO[N+](=O)[O-])[C@H]([C@@H]([C@H]1O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],3.92
CINVIE,2841,[O-][N+](=O)C1=C[C@@]([N+](=O)[O-])(C2CC2)[C@@H]([C@](C1=O)(C)O)[N+](=O)[O-],2.841
CIQCAJ,1415,[O-][N+](=O)c1cc(N/C=C\2/C=CC=C(C2=O)OC)c(cc1)O,1.415
CIQRIE,1742,[O-][N+](=O)c1ccc(cc1)OCCCCOc1ccc(cc1)[N+](=O)[O-],1.742
CIVVEI10,1695,CC(=O)Oc1cc(cc2c1c1cc(cc(c1[nH]c2=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.695
CIWMAW01,2914,Nc1nc(N)c(nc1[N+](=O)[O-])[N+](=O)[O-],2.914
CIWMEA10,4685,[O-][N+](=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-],4.685
CMDNFL,1502,N#CC(=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-])C#N,1.502
CMNFLU10,2139,N#CC(=C1c2cc(cc(c2c2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C#N,2.139
CNOXPA,1861,N#CC1=C(C)N/C(=C\[N+](=O)[O-])/C(=O)C1(C)C,1.861
COCNBZ01,1912,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@H]1CCCCCC=C1,1.912
CODYAX,1325,[O-][N+](=O)c1ccc(cc1)/N=N/c1ccc(c(c1)C(=O)O)O,1.325
COGFUB,4017,[O-][N+](=O)c1n(/N=N/n2cnc(c2[N+](=O)[O-])[N+](=O)[O-])cnc1[N+](=O)[O-],4.017
COGGAI,3987,[O-][N+](=O)c1ncn(n1)/N=N/n1cnc(n1)[N+](=O)[O-],3.987
COMGUG,1007,O=C1c2ccccc2C(=O)N1c1ccccc1[N+](=O)[O-],1.007
COQVAF,1922,N#C/C(=C\c1ccccc1OC)/[N+](=O)[O-],1.922
COWBEV,4431,N#[N+][N-]CN1CN(CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],4.431
COWNUX,1142,CN1[C@@H]2CCCC[C@@H]2CO[C@H]1c1ccc(cc1)[N+](=O)[O-],1.142
COXXIW,1688,OC[C@H]([C@@H](c1ccc(cc1)[N+](=O)[O-])O)N,1.688
COYLAF03,4424,[O-][N+](=O)C([N+](=O)[O-])([N+](=O)[O-])CNc1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],4.424
CTMTNA,4760,[O-][N+](=O)N1CN(CN(C1)[N+](=O)[O-])[N+](=O)[O-],4.76
CUBHEO,1126,COc1ccc(cc1)N1C(=O)c2c(C1=O)cccc2[N+](=O)[O-],1.126
CUBKAN,1092,COc1ccc(cc1)N1C(=O)c2c(C1=O)cc(cc2)[N+](=O)[O-],1.092
CUDYEH,1341,CCOC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O,1.341
CUDYIL,1412,COC(=O)CCn1cc([N+](=O)[O-])c(=O)[nH]c1=O,1.412
CUHZEM,1450,O=C1N(/N=C/c2ccc(cc2)[N+](=O)[O-])CNc2c1cccc2,1.45
CUKCAM10,2065,OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],2.065
CUKRUW,1778,[O-][N+](=O)c1ccc(cc1)c1ncc2n1nc(o2)C1CCC1,1.778
CUKSIK,1159,[O-][N+](=O)c1cnn(c1)[C@]12C[C@@H]3C[C@H](C1)C[C@](C2)(C3)O,1.159
CUMQEI,1642,[O-][N+](=O)c1ccccc1/N=N/c1c(C)nn(c1N)c1ccccc1,1.642
CUNCOE,1439,N#CC1(C#N)[C@@H]([C@H]1c1ccccc1)c1ccc(cc1)[N+](=O)[O-],1.439
CUNGAT,3445,CN/C=C/[N+](=O)[O-],3.445
CUNTOU,1919,CC(=O)/C(=N/Nc1ccccc1[N+](=O)[O-])/C,1.919
CUNVAI,2348,CC(=O)/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C,2.348
CUNWEN,1872,O=C1OC(C)(C)OC(=O)C1=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.872
CUPPIO,1207,NC(=O)[C@H](c1ccccc1)/N=C/c1ccc(cc1)[N+](=O)[O-],1.207
CUPQEL,1210,NC(=O)[C@H](c1ccccc1)/N=C/c1cccc(c1)[N+](=O)[O-],1.21
CUPSAJ,1258,NC(=O)[C@H](c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-],1.258
CURNIO,1437,N#C/C(=C\c1cccc(c1)[N+](=O)[O-])/C(=O)NCc1ccco1,1.437
CUTWIX,2647,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C,2.647
CUTWOD,2652,[O-][N+](=O)[C@H]1C(=C[C@](C(=O)[C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C,2.652
CUTWUJ,2666,[O-][N+](=O)[C@H]1C(=C[C@@](C(=O)[C@@]1(C)[N+](=O)[O-])(C)[N+](=O)[O-])C(C)(C)C,2.666
