ID,DetoT(K),smiles,DetoT
FULYEQ10,2382,[O-][N+](=O)c1c([N+](=O)[O-])c(C)c(c(c1C)C)C,2.382
FUQFAY,1737,O/N=C(/c1ccc(cc1)[N+](=O)[O-])\C/C(=N\O)/c1ccccc1O,1.737
FUSZEY,1018,[O-][N+](=O)c1cccc2c1[nH]c(=O)c1c2cccc1,1.018
FUWNIU,2039,[O-][N+](=O)OCCNC(=O)c1cccnc1,2.039
FUXNAN,1956,CNc1ccc(cc1)[N+](=O)[O-],1.956
FUXZIH,1317,C[C@@H](c1ccccc1)Nc1ccc(cn1)[N+](=O)[O-],1.317
GADFID,2308,CN(/C=C/c1ncn(c1[N+](=O)[O-])C)C,2.308
GAFNUW,1864,CC(=O)O[C@H]1C[C@H]2C[C@@H]1C1=CC(=[N+]([O-])[O-])[N+](=O)C=C21,1.864
GAHKAB02,1509,CC(=O)Nc1cc(ccc1N(C)C)[N+](=O)[O-],1.509
GAKQOZ,1583,O=C(c1ccccn1)N/N=C/c1ccccc1[N+](=O)[O-],1.583
GAKWUM,2664,[O-][N+](=O)c1cc(ccc1/C=N/n1cnnc1)[N+](=O)[O-],2.664
GAKXAT,2307,[O-][N+](=O)c1cccc(c1)/C=N/n1cnnc1,2.307
GALYIE,2065,[O-][N+](=O)CC(c1c[nH]c2c1cccc2)C[N+](=O)[O-],2.065
GANTAT01,3361,[O-][N+](=O)c1[nH]nc(c1Nc1nnc2n(n1)cnn2)[N+](=O)[O-],3.361
GAQMIV,1806,[O-][N+](=O)c1cccc2c1[nH]ncc2=O,1.806
GAQMOB,2025,Cn1cc2c(n1)c(ccc2)[N+](=O)[O-],2.025
GARBUY,1378,[O-][N+](=O)c1ccc(c(c1)C(=O)O)N,1.378
GATPEW,1727,CN(c1ccccc1)/N=C/c1ccccc1[N+](=O)[O-],1.727
GATYIK,1303,[O-][N+](=O)c1ccc2c(c1)ccc(=O)[nH]2,1.303
GAVGIU,1437,Oc1ccccc1/N=C/C=C/c1ccccc1[N+](=O)[O-],1.437
GAWBOW,1493,CCOc1cc(/C=N/Nc2ccc(cc2)[N+](=O)[O-])ccc1O,1.493
GAWGUH,1368,Cc1ccccc1/N=C/C=C/c1ccccc1[N+](=O)[O-],1.368
GAXGOE,1294,COC(=O)c1cnc(nc1C)c1ccc(cc1)[N+](=O)[O-],1.294
GAZBEQ,1169,COC(=O)c1cc(ncc1C(=O)OC)c1ccccc1[N+](=O)[O-],1.169
GECCUM,1345,O[C@@]1(C=CC2=NCC[C@@]2(C1)C)c1ccc(cc1)[N+](=O)[O-],1.345
GECPEL,1592,CCCCn1cnnc1Nc1cccc(c1)[N+](=O)[O-],1.592
GECPIP,1306,Cc1cc(ccc1C)n1cnnc1Nc1cccc(c1)[N+](=O)[O-],1.306
GEDWIV,2267,N#CC1=C(C#N)[C@@](C)([N+](=O)[O-])C(C(=O)[C@]1(C)[N+](=O)[O-])(C)C,2.267
GEDYEU,3952,[O-][N+](=O)N1CCn2c1nnn2,3.952
GEJKUB,1382,[O-][N+](=O)c1ccc(cc1)CNc1ccccc1,1.382
GEJLAI,1266,[O-][N+](=O)c1ccc(cc1)CCNc1ccccc1,1.266
GEJLEM,1082,Cc1ccc(cc1)N(CCc1ccc(cc1)[N+](=O)[O-])C,1.082
GEKKOY,2472,O=[N+]1c2ccc(cc2[N-]OC21CCCCC2)[N+](=O)[O-],2.472
GEKKUE,2067,O=[N+]1c2cc(ccc2[N-]C21CCCCC2)[N+](=O)[O-],2.067
GELHUD,1243,[O-][N+](=O)OCCNC(=O)c1ccccc1NC(=O)c1ccccc1,1.243
GEMZAZ,2840,O=C1N[C@H]2[C@@H](N1[N+](=O)[O-])NC(=O)N2[N+](=O)[O-],2.84
GEPPUN,1195,CCN(c1ccccc1)C(=O)COc1ccc(cc1)[N+](=O)[O-],1.195
GEQHOZ,1272,CO/C(=N/C(=O)c1ccccc1)/Nc1ccccc1[N+](=O)[O-],1.272
GERPOJ02,2287,OCCNc1cc(NCCO)c(cc1[N+](=O)[O-])[N+](=O)[O-],2.287
GESFAO,1205,O=C1N[C@@H](Nc2c1cccc2)c1ccccc1[N+](=O)[O-],1.205
GETFIU01,2906,[N-]=[N+]=C1C=C(C=C(C1=O)[N+](=O)[O-])[N+](=O)[O-],2.906
GEVLEZ,1302,COc1cc(C(=O)NCc2ccccc2)c(cc1OC)[N+](=O)[O-],1.302
GEVSIM,1300,COC(=O)C1=C(C)N[C@H](C(=C1)[N+](=O)[O-])c1ccccc1,1.3
GEVSOS,1922,COC(=O)/C(=C(\N)/C)/C=C/[N+](=O)[O-],1.922
GEXKUP,1329,N/C(=N\c1ccc(cc1)[N+](=O)[O-])/c1ccccc1,1.329
GEYNON,2081,O=C1OCOc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-],2.081
GEYREK,2752,[O-][N+](=O)c1nc2n(n1)CCCn1c2nc(n1)[N+](=O)[O-],2.752
GEZKII,1186,COc1ccc(cc1)n1ccc(c1c1ccc(cc1)[N+](=O)[O-])C=O,1.186
GIBVOE,1576,[O-][N+](=O)c1ccc2c3c1[nH]c(=O)[nH]c3c(cc2)[N+](=O)[O-],1.576
GIBZAV,1449,O=C(Cc1ccccc1)N/N=C/c1ccccc1[N+](=O)[O-],1.449
GICTIV,4021,[O-][N+](=O)n1cnc(n1)/N=N/c1ncn(n1)[N+](=O)[O-],4.021
GIGQUI01,3066,COc1c([N+](=O)[O-])c(OC)c(c(c1[N+](=O)[O-])OC)[N+](=O)[O-],3.066
GIHFEI,1872,N#Cc1cc(cc2c1c1c(cc(cc1C2=O)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.872
GIJBEJ,1120,O=C(C(=O)n1cc(c2c1cccc2)C)c1ccc(cc1)[N+](=O)[O-],1.12
GILYUV,2076,[O-][N+](=O)[C@@H]1[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2[C@@H]2[C@H]3[C@H]4[C@H]1[C@H]2[N+](=O)[O-],2.076
GIMBOT,2869,[O-][N+](=O)c1cc(cc(c1/C=C/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],2.869
GIPRUU,1181,N#C/C(=C\c1ccc(cc1)[N+](=O)[O-])/Cn1cnc2c(c1=O)cccc2,1.181
GIQVEJ01,1284,[O-][N+](=O)c1ccc2c(c1)ncc(n2)c1ccccc1,1.284
GISDIX,2112,O=[N+](c1ccccc1)/N=[NH+]/c1ccc(cc1)[N+](=O)[O-],2.112
GIVJAX,1591,[O-][N+](=O)c1ccc(cc1)Cc1nccnc1,1.591
GIZSOX,3562,O/N=C/1\CCCC1([N+](=O)[O-])[N+](=O)[O-],3.562
GOCTUP,1371,Oc1ccccc1/N=C/c1ccc(cc1)[N+](=O)[O-],1.371
GODNUI,1579,[O-][N+](=O)c1cccc2c1c1ccccc1nn2,1.579
GOLVAE,1428,N#Cc1c2cccnc2ccc1C([N+](=O)[O-])(C)C,1.428
GOTFOM,1394,[O-][N+](=O)c1cc(/C=N/c2ccccc2)ccc1O,1.394
GOWKOU,1177,CCOC(=O)/C(=C/Nc1cccc(c1)[N+](=O)[O-])/C(=O)O,1.177
GOXKAF,1242,CC(=O)NN(C(=O)c1ccccc1O)c1ccc(cc1)[N+](=O)[O-],1.242
GOZFIM,1300,CN1Cc2ccccc2N[C@H]1c1ccccc1[N+](=O)[O-],1.3
GUFLUO,2009,N#C/C(=N\Nc1ccccc1[N+](=O)[O-])/C(=O)C,2.009
GULGAV,3542,[O-][N+](=O)c1[nH]cnc1[N+](=O)[O-],3.542
GURDAY,3806,[O-][N+](=O)C([C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],3.806
GUTZAY,1449,[O-][N+](=O)c1cccc(c1)c1nnc2n1ncc1c2cccc1,1.449
GUVYAY,1277,[O-][N+](=O)c1ccc2c(c1)C[C@H]1N2CCCC1,1.277
GUZKET,1299,O=C(Cn1cccc(c1=O)[N+](=O)[O-])Nc1ccccc1,1.299
GUZWEE,1449,[O-][N+](=O)[C@]12C[C@H]3[C@H]4[C@@H](C2)[C@H]2[C@@H](C1)[C@@H]3C[C@@](C4)(C2)[N+](=O)[O-],1.449
HABMAZ,2911,[O-][N+](=O)/N=c/1\cc(C)ccn1O,2.911
HABMED,2965,CC1=CC=C[N+](=O)/C/1=[NH+]/[N+](=O)[O-],2.965
HABZIT,1576,N#CCC[C@]1(CCCCCCC1=O)[N+](=O)[O-],1.576
HACLEE,1552,[O-][N+](=O)c1ccc2n(c1=O)C[C@@H]1C[C@H]2CNC1,1.552
HACVAL,2016,OC[C@@H]1N[C@@H]1c1ccc(cc1)[N+](=O)[O-],2.016
HADCAT,2606,[O-][N+](=O)c1cc(/N=N/c2cc(cc(c2C)[N+](=O)[O-])[N+](=O)[O-])c(c(c1)[N+](=O)[O-])C,2.606
HAGSEP,1091,[O-][N+](=O)c1ccc2c(c1)c1c(c(=O)o2)c(nn1c1ccccc1)C,1.091
HAHRIU,1949,[O-][N+](=O)C1=CC=C2C(=NC3([N+]2=O)CCCCC3)C1=[NH2+],1.949
HAMYAY,1017,C/C(=C/1\N=C(OC1=O)c1ccccc1)/NC(=O)c1cccc(c1)[N+](=O)[O-],1.017
HASHAK,3796,[O-][N+](=O)[C@]12[C@@H]3[C@@H]4[C@H]1[C@@]1([C@H]2[C@]3([C@H]41)[N+](=O)[O-])[N+](=O)[O-],3.796
HASHEO,3973,[O-][N+](=O)[C@]12[C@H]3[C@]4([C@@H]2[C@]2([C@@H]1[C@@]3([C@@H]42)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],3.973
HAWLUN,1317,COc1ccc(cc1)/C=C(\C(=O)NCc1ccccc1)/[N+](=O)[O-],1.317
HAWSOO,2462,Cc1ccc(c(c1[N+](=O)[O-])[N+](=O)[O-])C,2.462
HAYYEM,2322,[O-][N+](=O)[C@]1(C)c2ccccc2[C@H](c2c1cccc2)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],2.322
HAYZIR,1942,CCCCOC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],1.942
HDNBPP,1944,[O-][N+](=O)c1cc(cc2c1O[C@H]1OCCC[C@H]1C2)[N+](=O)[O-],1.944
HEBCHN,1791,C[C@H]([C@]12CCC[C@@H]2C1)OC(=O)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-],1.791
HECDIC,2237,[O-][N+](=O)c1c(C)c([N+](=O)[O-])c(c(c1C)C(C)(C)C)C,2.237
HECFOK,1685,[O-][N+](=O)c1cnc(n1C)c1ccccc1,1.685
HECGAX,1649,Nc1ccc(cc1)c1ncc(n1C)[N+](=O)[O-],1.649
HEDFUU,1245,COC(=O)[C@@]1(N=CN2[C@H]1CC[C@H]2C)c1ccc(cc1)[N+](=O)[O-],1.245
HEGBON,1241,O=C1OC(=N/C/1=C\c1ccco1)c1ccc(cc1)[N+](=O)[O-],1.241
HEHTUJ,2745,[O-][N+](=O)c1c[nH]nc1C,2.745
HEHVAR,2752,[O-][N+](=O)c1cn[nH]c1C,2.752
HENKIU01,1748,CC(=O)C(=NNc1ccc(cc1)[N+](=O)[O-])C(=O)C,1.748
HEPFUD,2057,[O-][N+](=O)c1c(C)nc2n(c1=O)nc[nH]2,2.057
HESPIF,1788,COc1cccc(c1OCCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C=O,1.788
HEVZOZ,797,O=C([C@@H](NC(=O)C(C)(C)C)C)Nc1cccc(c1)[N+](=O)[O-],0.797
HEXTIN,2842,Cc1c([N+](=O)[O-])c(C)c(c(c1[N+](=O)[O-])C)[N+](=O)[O-],2.842
HEXXUE,1190,COc1ccccc1NC(=O)c1cc(C)cc(c1O)[N+](=O)[O-],1.19
HEYLEF,1109,Cc1cnc(nc1c1cccc(c1)[N+](=O)[O-])c1ccccc1,1.109
HIBWUK,2024,[O-][N+](=O)c1cc([N+](=O)[O-])c(cc1C(C)(C)C)C(C)(C)C,2.024
HIGSIZ,3395,N#CCN([N+](=O)[O-])CC#N,3.395
HIHZUT,1959,[O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1[N+](=O)[O-],1.959
HIJBAD,1905,[O-][N+](=O)c1cc(cc2c1[nH]c(=O)c(=O)[nH]2)[N+](=O)[O-],1.905
HIKMEW,2327,CC(=O)CN1[C@H]2N/C(=N\[N+](=O)[O-])/N([C@H]2N/C/1=N\[N+](=O)[O-])CC(=O)C,2.327
HIMYOU,1255,CCOC(=O)[C@H]([C@@H]([C@H]([N+](=O)[O-])C)c1ccccc1)C#N,1.255
HIMYUA,1246,CCOC(=O)[C@H]([C@@H]([C@@H]([N+](=O)[O-])C)c1ccccc1)C#N,1.246
HIPSII,1404,Cc1ccc(cc1)N1C[C@H]2[C@]3(C1)C=C[C@]([C@@H]2C)(O3)[N+](=O)[O-],1.404
HIQVEI,1153,COC(=O)C1=C(C)NC(=O)C[C@H]1c1ccccc1[N+](=O)[O-],1.153
HISRUW01,2060,CCC(Nc1c(cc(c(c1[N+](=O)[O-])C)C)[N+](=O)[O-])CC,2.06
HITMUS,3375,C/C(=C(\C[N+](=O)[O-])/C)/C[N+](=O)[O-],3.375
HITNED01,2552,CC=C=CC(/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])(C)C,2.552
HIVLAA,1879,[O-]C(=O)[C@H](CCCN/C(=N/[N+](=O)[O-])/N)[NH3+],1.879
HIVXOA,973,[O-][N+](=O)c1ccc2c(c1)c1[nH]c3c(c1CC2)cccc3,0.973
HIXLUX,1287,CN(/C(=N\c1ccc(cc1)[N+](=O)[O-])/N(c1ccccc1)C)C,1.287
HIYDIC,1289,O=C(N(c1ccccc1[N+](=O)[O-])C)/C=C/c1ccccc1,1.289
HIYMIL,4392,[O-][N+](=O)/N=[N+]/1\C=[NH+]N=C1,4.392
HNIABZ20,3217,[O-][N+](=O)c1cc(cc(c1/N=N/c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],3.217
HNIMOZ,2434,[O-][N+](=O)c1cnc2n1CCO2,2.434
HOCVEA,1496,O=C1C(=O)c2cccc(c2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-],1.496
HOCWEB,1647,[O-][N+](=O)c1ncc(cn1)c1ccccc1,1.647
HODKAN,2517,CCC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])CC,2.517
HOFDOV01,3159,O=[N+]1C=C/C(=[N+](/[N+](=O)[O-])\C)/C=C1,3.159
HOFFIR,1038,CC[C@@]1(CCC(=O)NC1=O)c1cccc(c1)[N+](=O)[O-],1.038
HOFFOX,1677,CC[C@@]1(CCC(=O)NC1=O)c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],1.677
HOHCIR,1693,O=NN1[C@@H](CO[C@@H]1c1ccc(cc1)[N+](=O)[O-])Cc1ccccc1,1.693
HOMDAO,1306,O=C(c1ccc(cc1)[N+](=O)[O-])Cn1ccccc1=O,1.306
HONHOJ,1398,O=C(c1cccnc1)/C=C/c1ccc(cc1)[N+](=O)[O-],1.398
HOQVUF,1915,[O-][N+](=O)c1cc(ccc1n1nnc(c1)c1ccccc1)[N+](=O)[O-],1.915
HOTFEC,1192,O=C(c1cccc(c1O)[N+](=O)[O-])Nc1ccccc1,1.192
HOWJEI,2912,[O-][N+](=O)[C@@H]1C[C@H](C[C@H](C21OCCO2)[N+](=O)[O-])[N+](=O)[O-],2.912
HOYSEV,4141,[O-][N+](=O)C(c1nonc1Oc1nonc1C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],4.141
HOZBII,1382,Oc1ccc(cc1)C(=O)N/N=C/c1ccc(cc1)[N+](=O)[O-],1.382
HUCZOV,1356,CC1=NN([C@@H](C1)c1ccccc1)c1cccc(c1)[N+](=O)[O-],1.356
HUDBOY,1825,C/C(=N/Nc1ccccc1[N+](=O)[O-])/C=C/c1ccco1,1.825
HUDKIB,1247,[O-][N+](=O)c1ccc(cc1)COc1cccc2c1nccc2,1.247
HUDLOI,1206,CC(NC(=O)c1cccc(c1[N+](=O)[O-])C)C,1.206
HUFCOB,1870,O=C(c1cnoc1C)N/N=C/c1cccc(c1)[N+](=O)[O-],1.87
HUFFEU,2264,O=C(c1ccccc1)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-],2.264
HUFNON,1422,[O-][N+](=O)c1c(C)nn2c1ccc1c2cccc1,1.422
HUFPOP,1285,Cn1c2ccccc2c2c1n1nc(c(c1cc2)[N+](=O)[O-])C,1.285
HUHTAF,1077,O=c1oc(nc2c1cccc2)c1ccccc1[N+](=O)[O-],1.077
HUKTUD,4354,[O-][N+](=O)NCC(CN[N+](=O)[O-])(CN[N+](=O)[O-])CN[N+](=O)[O-],4.354
HUKVAL,4677,[O-][N+](=O)NC(CN[N+](=O)[O-])CN[N+](=O)[O-],4.677
HULJON,1806,[O-][N+](=O)c1ccc(cc1)NN=C1CCCC1,1.806
HUMHEC,2026,[O-][N+](=O)c1cc(ccc1N/N=C(/c1ccccc1)\C)[N+](=O)[O-],2.026
HUMSAJ,2012,CC/C(=N\Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/c1ccccc1,2.012
HUTHUB,1915,Cc1ccc(c(c1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])O,1.915
HUYGIT,1349,COc1ccc(cc1)/C(=C/C=C/c1ccc(cc1)[N+](=O)[O-])/C#N,1.349
HUZJAN,3307,[O-][N+](=O)O[C@@H]1[C@H]2C[C@H]3[C@@H]1[C@H]3[C@H]2O[N+](=O)[O-],3.307
IBAMIK,872,CCCCn1c2ccccc2c2c1ccc(c2)[N+](=O)[O-],0.872
IBIZOJ,2044,N#Cc1ccccc1n1ncc(n1)[N+](=O)[O-],2.044
ICUFIX,1972,[O-][N+](=O)OCCNC(=O)c1ccccn1,1.972
IDEHAD,1908,[O-][N+](=O)c1c(C)cc[nH]c1=O,1.908
IDEHEH,1505,CCOC(=O)Cn1ccc(c(c1=O)[N+](=O)[O-])C,1.505
IDITAR,1307,OC(=O)c1cccc(c1C(=O)N)[N+](=O)[O-],1.307
IDULEZ,1571,CCOC(=O)Cn1cccc(c1=O)[N+](=O)[O-],1.571
IFIFOS,1491,COc1ccccc1/N=C/c1ccc(cc1)[N+](=O)[O-],1.491
IFUVIP,1372,Nc1ccc(cc1)OCCCOc1ccc(cc1)[N+](=O)[O-],1.372
IGACAV,1539,COc1cc(/N=C/c2cccc(c2)[N+](=O)[O-])ccc1OC,1.539
IGAGON,3033,[O-][N+](=O)c1cc(ccc1/N=N/C([N+](=O)[O-])(C)C)[N+](=O)[O-],3.033
IHOGER,1073,C[C@@H]([C@@H](c1ccccc1)CC#N)OC(=O)c1ccc(cc1)[N+](=O)[O-],1.073
IJESUL01,2251,N#C/C(=C(\N(C)C)/N=C(/N(C)C)\C)/[N+](=O)[O-],2.251
IJIVEC,3054,[O-][N+](=O)/N=c/1\ccccn1O,3.054
IJIVIG,3152,[O-][N+](=O)Nc1ccc[n+](c1)[O-],3.152
IJUKEE,1346,Oc1ccc(cc1)C(=O)N/N=C/c1ccc(c(c1)[N+](=O)[O-])O,1.346
IJUKII,1347,O=C(c1ccccc1O)N/N=C/c1ccc(c(c1)[N+](=O)[O-])O,1.347
IJUSIQ,1820,OC(COc1ccccc1[N+](=O)[O-])COc1ccccc1[N+](=O)[O-],1.82
IKABUS,1108,[O-][N+](=O)c1ccc(c(c1)c1nc2c([nH]1)cccc2)O,1.108
IKACIH,1148,O=C1OC(C)(C)OC(=O)C1=CNc1ccc(cc1)[N+](=O)[O-],1.148
IKIMIY,3888,CN(c1nc(N([N+](=O)[O-])C)c(nc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],3.888
IMISAY,4739,[O-][N+](=O)N(CN([N+](=O)[O-])CO[N-][N+](=O)C)CN([N+](=O)[O-])CO[N-][N+](=O)C,4.739
IMIVOP,2728,[O-][N+](=O)/N=C(/n1nc(nc1N)N)\N,2.728
IMIWOQ,2957,NC(=O)NN/C(=N/[N+](=O)[O-])/N,2.957
IMPYRA,1504,Cc1oc(C)cc(=Nc2ccc(cc2)[N+](=O)[O-])c1,1.504
INEZUY,3883,Nn1nc(c(n1)[N+](=O)[O-])N,3.883
INOLUU,1527,[O-][N+](=O)c1nnn(c1c1ccccc1)Cc1ccccc1,1.527
IPOXAZ,2386,CC(N1O[C@@H]1c1ccc(cc1)[N+](=O)[O-])C,2.386
IPUPOZ,2883,N#Cc1cc([N+](=O)[O-])c2c(c1)[N+](=O)O[N-]2,2.883
IQOMIL,1571,N#CC(=C1C[C@H](c2ccco2)[C@H]([C@H](C1)c1ccco1)[N+](=O)[O-])C#N,1.571
IQOPIO,1615,N#CC(=C(C[C@H](c1ccccc1)C[N+](=O)[O-])C)C#N,1.615
IQUHUZ,1576,CCOC(=O)Cn1cc2c(n1)cc(cc2)[N+](=O)[O-],1.576
ISACIO,1078,C[C@@H](c1ccccc1)NC(=O)c1ccc(cc1)[N+](=O)[O-],1.078
ISAJAN,2213,N#[N+][N-]C(=O)c1ccccc1[N+](=O)[O-],2.213
ISAJER,2163,O=C(c1ccc(cc1)[N+](=O)[O-])[N-][N+]#N,2.163
ISAYAC02,2553,Nc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C,2.553
ISAYEG01,2903,ONc1cc(cc(c1C)[N+](=O)[O-])[N+](=O)[O-],2.903
ISICUJ,1197,Cc1cc(ccc1NCc1ccccc1)[N+](=O)[O-],1.197
ISUQES,1655,N#Cc1c(nc(n1c1ccccc1)C)[N+](=O)[O-],1.655
ITASIH,1924,O[C@@H](c1ccccc1[N+](=O)[O-])Nn1c(C)nnc1C,1.924
ITIKAY01,1548,CCOC(=O)/C(=N\Nc1ccc(cc1O)[N+](=O)[O-])/C(=O)C,1.548
ITINAA,3273,N#[N+][N-]CC(=NNc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])C[N-][N+]#N,3.273
ITINEE,2293,OC(=O)c1nnn(c1)CC([N+](=O)[O-])([N+](=O)[O-])Cn1nnc(c1)C(=O)O,2.293
IVEQIL,1264,CCOC(=O)C1=N[C@H](O[C@@H]1c1ccc(cc1)[N+](=O)[O-])C(C)C,1.264
IVEREH,1741,[O-][N+](=O)C1=C/C(=C/NCC)/C(=O)C=C1,1.741
IYAWEK,2717,O/N=C(/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C)\C,2.717
IZAREG,1891,CC(=O)O/N=C/c1cccc(c1)[N+](=O)[O-],1.891
IZEQUA,1291,CN1C(=O)/C(=N\Nc2ccc(cc2)[N+](=O)[O-])/C(=O)c2c1cccc2,1.291
IZIPUD,1919,Oc1ccc(cc1)/C(=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])/C,1.919
IZUFIS,1195,[O-][N+](=O)c1cc2ccccc2nc1c1ccccc1,1.195
IZUFUE,1472,CCc1nc2ccccc2cc1[N+](=O)[O-],1.472
JABLUW01,3510,[O-][N+](=O)n1ccc(n1)n1cnnn1,3.51
JABMAD01,3552,[O-][N+](=O)n1ncc(c1)n1cnnn1,3.552
JACYOB,1539,NC(=O)c1cccc(c1)[N+](=O)[O-],1.539
JADNIM,1060,O=C1C=CC(=CC1=C1NC(C(N1)(C)C)(C)C)[N+](=O)[O-],1.06
JAHPIR,2388,[O-][N+](=O)c1ccc(o1)/C=N/n1cccn1,2.388
JAJBEB,3407,[O-][N+](=O)C1([N+](=O)[O-])[C@@H]2[C@@H]3[C@@H]4[C@H]1[C@@H]1[C@H]2C([C@H]3[C@H]4C1([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3.407
JAKCOO,2388,Cc1ccnc(c1[N+](=O)[O-])/N=N/c1nccc(c1[N+](=O)[O-])C,2.388
JAPKIU,3445,NNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],3.445
JAPPAR,2065,CCN1CCO[C@@H](O1)c1ccc(cc1)[N+](=O)[O-],2.065
JAPXIK,1497,[O-][N+](=O)c1ccc(cc1)/C=C\C1=NN(CC1)c1ccccc1,1.497
JAPXOQ,1432,[O-][N+](=O)c1ccc(cc1)/C=C/C1=NN(CC1)c1ccccc1,1.432
JAQTOK,1225,[O-][N+](=O)c1ccccc1c1nnc2c(c1)C(=O)c1c2cccc1,1.225
JAQVUV,3429,CCN(c1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],3.429
JASLEV,3084,CC(=O)NC(=C([N+](=O)[O-])[N+](=O)[O-])N,3.084
JAWKIC,1638,C[C@@]1(CN=NN1c1ccc(cc1)[N+](=O)[O-])c1ccccc1,1.638
JAXTAE,1970,[O-][N+](=O)c1cccc(c1)/C=N/N=C/c1cccc(c1)[N+](=O)[O-],1.97
JAYDET,1242,OC[C@H](Cc1ccccc1)N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-],1.242
JAYGEW,1337,O=C(Nc1ccc(cc1)[N+](=O)[O-])/C=C\C(=O)O,1.337
JAYZOB,1356,O=C(N(c1ccccc1)OC(=O)C)c1ccc(cc1)[N+](=O)[O-],1.356
JECVAO,2516,O[C@@H](Cn1ccnc1[N+](=O)[O-])CN1CC1,2.516
JECVES,2245,[O-][N+](=O)c1nccn1C[C@@H](CN1C[C@@H]1C)O,2.245
JEDSUG,3791,O=C1N(CCN1[N+](=O)[O-])[N+](=O)[O-],3.791
JEDXIC,1147,Cc1cc2c(cc1C)nc1n2CCn2c1c(cc2)[N+](=O)[O-],1.147
JEHLAJ,4075,[O-][N+](=O)N1CCN([C@@H]2[C@H]1N([N+](=O)[O-])C(=O)N2[N+](=O)[O-])[N+](=O)[O-],4.075
JEHLEN,3622,CC(=O)O[C@@H]1N([N+](=O)[O-])[C@H]2[C@@H](N1[N+](=O)[O-])N(CCN2[N+](=O)[O-])[N+](=O)[O-],3.622
JEHNUF,1267,O=C(c1ccc(cc1)[N+](=O)[O-])Oc1ccccn1,1.267
JEJZAA,3170,O=[N+]1C=C/C(=[NH+]/[N+](=O)[O-])/C=C1,3.17
JEKHIR,1391,CCOC(=O)[C@H](/C(=C\c1ccc(cc1)N(C)C)/[N+](=O)[O-])O,1.391
JEKQUO,1352,[O-][N+](=O)O[C@@H]1[C@H](Cc2c1cccc2)ON1C(=O)c2c(C1=O)cccc2,1.352
JELTEC,1503,[O-][N+](=O)c1ccc(cc1)n1nnc(c1)Cc1ccccc1,1.503
JEMWII,1881,COc1ccccc1C(=C([N+](=O)[O-])[N+](=O)[O-])c1ccccc1OC,1.881
JENZAG,1191,[O-][N+](=O)c1ccc2c(c1)nc(o2)c1ccccc1,1.191
JEQWEI,1597,[O-][N+](=O)c1ccc(cc1)Cn1nnc2c1cccc2,1.597
JERVUY,2723,[O-][N+](=O)c1c[nH]c(=O)c(c1)[N+](=O)[O-],2.723
JEXLUT,4227,[O-][N+](=O)N1CN(C[C@@H]2[C@H]1CN(CN2[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],4.227
JEXMAA,4254,[O-][N+](=O)N1CN(C[C@@H]1[C@H]1CN(CN1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],4.254
JEXMEE,4238,[O-][N+](=O)N1CN(C2(C1)CN(CN(C2)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],4.238
